"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"8720","Eschweilera sppAraracua1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8750","Eschweilera sppAraracua2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8745","Eschweilera sppAraracua3","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8753","Eschweilera sppAraracua4","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8735","Eschweilera sppAraracua5","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8734","Eschweilera sppAraracua6","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8725","Eschweilera sppAraracua7","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8765","Eschweilera sppBerbicer1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8712","Eschweilera sppBerbicer2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8800","Eschweilera sppBilsa1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8761","Eschweilera sppBilsa2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8793","Eschweilera sppCabezade1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8755","Eschweilera sppCabezade2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8770","Eschweilera sppCabezade3","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8797","Eschweilera sppCabezade4","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8781","Eschweilera sppCalima1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8730","Eschweilera sppCalima2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8762","Eschweilera sppCalima3","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8783","Eschweilera sppCalima4","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8767","Eschweilera sppCalima5","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8796","Eschweilera sppCandamo1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
