"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"8547","Erythrina sppIN1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8542","Erythrina sppMaquipuc1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8551","Erythrina sppMotozint1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8550","Erythrina sppPipeline1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8546","Erythrina sppRAINFOR1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8543","Erythrina sppSL1","Fabaceae","Erythrina",NA,0.289050724637681,0.0941339098036177,"genus",23
"8536","Erythrina steyermarkii","Fabaceae","Erythrina","steyermarkii",0.289050724637681,0.0941339098036177,"genus",23
"8537","Erythrina stricta","Fabaceae","Erythrina","stricta",0.22,0.0708232617216773,"species",1
"8538","Erythrina ulei","Fabaceae","Erythrina","ulei",0.111,0.0708232617216773,"species",1
"8539","Erythrina variegata","Fabaceae","Erythrina","variegata",0.28,0.0708232617216773,"species",1
"8540","Erythrina verna","Fabaceae","Erythrina","verna",0.289050724637681,0.0941339098036177,"genus",23
"8541","Erythrina vespertilio","Fabaceae","Erythrina","vespertilio",0.164,0.0708232617216773,"species",1
"17539","Erythrochiton brasiliensis",NA,"No","suitable",0.611246215561075,0.124033048371268,"dataset",20776
"8552","Erythrococca atrovirens",NA,"Erythrococca","atrovirens",0.611246215561075,0.124033048371268,"dataset",20776
"8553","Erythrococca polyandra",NA,"Erythrococca","polyandra",0.611246215561075,0.124033048371268,"dataset",20776
"8555","Erythrococca sppPande1",NA,"Erythrococca",NA,0.611246215561075,0.124033048371268,"dataset",20776
"8554","Erythrococca trichogyne",NA,"Erythrococca","trichogyne",0.611246215561075,0.124033048371268,"dataset",20776
"8556","Erythrophleum chlorostachys","Fabaceae","Erythrophleum","chlorostachys",1.0372,0.0708232617216773,"species",5
"8557","Erythrophleum fordii","Fabaceae","Erythrophleum","fordii",0.76,0.0708232617216773,"species",1
"17184","Erythrophleum ivorense",NA,"No","suitable",0.611246215561075,0.124033048371268,"dataset",20776
"8560","Erythrophleum sppSL1","Fabaceae","Erythrophleum",NA,0.808748214285714,0.0941339098036177,"genus",8
"8558","Erythrophleum suaveolens","Fabaceae","Erythrophleum","suaveolens",0.824285714285714,0.0708232617216773,"species",7
"8559","Erythrophleum succirubrum","Fabaceae","Erythrophleum","succirubrum",0.808748214285714,0.0941339098036177,"genus",8
"8561","Erythrospermum acuminatissimum","Achariaceae","Erythrospermum","acuminatissimum",0.42,0.0941339098036177,"genus",1
"8562","Erythrospermum candidum","Achariaceae","Erythrospermum","candidum",0.42,0.0708232617216773,"species",1
"8563","Erythrospermum cordifolium","Achariaceae","Erythrospermum","cordifolium",0.42,0.0941339098036177,"genus",1
"8564","Erythrospermum verticillatum","Achariaceae","Erythrospermum","verticillatum",0.42,0.0941339098036177,"genus",1
"8565","Erythroxylon amplum",NA,"Erythroxylon","amplum",0.611246215561075,0.124033048371268,"dataset",20776
"8566","Erythroxylon havanense",NA,"Erythroxylon","havanense",0.611246215561075,0.124033048371268,"dataset",20776
"8567","Erythroxylon hondense",NA,"Erythroxylon","hondense",0.611246215561075,0.124033048371268,"dataset",20776
"16981","Erythroxylon panamense",NA,"No","suitable",0.611246215561075,0.124033048371268,"dataset",20776
"8571","Erythroxylon sppAlterdoc1",NA,"Erythroxylon",NA,0.611246215561075,0.124033048371268,"dataset",20776
"8572","Erythroxylon sppChamela41",NA,"Erythroxylon",NA,0.611246215561075,0.124033048371268,"dataset",20776
"8569","Erythroxylon sppManaus1",NA,"Erythroxylon",NA,0.611246215561075,0.124033048371268,"dataset",20776
"8573","Erythroxylon sppVarirata1",NA,"Erythroxylon",NA,0.611246215561075,0.124033048371268,"dataset",20776
"8568","Erythroxylon tabascense",NA,"Erythroxylon","tabascense",0.611246215561075,0.124033048371268,"dataset",20776
"8574","Erythroxylum ambiguum","Erythroxylaceae","Erythroxylum","ambiguum",0.789611111111111,0.0941339098036177,"genus",16
"8575","Erythroxylum amplifolium","Erythroxylaceae","Erythroxylum","amplifolium",0.789611111111111,0.0941339098036177,"genus",16
"8576","Erythroxylum andrei","Erythroxylaceae","Erythroxylum","andrei",0.789611111111111,0.0941339098036177,"genus",16
"8577","Erythroxylum areolatum","Erythroxylaceae","Erythroxylum","areolatum",0.789611111111111,0.0941339098036177,"genus",16
"8578","Erythroxylum carthagenense","Erythroxylaceae","Erythroxylum","carthagenense",0.789611111111111,0.0941339098036177,"genus",16
"8579","Erythroxylum citrifolium","Erythroxylaceae","Erythroxylum","citrifolium",0.71,0.0708232617216773,"species",1
"8580","Erythroxylum confusum","Erythroxylaceae","Erythroxylum","confusum",0.789611111111111,0.0941339098036177,"genus",16
"8581","Erythroxylum cuneifolium","Erythroxylaceae","Erythroxylum","cuneifolium",0.789611111111111,0.0941339098036177,"genus",16
"8582","Erythroxylum cuspidifolium","Erythroxylaceae","Erythroxylum","cuspidifolium",0.789611111111111,0.0941339098036177,"genus",16
"8583","Erythroxylum daphnites","Erythroxylaceae","Erythroxylum","daphnites",0.789611111111111,0.0941339098036177,"genus",16
"8584","Erythroxylum deciduum","Erythroxylaceae","Erythroxylum","deciduum",0.81,0.0708232617216773,"species",1
"8585","Erythroxylum ecarinatum","Erythroxylaceae","Erythroxylum","ecarinatum",0.782,0.0708232617216773,"species",2
"8586","Erythroxylum glaucum","Erythroxylaceae","Erythroxylum","glaucum",0.71,0.0708232617216773,"species",1
"8587","Erythroxylum havanense","Erythroxylaceae","Erythroxylum","havanense",0.99,0.0708232617216773,"species",1
"8588","Erythroxylum hondense","Erythroxylaceae","Erythroxylum","hondense",0.789611111111111,0.0941339098036177,"genus",16
"8589","Erythroxylum kochummenii","Erythroxylaceae","Erythroxylum","kochummenii",0.789611111111111,0.0941339098036177,"genus",16
"8590","Erythroxylum ligustrinum","Erythroxylaceae","Erythroxylum","ligustrinum",0.789611111111111,0.0941339098036177,"genus",16
"8591","Erythroxylum lineolatum","Erythroxylaceae","Erythroxylum","lineolatum",0.789611111111111,0.0941339098036177,"genus",16
"8592","Erythroxylum longifolium","Erythroxylaceae","Erythroxylum","longifolium",0.789611111111111,0.0941339098036177,"genus",16
"8593","Erythroxylum macrocalyx","Erythroxylaceae","Erythroxylum","macrocalyx",0.789611111111111,0.0941339098036177,"genus",16
