"","FID","PLT","LAT","LON","Year","SPCD","DBH","TPH","WWF_Biome","Biomass"
"55",132147,"GAB-RIV11",-0.079111,12.334306,2001,"Bikinia sppGA1",15.89999962,1,1,145.947746372322
"56",132146,"GAB-RIV11",-0.079111,12.334306,2004,"Bikinia sppGA1",16.20000076,1,1,153.042060101328
"57",132149,"GAB-RIV11",-0.079111,12.334306,2001,"Blighia welwitschii",42.5,1,1,2137.14289104039
"58",132148,"GAB-RIV11",-0.079111,12.334306,2004,"Blighia welwitschii",43.09999847,1,1,2211.78634436625
"59",132182,"GAB-RIV11",-0.079111,12.334306,2004,"Calpocalyx sppGA1",10.19999981,1,1,53.9774322440551
"60",132181,"GAB-RIV11",-0.079111,12.334306,2001,"Calpocalyx sppGA1",10.30000019,1,1,55.353644158735
"61",132180,"GAB-RIV11",-0.079111,12.334306,2004,"Calpocalyx sppGA1",10.69999981,1,1,61.0673422200275
"62",132171,"GAB-RIV11",-0.079111,12.334306,2001,"Calpocalyx sppGA1",15.30000019,1,1,152.551335137917
"63",132170,"GAB-RIV11",-0.079111,12.334306,2004,"Calpocalyx sppGA1",17,1,1,199.335692043342
"64",132188,"GAB-RIV11",-0.079111,12.334306,2004,"Carapa procera",10.30000019,1,1,44.5841545454511
"65",132187,"GAB-RIV11",-0.079111,12.334306,2001,"Carapa procera",10.39999962,1,1,45.7093485741009
"66",132203,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",10.10000038,1,1,45.6545730790214
"67",132202,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",10.60000038,1,1,51.715142357852
"68",132201,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",12.30000019,1,1,75.80139724761
"69",132200,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",13,1,1,87.3462294763856
"70",132199,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",15.5,1,1,136.797150348287
"71",132198,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",15.60000038,1,1,139.051947308134
"72",132197,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",16.10000038,1,1,150.655134598635
"73",132196,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",16.39999962,1,1,157.882630090564
"74",132195,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",17.70000076,1,1,191.547209422109
"75",132194,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",17.79999924,1,1,194.296913133089
"76",132193,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",18.79999924,1,1,223.077613824048
"77",132192,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",18.89999962,1,1,226.085226485568
"78",132191,"GAB-RIV11",-0.079111,12.334306,2001,"Centroplacus glaucinus",25.60000038,1,1,484.242434179105
"79",132190,"GAB-RIV11",-0.079111,12.334306,2004,"Centroplacus glaucinus",25.79999924,1,1,493.739870559971
"80",132211,"GAB-RIV11",-0.079111,12.334306,2001,"Coelocaryon preussii",55.79999924,1,1,2713.54084776776
"81",132210,"GAB-RIV11",-0.079111,12.334306,2004,"Coelocaryon preussii",56,1,1,2737.1796206669
"82",132240,"GAB-RIV11",-0.079111,12.334306,2004,"Cola sppGA1",10.30000019,1,1,48.1438577622136
"83",132239,"GAB-RIV11",-0.079111,12.334306,2001,"Cola sppGA1",10.39999962,1,1,49.3588899148361
"84",132241,"GAB-RIV11",-0.079111,12.334306,2001,"Cola sppGA1",10,1,1,44.6068927065258
"85",132237,"GAB-RIV11",-0.079111,12.334306,2004,"Cola sppGA1",11.10000038,1,1,58.3775281848784
"86",132236,"GAB-RIV11",-0.079111,12.334306,2001,"Cola sppGA1",11.30000019,1,1,61.1217513642319
