,Present,PresentPotential,AbsolutePotential,PlantedPotential
0,279.0263145946045,314.0858724522539,343.0415640503726,2.202279825888989
1,12.034079778978317,15.036379941435271,25.473835514121745,0.12712539286607377
2,4.214777802091824,6.003044669505727,7.49665878474021,0.08137129574976724
3,65.47377507007386,75.57532249522902,100.50655589811036,1.2634617976306464
4,32.45075063691928,35.560268074775465,39.345731727311055,0.4958681018844521
5,81.50672646454726,94.04003434605438,98.98982526211302,6.236774924863213e-05
6,70.5792855897512,88.26204582324682,130.4541970603455,0.21993637139119424
7,6.385593774516778,8.24558099323323,33.81926195665985,0.053015840181977206
8,3.4343644231180925,3.9862944440640655,5.242266030304038,0.01728217795106203
9,5.840210902281601,7.348952625492429,13.904133943588462,0.040137070026236406
10,8.057406646782432,12.200279506582419,19.182258496650213,1.427584462132564e-05
11,5.8069250135329,6.9611237374298565,13.82168136946278,0.17706176341486707
12,3.225828543316452,4.647106560485923,34.12282255288082,0.03536855336255725
13,2.6348814889568075,3.2966382524765994,3.867136669633277,0.043971457292082
sum,580.6709207294712,675.248943922265,869.2679293162938,4.756956291233775
