,Present,PresentPotential,AbsolutePotential,PlantedPotential
0,227.52311379968435,269.6512308424501,292.07188941612526,4.344729616905696
1,7.880396817374582,10.691744698558853,17.166101787787994,0.1347869470258601
2,3.0882169401367077,4.11031330517791,4.901802139770254,0.04138619769757941
3,60.141476875249694,69.4788559279256,89.62769652959159,1.5339725436168625
4,31.33387971077029,34.05820287316138,36.826151411205224,0.29614695369124816
5,103.90222972266622,120.56825239108244,126.66830597194065,4.942761716676912e-05
6,47.25951403087589,65.08254228147582,95.79305003807242,0.3256667563761159
7,7.153926003350479,8.482844518624912,28.870952754730975,0.036698442585694935
8,1.826046990817658,2.6693040233083103,3.8247369806927467,0.015107352848947504
9,3.935716766592461,5.510920494543038,10.677673868094947,0.09619637783910714
10,9.499304455151934,13.796715977453877,20.48401213054318,5.456113527537293e-06
11,3.388736184897622,4.7520100194976935,9.893901999025365,0.32568762185632755
12,2.1949129648596237,3.4772077664745287,26.79066672201887,0.030419296167501955
13,1.632809156641297,2.492166395753305,2.9058420056032794,0.0745402439581309
sum,510.7602804190688,614.8223115154877,766.5027837552028,7.255393234299767
