,Present,PresentPotential,AbsolutePotential,PlantedPotential
0,257.48134223111356,298.81694371313847,322.88598646603293,4.612107388176624
1,7.249642321859478,10.694491037954611,16.38397226108084,0.18683485647730977
2,2.7920586234057954,4.340475068570944,5.191755624327849,0.1112558547732034
3,43.75841933424976,57.731439572870144,74.13074314507155,2.3199114852098184
4,19.8191775710582,25.53462279752768,27.961419583006183,0.9750852121085597
5,38.15975495111262,43.486007089270615,46.19228918246281,4.73181389308952e-05
6,39.353620701067925,58.03349263365683,80.57881397014306,0.2651250362411629
7,3.3232232265075954,4.2074216687638915,13.807971324031062,0.019008396275942356
8,1.4145262769212468,2.027398561032173,2.790871879380551,0.01872218005276477
9,3.285372449602974,4.770504462753502,7.109380375710575,0.07950691483092642
10,4.443380763308434,4.883109783743625,6.783638327658791,4.700369111951544e-06
11,1.98533526036371,2.876767973879139,5.159366551421797,0.2328055603045095
12,1.6905620804554278,2.5525988093158407,8.975990182806404,0.018569289217843447
13,2.38572358197334,3.053182018063445,3.4560907582807876,0.05908692431821381
sum,427.14213937300013,523.008455190541,621.4082896314152,8.89807111649492
