,Present,PresentPotential,AbsolutePotential,PlantedPotential
0,210.79166470309917,250.62359515656755,276.7231695939487,4.346637471796372
1,7.958983630006023,11.065355769853195,20.140134516650182,0.1138815684531044
2,2.6651146023847163,4.445474887505144,5.808296475428274,0.07490015542804358
3,57.80798541151197,72.96486162347318,99.70999856613986,2.251033674412847
4,27.542003440221922,33.108492661918405,37.46310703235585,0.8364880680312107
5,82.9132859947369,105.21349833268744,112.58040085799843,7.372249121053053e-05
6,50.16623452465265,73.40060861216601,114.14098608201327,0.33975134810657603
7,6.531886142507142,8.185495941242992,32.46423917758509,0.02688444453127104
8,1.91830126655825,2.9799276167265853,4.310429779806972,0.01710857808242411
9,4.535337626864793,6.441530129423782,12.881169539588358,0.09892254445732326
10,7.276878014951276,11.372272719528574,17.768361753820688,8.541133012637724e-06
11,4.7441392628525945,6.304432441936563,13.72467821146456,0.43979258428422274
12,3.1489832363565755,4.399373443337345,33.26596579845193,0.028697902357972437
13,1.5814628748650819,2.5782813823523374,3.0648776145041228,0.06271678570259691
sum,469.58226073156914,593.0832007187191,784.0458149997562,8.636897389268189
