"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",10,1,9,100,0.632,"RF_Grid_model_9",0.479895005082038,1
"2",30,3,13,100,0.632,"RF_Grid_model_42",0.389038329012521,2
"3",20,10,13,100,0.632,"RF_Grid_model_15",0.221668250479161,4
"4",60,15,13,100,0.632,"RF_Grid_model_44",0.127475912977568,5
"5",10,10,13,100,0.632,"RF_Grid_model_6",0.19663583591822,6
"6",30,3,9,100,0.632,"RF_Grid_model_29",0.26762911080222,7
"7",60,20,6,100,0.632,"RF_Grid_model_16",0.197171501011453,8
"8",100,3,9,100,0.632,"RF_Grid_model_15",0.21508005323713,10
"9",100,3,9,100,0.632,"RF_Grid_model_15",0.251720674365719,11
"10",30,5,9,100,0.632,"RF_Grid_model_11",0.105583290001565,12
"11",50,5,13,100,0.632,"RF_Grid_model_12",0.250746000971684,13
