"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",30,5,13,100,0.632,"RF_Grid_model_6",0.484224888000233,1
"2",40,1,9,100,0.632,"RF_Grid_model_48",0.39700597662631,2
"3",100,10,13,100,0.632,"RF_Grid_model_38",0.21875252025841,4
"4",10,5,6,100,0.632,"RF_Grid_model_5",0.133672776556718,5
"5",20,5,13,100,0.632,"RF_Grid_model_28",0.205196976791018,6
"6",50,3,3,100,0.632,"RF_Grid_model_43",0.267840900462067,7
"7",100,15,13,100,0.632,"RF_Grid_model_31",0.197580157035026,8
"8",80,1,6,100,0.632,"RF_Grid_model_25",0.232321350409731,10
"9",100,3,13,100,0.632,"RF_Grid_model_39",0.252501928156564,11
"10",20,3,3,100,0.632,"RF_Grid_model_37",0.11366994356815,12
"11",70,3,6,100,0.632,"RF_Grid_model_18",0.251710459060853,13
