"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",50,5,13,100,0.632,"RF_Grid_model_12",0.484224888000233,1
"2",60,1,6,100,0.632,"RF_Grid_model_38",0.39949286171269,2
"3",20,5,13,100,0.632,"RF_Grid_model_2",0.216191679912696,4
"4",60,10,6,100,0.632,"RF_Grid_model_24",0.125978124452272,5
"5",40,3,3,100,0.632,"RF_Grid_model_26",0.184341021897693,6
"6",100,3,3,100,0.632,"RF_Grid_model_3",0.267840900462067,7
"7",10,5,13,100,0.632,"RF_Grid_model_46",0.197593835958241,8
"8",40,1,3,100,0.632,"RF_Grid_model_33",0.232876810388858,10
"9",30,3,13,100,0.632,"RF_Grid_model_42",0.252518189019477,11
"10",30,3,6,100,0.632,"RF_Grid_model_11",0.129838921758516,12
"11",80,5,6,100,0.632,"RF_Grid_model_35",0.252178624125513,13
