"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",60,3,9,100,0.632,"RF_Grid_model_1",0.479216418308541,1
"2",70,1,13,100,0.632,"RF_Grid_model_40",0.388726679682013,2
"3",20,5,13,100,0.632,"RF_Grid_model_47",0.220803406421682,4
"4",10,3,9,100,0.632,"RF_Grid_model_25",0.128784350031714,5
"5",70,3,6,100,0.632,"RF_Grid_model_35",0.220255951613281,6
"6",60,10,3,100,0.632,"RF_Grid_model_27",0.264109615585683,7
"7",80,15,9,100,0.632,"RF_Grid_model_32",0.197165237658179,8
"8",20,3,9,100,0.632,"RF_Grid_model_47",0.21508005323713,10
"9",50,3,3,100,0.632,"RF_Grid_model_43",0.251429987376808,11
"10",20,3,13,100,0.632,"RF_Grid_model_36",0.119349631502938,12
"11",100,3,3,100,0.632,"RF_Grid_model_3",0.250099145580912,13
