"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",80,1,6,100,0.632,"RF_Grid_model_25",0.483746303815091,1
"2",50,3,3,100,0.632,"RF_Grid_model_43",0.392872605597846,2
"3",10,1,13,100,0.632,"RF_Grid_model_40",0.215160274284273,4
"4",20,10,9,100,0.632,"RF_Grid_model_19",0.137949477744574,5
"5",60,5,13,100,0.632,"RF_Grid_model_12",0.213697574182942,6
"6",50,3,6,100,0.632,"RF_Grid_model_21",0.267724018492011,7
"7",20,15,9,100,0.632,"RF_Grid_model_28",0.197394877902652,8
"8",10,1,6,100,0.632,"RF_Grid_model_30",0.229352881240535,10
"9",10,1,6,100,0.632,"RF_Grid_model_30",0.252306486089523,11
"10",80,3,9,100,0.632,"RF_Grid_model_4",0.132707624312297,12
"11",80,1,6,100,0.632,"RF_Grid_model_25",0.251307231113457,13
