"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",60,1,6,100,0.632,"RF_Grid_model_38",0.483746303815091,1
"2",10,1,6,100,0.632,"RF_Grid_model_30",0.389899753643979,2
"3",20,5,13,100,0.632,"RF_Grid_model_31",0.225049604558673,4
"4",30,3,3,100,0.632,"RF_Grid_model_26",0.144135114532773,5
"5",100,5,6,100,0.632,"RF_Grid_model_2",0.207563105535668,6
"6",20,3,9,100,0.632,"RF_Grid_model_47",0.267719371469549,7
"7",20,10,9,100,0.632,"RF_Grid_model_37",0.197371710228943,8
"8",70,3,6,100,0.632,"RF_Grid_model_18",0.219932683248875,10
"9",20,3,9,100,0.632,"RF_Grid_model_47",0.251861723026087,11
"10",100,5,6,100,0.632,"RF_Grid_model_2",0.103902122229868,12
"11",60,1,6,100,0.632,"RF_Grid_model_38",0.251307231113457,13
