Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"47"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"48"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"49"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"50"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"51"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"52"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"53"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"54"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"55"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"56"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"57"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"58"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"59"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"60"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"61"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"62"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"63"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"64"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"65"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"66"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"67"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"68"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"69"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"70"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"71"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"72"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"73"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"74"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"75"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"76"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"77"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"78"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"79"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"80"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"81"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"82"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"83"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"84"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"85"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"86"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"87"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"88"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"89"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"90"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"91"",""Betula alleghaniensis",Betula alleghaniensis,,0.9,Accepted,Betula alleghaniensis,Britton,Betulaceae,tpl;tropicos;usda, ,
"92"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
