"","binomial"
"201","Bridelia micrantha"
"202","Sapium ellipticum"
"203","Cyathea manniana"
"204","Xymalos monospora"
"205","Ficus sur"
"206","Millettia dura"
"207","Sapium ellipticum"
"208","Macaranga barteri"
"209","Macaranga barteri"
"210","Macaranga barteri"
"211","Alangium chinense"
"212","Leptonychia mildbraedii"
"213","Psychotria mahonii"
"214","Macaranga kilimandscharica"
"215","Psychotria mahonii"
"216","Millettia dura"
"217","Rytigynia ruwenzoriensis"
"218","Maesa lanceolata"
"219","Leptonychia mildbraedii"
"220","Maesa lanceolata"
"221","Alangium chinense"
"222","Funtumia sppTEAM1"
"223","Myrianthus holstii"
"224","Alangium chinense"
"225","Allophylus abyssinicus"
"226","Xymalos monospora"
"227","Syzygium guineense"
"228","Macaranga barteri"
"229","Ilex mitis"
"230","Ilex mitis"
"231","Alangium chinense"
"232","Albizia gummifera"
"233","Carapa grandiflora"
"234","Xymalos monospora"
"235","Albizia gummifera"
"236","Leptonychia mildbraedii"
"237","Prunus africana"
"238","Macaranga barteri"
"239","unknown sppTEAM9"
"240","Xymalos monospora"
"241","Myrianthus holstii"
"242","Carapa grandiflora"
"243","Millettia dura"
"244","Dichaetanthera corymbosa"
"245","Syzygium guineense"
"246","Cassipourea sppTEAM1"
"247","Ilex mitis"
"248","Funtumia africana"
"249","Prunus africana"
"250","Maesa lanceolata"
"251","Leptonychia mildbraedii"
"252","Carapa grandiflora"
"253","Xymalos monospora"
"254","Ilex mitis"
"255","Psychotria mahonii"
"256","Drypetes ugandensis"
"257","Macaranga barteri"
"258","Macaranga kilimandscharica"
"259","unknown sppTEAM9"
"260","Syzygium guineense"
"261","Macaranga barteri"
"262","unknown sppTEAM9"
"263","Leptonychia mildbraedii"
"264","Myrianthus holstii"
"265","Xymalos monospora"
"266","Alangium chinense"
"267","Macaranga kilimandscharica"
"268","Ilex mitis"
"269","Leptonychia mildbraedii"
"270","Dichaetanthera corymbosa"
"271","Leptonychia mildbraedii"
"272","Allophylus abyssinicus"
"273","Sapium ellipticum"
"274","Macaranga kilimandscharica"
"275","Macaranga barteri"
"276","Maesopsis eminii"
"277","Millettia dura"
"278","Sapium ellipticum"
"279","Maesa lanceolata"
"280","Sapium ellipticum"
"281","unknown sppTEAM9"
"282","Macaranga barteri"
"283","Allophylus abyssinicus"
"284","Ficus sur"
"285","Leptonychia mildbraedii"
"286","Macaranga barteri"
"287","Xymalos monospora"
"288","Cassipourea sppTEAM1"
"289","Albizia gummifera"
"290","Millettia dura"
"291","Sapium ellipticum"
"292","Psychotria mahonii"
"293","Leptonychia mildbraedii"
"294","Psychotria mahonii"
"295","Xymalos monospora"
"296","Ilex mitis"
"297","Drypetes sppTEAM3"
"298","Syzygium guineense"
"299","Podocarpus milanjianus"
"300","Macaranga barteri"
"301","Millettia dura"
"302","Macaranga barteri"
"303","Millettia dura"
"304","Alangium chinense"
"305","Millettia dura"
"306","Carapa grandiflora"
"307","Albizia sppTEAM1"
"308","Macaranga barteri"
"309","Psychotria mahonii"
"310","Margaritaria discoidea"
"311","Ehretia cymosa"
"312","Albizia sppTEAM1"
"313","Ritchiea albersii"
"314","Dichaetanthera corymbosa"
"315","unknown sppTEAM9"
"316","Maesa lanceolata"
"317","Millettia dura"
"318","Macaranga kilimandscharica"
"319","Albizia gummifera"
"320","Millettia dura"
"321","Millettia dura"
"322","Ocotea usambarensis"
"323","Albizia gummifera"
"324","Millettia dura"
"325","Sapium ellipticum"
"326","Maesa lanceolata"
"327","Albizia gummifera"
"328","Sapium ellipticum"
"329","Drypetes sppTEAM3"
"330","Leptonychia mildbraedii"
"331","Sapium ellipticum"
"332","Macaranga barteri"
"333","Xymalos monospora"
"334","Strombosia scheffleri"
"335","Pauridiantha callicarpoides"
"336","Ficus sur"
"337","Strombosia scheffleri"
"338","Sapium ellipticum"
"339","Syzygium guineense"
"340","Alangium chinense"
"341","Alangium chinense"
"342","Podocarpus milanjianus"
"343","unknown sppTEAM9"
"344","Xymalos monospora"
"345","Millettia dura"
"346","Ocotea usambarensis"
"347","Ilex mitis"
"348","Millettia dura"
"349","unknown sppTEAM9"
"350","Sapium ellipticum"
"351","Rytigynia kigeziensis"
"352","Trichoscypha submontana"
"353","Albizia gummifera"
"354","Cassipourea sppTEAM1"
"355","Sapium ellipticum"
"356","Macaranga barteri"
"357","Psychotria mahonii"
"358","Alangium chinense"
"359","Macaranga barteri"
"360","Leptonychia mildbraedii"
"361","Sapium ellipticum"
"362","Allophylus abyssinicus"
"363","Drypetes ugandensis"
"364","Macaranga barteri"
"365","Pouteria altissima"
"366","Leptonychia mildbraedii"
"367","Macaranga barteri"
"368","Bridelia micrantha"
"369","Macaranga barteri"
"370","Millettia dura"
"371","Psychotria mahonii"
"372","Psychotria mahonii"
"373","Millettia dura"
"374","unknown sppTEAM2"
"375","Ilex mitis"
"376","Macaranga barteri"
"377","unknown sppTEAM2"
"378","Psychotria mahonii"
"379","Macaranga kilimandscharica"
"380","Xymalos monospora"
"381","Psychotria mahonii"
"382","Leptonychia mildbraedii"
"383","Leptonychia mildbraedii"
"384","Alangium chinense"
"385","Sapium ellipticum"
"386","Polyscias fulva"
"387","Ilex mitis"
"388","Sapium ellipticum"
"389","Millettia dura"
