"","binomial"
"3132","Castilla tunu"
"3133","Castilla ulei"
"3134","Castilloa guatemalensis"
"3135","Casuarina equisetifolia"
"3136","Casuarina glauca"
"3137","Casuarina lepidophloia"
"3138","Casuarina sppIN1"
"3139","Cathedra acuminata"
"3140","Cathedra bahiensis"
"3141","Cathedra sppRionegro1"
"3142","Cathedra sppSCA1"
"3143","Cathedra sppSucusari1"
"3144","Cathormion altissimum"
"3145","Catoblastus dryanderae"
"3146","Catoblastus sppAntado1"
"3147","Catoblastus sppBilsa1"
"3148","Catoblastus sppCedral1"
"3149","Catoblastus sppMurri1"
"3150","Catoblastus sppMurri2"
"3151","Catoblastus velutinus"
"3152","Catostemma commune"
"3153","Catostemma fragrans"
"3154","Catostemma sppBerbicer1"
"3155","Catostemma sppConstanc1"
"3156","Caurynante sppGA1"
"3157","Cavacoa quintasii"
"3158","Cavacoa sppGA1"
"3159","Cavanillesia hylogeiton"
"3160","Cavanillesia platanifolia"
"3161","Cavanillesia sppFPnet1"
"3162","Cavanillesia umbellata"
"3163","Cavendishia antioquiensis"
"3164","Cavendishia bracteata"
"3165","Cavendishia callista"
"3166","Cavendishia palustris"
"3167","Cavendishia sppCuevas1"
"3168","Cavendishia sppLaplanad2"
"3169","Cavendishia sppNeusa1"
"3170","Cavendishia sppNeusa2"
"3171","Cavendishia tarapotana"
"3172","Cayaponia opthalmica"
"3173","Cayaponia sppBilsa1"
"3174","Cayaponia sppCandamo1"
"3175","Cayaponia sppCarajas1"
"3176","Cayaponia sppDucke1"
"3177","Cayaponia sppHuamani1"
"3178","Cayaponia sppJenarohe1"
"3179","Cayaponia sppMadidi1"
"3180","Cayaponia sppMiazi1"
"3181","Cayaponia sppMurri1"
"3182","Cayaponia sppNangarit1"
"3183","Cayaponia sppNuevomun1"
"3184","Cayaponia sppRionegro1"
"3185","Ccrystosepallum tetraphallum"
"3186","Cecropia andina"
"3187","Cecropia angulata"
"3188","Cecropia angustifolia"
"3189","Cecropia bicolor"
"3190","Cecropia bullata"
"3191","Cecropia concolor"
"3192","Cecropia distachya"
"3193","Cecropia engleriana"
"3194","Cecropia eximia"
"3195","Cecropia ficifolia"
"3196","Cecropia glaziovi"
"3197","Cecropia glaziovii"
"3198","Cecropia herthae"
"3199","Cecropia hololeuca"
"3200","Cecropia insignis"
"3201","Cecropia latiloba"
"3202","Cecropia leucocoma"
"3203","Cecropia marginalis"
"3204","Cecropia membranacea"
"3205","Cecropia monostachya"
"3206","Cecropia multiflora"
"3207","Cecropia obtusa"
"3208","Cecropia obtusifolia"
"3209","Cecropia pachystachya"
"3210","Cecropia palmata"
"3211","Cecropia pastasana"
"3212","Cecropia peltata"
"3213","Cecropia polyphlebia"
"3214","Cecropia polystachya"
"3215","Cecropia purpurascens"
"3216","Cecropia putumayonis"
"3217","Cecropia reticulata"
"3218","Cecropia schreberiana"
"3219","Cecropia sciadophylla"
"3220","Cecropia soladophy"
"3221","Cecropia sppAltodemi1"
"3222","Cecropia sppAntado1"
"3223","Cecropia sppAraracua1"
"3224","Cecropia sppAraracua2"
"3225","Cecropia sppCalabate1"
"3226","Cecropia sppCamorin1"
"3227","Cecropia sppCampano1"
"3228","Cecropia sppCentinel1"
"3229","Cecropia sppChirinos1"
"3230","Cecropia sppConstanc1"
"3231","Cecropia sppCuevas1"
"3232","Cecropia sppCuevas2"
"3233","Cecropia sppFPnet1"
"3234","Cecropia sppFincam2"
"3235","Cecropia sppFincaz1"
"3236","Cecropia sppGF1"
"3237","Cecropia sppGT1"
"3238","Cecropia sppIncahuar1"
"3239","Cecropia sppLagenoa1"
"3240","Cecropia sppMagsasay1"
"3241","Cecropia sppManaus1"
"3242","Cecropia sppMiazi1"
"3243","Cecropia sppMishnfl1"
"3244","Cecropia sppMishnfl2"
"3245","Cecropia sppMishnfl3"
"3246","Cecropia sppMishnfl4"
"3247","Cecropia sppMishws1"
"3248","Cecropia sppMurri1"
"3249","Cecropia sppNangarit1"
"3250","Cecropia sppPE1"
"3251","Cecropia sppRAINFOR1"
"3252","Cecropia sppSacram1"
"3253","Cecropia sppTEAM1"
"3254","Cecropia tacuna"
"3255","Cecropia tela nievae"
"3256","Cecropia telealba"
"3257","Cecropia telenitida"
"3258","Cecropia tessmannii"
"3259","Cedrela fissilis"
"3260","Cedrela lilloi"
"3261","Cedrela montana"
"3262","Cedrela odorata"
"3263","Cedrela sppFPnet1"
"3264","Cedrela sppRAINFOR1"
"3265","Cedrela sppTEAM1"
"3266","Cedrela sppUcumari1"
"3267","Cedrelinga cateniformis"
"3268","Cedrella odorata"
"3269","Cedrella sppCuangos1"
"3270","Cedrella sppGT1"
"3271","Ceiba insignis"
"3272","Ceiba pentandra"
"3273","Ceiba samauma"
"3274","Ceiba speciosa"
"3275","Ceiba sppChaquima1"
"3276","Ceiba sppFPnet1"
"3277","Ceiba sppRAINFOR1"
"3278","Celastraceae sppGF1"
"3279","Celastrus hindsii"
"3280","Celastrus kusanoi"
"3281","Celastrus meridensis"
"3282","Celastrus paniculatus"
"3283","Celastrus sppBosquede1"
"3284","Celastrus sppChorrobl1"
"3285","Celastrus sppFarall1"
"3286","Celastrus sppMurri1"
"3287","Celtis adolfi friderici"
"3288","Celtis aristata"
"3289","Celtis brieyi"
"3290","Celtis conferta"
"3291","Celtis durandii"
"3292","Celtis ehrenbergiana"
"3293","Celtis fluminensis"
"3294","Celtis harperi"
"3295","Celtis harveyi"
"3296","Celtis hildebrandii"
"3297","Celtis iguanaea"
"3298","Celtis luzonica"
"3299","Celtis mildbraedii"
"3300","Celtis paniculata"
"3301","Celtis philippensis"
"3302","Celtis philippinensis"
"3303","Celtis prantlii"
"3304","Celtis pubescens"
"3305","Celtis rigescens"
"3306","Celtis schippii"
"3307","Celtis sppBRii1"
"3308","Celtis sppBRii2"
"3309","Celtis sppBaitete1"
"3310","Celtis sppCDi1"
"3311","Celtis sppChaquima1"
"3312","Celtis sppFPnet1"
"3313","Celtis sppGAB1"
"3314","Celtis sppPacific1"
"3315","Celtis sppRAINFOR1"
"3316","Celtis sppTEAM1"
"3317","Celtis tala"
"3318","Celtis tessmannii"
"3319","Celtis tetrandra"
"3320","Celtis trinervia"
"3321","Celtis zenkeri"
"3322","Centrolobium microchaete"
"3323","Centrolobium minus"
"3324","Centrolobium ochroxylum"
"3325","Centrolobium paraense"
"3326","Centrolobium sclerophyllum"
"3327","Centrolobium tomentosum"
"3328","Centronia pulchra"
"3329","Centronia sppRAINFOR1"
"3330","Centronia sppVE1"
"3331","Centrophorum sppHuamani1"
"3332","Centroplacus glaucinus"
"3333","Cephaelis gentryi"
"3334","Cephaelis sppJatunsac1"
"3335","Cephaelis tomentosa"
"3336","Cephalostachyum perrieri"
"3337","Cephalostachyum viguieri"
"3338","Ceratophytum tetragonolobum"
"3339","Ceratostemma sppJatunsac1"
"3340","Cerbera floribunda"
"3341","Cerbera manghas"
"3342","Cerbera sppPacific1"
"3343","Cerberiopsis candelabra"
"3344","Cerberiopsis sppNewcaldo1"
"3345","Cereus hildmannianus"
"3346","Cereus sppBRi1"
"3347","Cereus sppChaquima1"
"3348","Ceriops tagal"
"3349","Ceroxylon schultzei"
"3350","Ceroxylon sppAchupall1"
"3351","Ceroxylon sppAltosapa1"
"3352","Ceroxylon sppCedral1"
"3353","Ceroxylon sppCerroesp1"
"3354","Ceroxylon sppChirinos1"
"3355","Ceroxylon sppCutervo1"
"3356","Ceroxylon sppUcumari1"
"3357","Ceroxylon vogelianum"
"3358","Cervantesia sppUcumari1"
"3359","Cervantesia tomentosa"
"3360","Cespedesia spathulata"
"3361","Cespedezia macrophylla"
"3362","Cespedezia spathulata"
"3363","Cespedezia sppAnchicay1"
"3364","Cespedezia sppMiazi1"
"3365","Cestrum arborescens"
"3366","Cestrum bracteatum"
"3367","Cestrum diurnum"
"3368","Cestrum intermedium"
"3369","Cestrum laurifolium"
"3370","Cestrum megalophyllum"
"3371","Cestrum microcalyx"
"3372","Cestrum racemosum"
"3373","Cestrum salzmannii"
"3374","Cestrum schlechtendalii"
"3375","Cestrum silvaticum"
"3376","Cestrum sppBRi1"
"3377","Cestrum sppCalabate1"
"3378","Cestrum sppCedral1"
"3379","Cestrum sppCerroayp1"
"3380","Cestrum sppColorado1"
"3381","Cestrum sppCutervo1"
"3382","Cestrum sppCuyas1"
"3383","Cestrum sppFPnet1"
"3384","Cestrum sppFincam1"
"3385","Cestrum sppMiazi1"
"3386","Cestrum sppRAINFOR1"
"3387","Cestrum sppSabanaru1"
"3388","Cestrum sppSabanaru2"
"3389","Cestrum sppSietecue1"
"3390","Cestrum sppUcumari1"
"3391","Chaetocarpus echinocarpus"
"3392","Chaetocarpus myrsinites"
"3393","Chaetocarpus schomburgkianus"
"3394","Chaetocarpus sppFPnet1"
"3395","Chaetocarpus sppGF1"
"3396","Chaetocarpus sppGF2"
"3397","Chaetocarpus sppTEAM1"
"3398","Chamaecrista adiantifolia"
"3399","Chamaecrista apoucouita"
"3400","Chamaecrista duartei"
"3401","Chamaecrista sppRAINFOR1"
"3402","Chamaecrista sppSCA1"
"3403","Chamaedorea allenii"
"3404","Chamaedorea elatior"
"3405","Chamaedorea fragrans"
"3406","Chamaedorea linearis"
"3407","Chamaedorea montana"
"3408","Chamaedorea murriensis"
"3409","Chamaedorea polyclada"
"3410","Chamaedorea sppAltodemi1"
"3411","Chamaedorea sppCedral1"
"3412","Chamaedorea sppCueva1"
"3413","Chamaedorea sppCuevas1"
"3414","Chamaedorea sppLagenoa1"
"3415","Chamaedorea sppLaplanad1"
"3416","Chamaedorea sppTamblat21"
"3417","Chamaedorea tepejilote"
"3418","Chamaedorea wendlandiana"
"3419","Chambeyronia macrocarpa"
"3420","Chamissoa altissima"
"3421","Chamissoa sppAltodemi1"
"3422","Chamissoa sppCedral1"
"3423","Chamissoa sppCuangos1"
"3424","Champereia manillana"
"3425","Chassalia ternifolia"
"3426","Chaunochiton kappleri"
"3427","Chaunochiton sppFPnet1"
"3428","Chaunochiton sppRAINFOR1"
"3429","Chaunochiton sppRanchoqu1"
"3430","Cheiloclinium anomalum"
"3431","Cheiloclinium cognatum"
"3432","Cheiloclinium hippocrateoides"
"3433","Cheiloclinium klugii"
"3434","Cheiloclinium lineolatum"
"3435","Cheiloclinium sppAraracua1"
"3436","Cheiloclinium sppAraracua2"
"3437","Cheiloclinium sppBanyong1"
"3438","Cheiloclinium sppBilsa1"
"3439","Cheiloclinium sppCampano1"
"3440","Cheiloclinium sppDureno1"
"3441","Cheiloclinium sppHumboldt1"
"3442","Cheiloclinium sppLaraya1"
"3443","Cheiloclinium sppMadidiri1"
"3444","Cheiloclinium sppMiazi1"
"3445","Cheiloclinium sppMurri1"
"3446","Cheiloclinium sppRAINFOR1"
"3447","Cheiloclinium sppRiomanso1"
"3448","Cheiloclinium sppRiomanso2"
"3449","Cheiloclinium sppShiringa1"
"3450","Cheiloclinium sppShiringa2"
"3451","Cheiloclinium sppTambo1"
"3452","Cheirodendron forbesii"
"3453","Cheirodendron trigynum"
"3454","Chelonespermum majus"
"3455","Chelyocarpus ulei"
"3456","Chenopodium oahuense"
"3457","Chidlowia sanguinea"
"3458","Chidlowia sppSL1"
"3459","Chimarrhis barbata"
"3460","Chimarrhis duckeana"
"3461","Chimarrhis gentryana"
"3462","Chimarrhis glabriflora"
"3463","Chimarrhis hookeri"
"3464","Chimarrhis latifolia"
"3465","Chimarrhis parviflora"
"3466","Chimarrhis sppCarajas1"
"3467","Chimarrhis sppCarara1"
"3468","Chimarrhis sppFPnet1"
"3469","Chimarrhis sppMishnfl1"
"3470","Chimarrhis sppNangarit1"
"3471","Chimarrhis sppPE1"
"3472","Chimarrhis sppRAINFOR1"
"3473","Chimarrhis sppRiotavar1"
"3474","Chimarrhis sppTEAM1"
"3475","Chimarrhis sppTEAM2"
"3476","Chimarrhis turbinata"
"3477","Chimarrhis williamsii"
"3478","Chiococca alba"
"3479","Chiococca sppCalima1"
"3480","Chiococca sppVencer1"
"3481","Chionanthus africanus"
"3482","Chionanthus brachystachys"
"3483","Chionanthus compactus"
"3484","Chionanthus domingensis"
"3485","Chionanthus dominguensis"
"3486","Chionanthus filiformis"
"3487","Chionanthus hahlii"
"3488","Chionanthus implicatus"
"3489","Chionanthus macrocarpus"
"3490","Chionanthus mandioccanus"
"3491","Chionanthus micranthus"
"3492","Chionanthus obtusifolius"
"3493","Chionanthus pedunculatus"
"3494","Chionanthus sppBRi1"
"3495","Chionanthus sppBaitete1"
"3496","Chionanthus sppGenting1"
"3497","Chionanthus sppRAINFOR1"
"3498","Chionanthus trichotomus"
"3499","Chione sylvicola"
"3500","Chione venosa"
"3501","Chiranthodendron pentadactylon"
"3502","Chisocheton ceramicus"
"3503","Chisocheton divergens"
"3504","Chisocheton erythrocarpus"
"3505","Chisocheton guarea"
"3506","Chisocheton macrophyllus"
"3507","Chisocheton patens"
"3508","Chisocheton sppGentry1"
"3509","Chisocheton sppPalanan1"
"3510","Chisocheton sppPalanan2"
"3511","Chisocheton sppTEAM1"
"3512","Chisocheton sppVarirata1"
"3513","Chisocheton tomentosus"
"3514","Chlamydocola chlamydantha"
"3515","Chlorocardium rodiei"
"3516","Chlorocardium sppRAINFOR1"
"3517","Chlorocardium sppTEAM1"
"3518","Chlorocardium venenosum"
"3519","Chlorophora excelsa"
"3520","Chlorophora regia"
"3521","Chlorophora sppIncahuar1"
"3522","Chlorophora tinctoria"
"3523","Choerospondias axillaris"
"3524","Chomelia apodantha"
"3525","Chomelia barbellata"
"3526","Chomelia bella"
"3527","Chomelia microloba"
"3528","Chomelia panamensis"
"3529","Chomelia paniculata"
"3530","Chomelia pedunculosa"
"3531","Chomelia pohliana"
"3532","Chomelia polyantha"
"3533","Chomelia spinosa"
"3534","Chomelia sppBRi1"
"3535","Chomelia sppCampinas1"
"3536","Chomelia sppCandamo1"
"3537","Chomelia sppFPnet1"
"3538","Chomelia sppLagenoa1"
"3539","Chomelia sppMadidiri1"
"3540","Chomelia sppProviden1"
"3541","Chomelia sppRAINFOR1"
"3542","Chomelia sppTEAM1"
"3543","Chomelia sppYanamtah1"
"3544","Chomelia tenuiflora"
"3545","Chondodendron sppPE1"
"3546","Chondrodendron microphyllum"
"3547","Chondrodendron sppJatunsac1"
"3548","Chondrodendron tomentosum"
"3549","Chorisia insignis"
"3550","Chorisia integrifolia"
"3551","Chorisia speciosa"
"3552","Chorisia sppFPnet1"
"3553","Chorisia sppMadidiri1"
"3554","Chorisia sppRAINFOR1"
"3555","Chorisia sppTEAM1"
"3556","Chouxia sorindeioides"
"3557","Christiana africana"
"3558","Chromolucuma congestifolia"
"3559","Chromolucuma sppRAINFOR1"
"3560","Chrysobalanaceae sppGA1"
"3561","Chrysobalanaceae sppGF1"
"3562","Chrysobalanaceae sppGF2"
"3563","Chrysobalanaceae sppGF3"
"3564","Chrysobalanaceae sppSCA1"
"3565","Chrysobalanaceae sppSCA2"
"3566","Chrysobalanaceae sppSCA3"
"3567","Chrysobalanus ellipticus"
"3568","Chrysobalanus icaco"
"3569","Chrysobalanus orbicularis"
"3570","Chrysobalanus sppRAINFOR1"
"3571","Chrysobalanus sppSCA1"
"3572","Chrysochlamys allenii"
"3573","Chrysochlamys colombiana"
"3574","Chrysochlamys dependens"
"3575","Chrysochlamys membranacea"
"3576","Chrysochlamys nicaraguensis"
"3577","Chrysochlamys silvicola"
"3578","Chrysochlamys sppAntado1"
"3579","Chrysochlamys sppAraracua1"
"3580","Chrysochlamys sppBilsa1"
"3581","Chrysochlamys sppCampano1"
"3582","Chrysochlamys sppCandamo1"
"3583","Chrysochlamys sppCandamo2"
"3584","Chrysochlamys sppCedral1"
"3585","Chrysochlamys sppCuangos1"
"3586","Chrysochlamys sppCutervo1"
"3587","Chrysochlamys sppDureno1"
"3588","Chrysochlamys sppFPnet1"
"3589","Chrysochlamys sppHachimal1"
"3590","Chrysochlamys sppHuamani1"
"3591","Chrysochlamys sppIncahuar1"
"3592","Chrysochlamys sppMaquipuc1"
"3593","Chrysochlamys sppMiazi1"
"3594","Chrysochlamys sppMiazi2"
"3595","Chrysochlamys sppMurri1"
"3596","Chrysochlamys sppNangarit1"
"3597","Chrysochlamys sppPE1"
"3598","Chrysochlamys sppRAINFOR1"
"3599","Chrysochlamys sppRiomanso1"
"3600","Chrysochlamys sppShiringa1"
"3601","Chrysochlamys sppTEAM1"
"3602","Chrysochlamys sppTutunend1"
"3603","Chrysochlamys sppVencer1"
"3604","Chrysochlamys ulei"
"3605","Chrysochlamys weberbaueri"
"3606","Chrysophyllum  manaosense"
"3607","Chrysophyllum africanum"
"3608","Chrysophyllum albidum"
"3609","Chrysophyllum amazonicum"
"3610","Chrysophyllum argenteum"
"3611","Chrysophyllum auratum"
"3612","Chrysophyllum beguei"
"3613","Chrysophyllum bequaertii"
"3614","Chrysophyllum boivinianum"
"3615","Chrysophyllum bombycinum"
"3616","Chrysophyllum boukokoense"
"3617","Chrysophyllum brenesii"
"3618","Chrysophyllum cainito"
"3619","Chrysophyllum colombianum"
"3620","Chrysophyllum cuneifolium"
"3621","Chrysophyllum cuspidatum"
"3622","Chrysophyllum delevoyi"
"3623","Chrysophyllum delphinense"
"3624","Chrysophyllum flexuosum"
"3625","Chrysophyllum giganteum"
"3626","Chrysophyllum glomeruliflorum"
"3627","Chrysophyllum gonocarpum"
"3628","Chrysophyllum guianense"
"3629","Chrysophyllum hirsutum"
"3630","Chrysophyllum inornatum"
"3631","Chrysophyllum januariense"
"3632","Chrysophyllum lacourtianum"
"3633","Chrysophyllum lanceolatum"
"3634","Chrysophyllum lucentifolium"
"3635","Chrysophyllum manaosense"
"3636","Chrysophyllum marginatum"
"3637","Chrysophyllum mexicanum"
"3638","Chrysophyllum oliviforme"
"3639","Chrysophyllum ovale"
"3640","Chrysophyllum panamense"
"3641","Chrysophyllum pauciflorum"
"3642","Chrysophyllum pentagonocarpum"
"3643","Chrysophyllum perpulchrum"
"3644","Chrysophyllum pomiferum"
"3645","Chrysophyllum prieurii"
"3646","Chrysophyllum pruniforme"
"3647","Chrysophyllum sanguinolentum"
"3648","Chrysophyllum sparsiflorum"
"3649","Chrysophyllum splendens"
"3650","Chrysophyllum sppBRi1"
"3651","Chrysophyllum sppBerbicer1"
"3652","Chrysophyllum sppCamorin1"
"3653","Chrysophyllum sppCamorin2"
"3654","Chrysophyllum sppCarlosbo1"
"3655","Chrysophyllum sppColorado1"
"3656","Chrysophyllum sppFPnet1"
"3657","Chrysophyllum sppGA1"
"3658","Chrysophyllum sppGF1"
"3659","Chrysophyllum sppGF2"
"3660","Chrysophyllum sppMadidiri1"
"3661","Chrysophyllum sppMiazi1"
"3662","Chrysophyllum sppPE1"
"3663","Chrysophyllum sppRAINFOR1"
"3664","Chrysophyllum sppRanchoqu1"
"3665","Chrysophyllum sppSCA1"
"3666","Chrysophyllum sppSL1"
"3667","Chrysophyllum sppSLE1"
"3668","Chrysophyllum sppTEAM1"
"3669","Chrysophyllum sppTEAM2"
"3670","Chrysophyllum sppTEAM3"
"3671","Chrysophyllum sppTEAM4"
"3672","Chrysophyllum sppTEAM5"
"3673","Chrysophyllum sppTEAM6"
"3674","Chrysophyllum sppVencer1"
"3675","Chrysophyllum subnudum"
"3676","Chrysophyllum taiense"
"3677","Chrysophyllum ubanguiense"
"3678","Chrysophyllum ucuquirana branca"
"3679","Chrysophyllum venezuelanense"
"3680","Chrysophyllum viride"
"3681","Chrysophyllum wilsonii"
"3682","Chusquea latifolia"
"3683","Chusquea maclurei"
"3684","Chusquea scandens"
"3685","Chusquea sppCarpanta1"
"3686","Chusquea sppCedral1"
"3687","Chusquea sppCerroesp1"
"3688","Chusquea sppCuangos1"
"3689","Chusquea sppCuevas1"
"3690","Chusquea sppCuyas1"
"3691","Chusquea sppFincam1"
"3692","Chusquea sppKennedy1"
"3693","Chusquea sppSacram1"
"3694","Chusquea sppSacram2"
"3695","Chusquea sppUcumari1"
"3696","Chusquea sppVarirata1"
"3697","Chydenanthus excelsus"
"3698","Chytranthus angustifolius"
"3699","Chytranthus artroviridis"
"3700","Chytranthus carneus"
"3701","Chytranthus ferrugineus"
"3702","Chytranthus gilletii"
"3703","Chytranthus macrobotrys"
"3704","Chytranthus setosus"
"3705","Chytranthus sppBanyong1"
"3706","Chytranthus sppBanyong2"
"3707","Chytranthus sppCM1"
"3708","Chytranthus sppFPnet1"
"3709","Chytranthus sppGA1"
"3710","Chytranthus sppNdakani1"
"3711","Chytranthus sppNdakani2"
"3712","Chytranthus sppNdakanni1"
"3713","Chytranthus sppNdakanni2"
"3714","Chytranthus talbotii"
"3715","Cibotium chamissoi"
"3716","Cibotium glaucum"
"3717","Cibotium menziesii"
"3718","Ciconia alba"
"3719","Ciligu sppCDi1"
"3720","Cinchona calisaya"
"3721","Cinchona hirsuta"
"3722","Cinchona macrocalyx"
"3723","Cinchona pubescens"
"3724","Cinchona sppAchupall1"
"3725","Cinchona sppAltosapa1"
"3726","Cinchona sppAltosapa2"
"3727","Cinchona sppAnchicay1"
"3728","Cinchona sppAntado1"
"3729","Cinchona sppChirinos1"
"3730","Cinchona sppCutervo1"
"3731","Cinchona sppCutervo2"
"3732","Cinchona sppFPnet1"
"3733","Cinchona sppFincaz1"
"3734","Cinchona sppIncahuar1"
"3735","Cinchona sppRAINFOR1"
"3736","Cinchona sppSacram1"
"3737","Cinchona sppShiringa1"
"3738","Cinchona sppTEAM1"
"3739","Cinchonopsis amazonica"
"3740","Cinchonopsis sppRAINFOR1"
"3741","Cinnadenia malayana"
"3742","Cinnamodendron dinisii"
"3743","Cinnamomum amoenum"
"3744","Cinnamomum austro sinense"
"3745","Cinnamomum bejolghota"
"3746","Cinnamomum bodinieri"
"3747","Cinnamomum brenesii"
"3748","Cinnamomum burmannii"
"3749","Cinnamomum camphora"
"3750","Cinnamomum carolinense"
"3751","Cinnamomum cassia"
"3752","Cinnamomum cebuense"
"3753","Cinnamomum chavarrianum"
"3754","Cinnamomum effusum"
"3755","Cinnamomum elongatum"
"3756","Cinnamomum eugeniflorum"
"3757","Cinnamomum glabrescens"
"3758","Cinnamomum glaziovii"
"3759","Cinnamomum hammelianum"
"3760","Cinnamomum hatschbachii"
"3761","Cinnamomum heyneanum"
"3762","Cinnamomum iners"
"3763","Cinnamomum javanicum"
"3764","Cinnamomum leptopus"
"3765","Cinnamomum mollissimum"
"3766","Cinnamomum montanum"
"3767","Cinnamomum napoense"
"3768","Cinnamomum obtusifolium"
"3769","Cinnamomum parthenoxylon"
"3770","Cinnamomum parthenoxylum"
"3771","Cinnamomum pauciflorum"
"3772","Cinnamomum porrectum"
"3773","Cinnamomum pseudoglaziovii"
"3774","Cinnamomum sellowianum"
"3775","Cinnamomum sintoc"
"3776","Cinnamomum sppAvalanch1"
"3777","Cinnamomum sppAvalanch2"
"3778","Cinnamomum sppAvalanch3"
"3779","Cinnamomum sppAvalanch4"
"3780","Cinnamomum sppAvalanch5"
"3781","Cinnamomum sppBRi1"
"3782","Cinnamomum sppBRi2"
"3783","Cinnamomum sppCN1"
"3784","Cinnamomum sppCR1"
"3785","Cinnamomum sppIN1"
"3786","Cinnamomum sppProviden1"
"3787","Cinnamomum sppSCA1"
"3788","Cinnamomum sppTEAM1"
"3789","Cinnamomum sppVN1"
"3790","Cinnamomum triplinerve"
"3791","Cinnamomum verum"
"3792","Cinnamonum sppIncahuar1"
"3793","Cinnamonum sppSacram1"
"3794","Cinnamosma madagascariensis"
"3795","Cissampelos sppMagsasay1"
"3796","Cissus adnata"
"3797","Cissus barbeyana"
"3798","Cissus biformifolia"
"3799","Cissus brevipes"
"3800","Cissus dinklagei"
"3801","Cissus erosa"
"3802","Cissus glaberrima"
"3803","Cissus hypoglauca"
"3804","Cissus microcarpa"
"3805","Cissus neei"
"3806","Cissus producta"
"3807","Cissus pseudosicyoides"
"3808","Cissus repens"
"3809","Cissus rhombifolia"
"3810","Cissus sppAllpahua1"
"3811","Cissus sppAltodemi1"
"3812","Cissus sppAltosapa1"
"3813","Cissus sppAntado1"
"3814","Cissus sppAntado2"
"3815","Cissus sppAraracua1"
"3816","Cissus sppAvalanch1"
"3817","Cissus sppBanyong1"
"3818","Cissus sppCandamo1"
"3819","Cissus sppCedral1"
"3820","Cissus sppCerroayp1"
"3821","Cissus sppCerroesp1"
"3822","Cissus sppCuyas1"
"3823","Cissus sppEsmerald1"
"3824","Cissus sppFarall1"
"3825","Cissus sppFincaz1"
"3826","Cissus sppHumboldt1"
"3827","Cissus sppIndiana1"
"3828","Cissus sppKennedy1"
"3829","Cissus sppKorup1"
"3830","Cissus sppMadidiri1"
"3831","Cissus sppMaquipuc1"
"3832","Cissus sppMiazi1"
"3833","Cissus sppMurri1"
"3834","Cissus sppNangarit1"
"3835","Cissus sppNdakanni1"
"3836","Cissus sppNosymang1"
"3837","Cissus sppPalanan1"
"3838","Cissus sppRanchoqu1"
"3839","Cissus sppVarirata1"
"3840","Cissus stipulata"
"3841","Cissus trianae"
"3842","Cissus ulmifolia"
"3843","Cissus verticillata"
"3844","Citharexylon sppEsmerald1"
"3845","Citharexylum caudatum"
"3846","Citharexylum fruticosum"
"3847","Citharexylum gentryi"
"3848","Citharexylum laetum"
"3849","Citharexylum macrophyllum"
"3850","Citharexylum montevidense"
"3851","Citharexylum myrianthum"
"3852","Citharexylum poeppigii"
"3853","Citharexylum solanaceum"
"3854","Citharexylum spinosum"
"3855","Citharexylum sppBRi1"
"3856","Citharexylum sppLagenoa1"
"3857","Citharexylum sppNeusa1"
"3858","Citronella engleriana"
"3859","Citronella gongonha"
"3860","Citronella ilicifolia"
"3861","Citronella incarum"
"3862","Citronella macrocarpa"
"3863","Citronella melliodora"
"3864","Citronella paniculata"
"3865","Citronella sppBoraceia1"
"3866","Citronella sppCandamo1"
"3867","Citronella sppCuevas1"
"3868","Citronella sppRAINFOR1"
"3869","Citronella sppTEAM1"
"3870","Citronella vitiensis"
"3871","Citrus X"
"3872","Citrus aurantiaca"
"3873","Citrus aurantiifolia"
"3874","Citrus limon"
"3875","Citrus reticulata"
"3876","Citrus sinensis"
"3877","Citrus sppBRi1"
"3878","Citrus sppBRii1"
"3879","Citrus x"
"3880","Citrus xparadisi"
"3881","Claoxylon fallax"
"3882","Claoxylon hexandrum"
"3883","Claoxylon insulanum"
"3884","Claoxylon polot"
"3885","Claoxylon sppBaitete1"
"3886","Claoxylon sppPacific1"
"3887","Clarisia biflora"
"3888","Clarisia ilicifolia"
"3889","Clarisia mexicana"
"3890","Clarisia racemosa"
"3891","Clarisia sppCedral1"
"3892","Clarisia sppFPnet1"
"3893","Clarisia sppRAINFOR1"
"3894","Clarisia sppTEAM1"
"3895","Clathrotropis brachypetala"
"3896","Clathrotropis macrocarpa"
"3897","Clathrotropis sppAraracua1"
"3898","Clathrotropis sppAraracua2"
"3899","Clathrotropis sppBerbicer1"
"3900","Clathrotropis sppCeroneb11"
"3901","Clathrotropis sppCeroneb21"
"3902","Clathrotropis sppRAINFOR1"
"3903","Clathrotropis sppVE1"
"3904","Clathrotropis sppVE2"
"3905","Clausena anisata"
"3906","Clavija eggersii"
"3907","Clavija lancifolia"
"3908","Clavija macrocarpa"
"3909","Clavija nutans"
"3910","Clavija procera"
"3911","Clavija sppAntado1"
"3912","Clavija sppChaquima1"
"3913","Clavija sppCuzcoama1"
"3914","Clavija sppDureno1"
"3915","Clavija sppIndiana1"
"3916","Clavija sppLagenoa1"
"3917","Clavija sppLinhares1"
"3918","Clavija sppMurri1"
"3919","Clavija sppPipeline1"
"3920","Clavija sppRAINFOR1"
"3921","Clavija sppTambo1"
"3922","Clavija sppVencer1"
"3923","Clavija weberbaueri"
"3924","Cleidion lasiophyllum"
"3925","Cleidion macarangoides"
"3926","Cleidion spathulatum"
