Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Acacia arabica,Acacia arabica,,1,No opinion,,,,tpl, ,,52
Acacia aroma,Acacia aroma,,1,No opinion,,,,tpl, ,,53
Acacia atkinsiana,Acacia atkinsiana,,1,Accepted,Acacia atkinsiana,Maslin,Fabaceae,ildis, ,,54
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,55
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,56
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,57
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,58
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,59
Acacia aulacocarpa,Acacia aulacocarpa,,1,No opinion,,,,tpl, ,,60
Acacia auriculiformis,Acacia auriculiformis,,1,Accepted,Acacia auriculiformis,Cunn. ex Benth.,Fabaceae,ildis, ,,61
Acacia bakeri,Acacia bakeri,,1,Accepted,Acacia bakeri,Maiden,Fabaceae,ildis, ,,62
Acacia bidwillii,Acacia bidwillii,,1,Synonym,Vachellia bidwillii,(Benth.) Kodela,Fabaceae,ildis, ,,63
Acacia bivenosa,Acacia bivenosa,,1,Accepted,Acacia bivenosa,DC.,Fabaceae,ildis, ,,64
Acacia bivenosa,Acacia bivenosa,,1,Accepted,Acacia bivenosa,DC.,Fabaceae,ildis, ,,65
Acacia brachystachya,Acacia brachystachya,,1,Accepted,Acacia brachystachya,Benth.,Fabaceae,ildis, ,,66
Acacia brachystachya,Acacia brachystachya,,1,Accepted,Acacia brachystachya,Benth.,Fabaceae,ildis, ,,67
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,,68
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,,69
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,,70
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,,71
Acacia cambagei,Acacia cambagei,,1,Accepted,Acacia cambagei,R.Baker,Fabaceae,ildis, ,,72
Acacia catechu,Acacia catechu,,1,No opinion,,,,tpl, ,,73
Acacia caven,Acacia caven,,1,No opinion,,,,tpl, ,,74
Acacia caven,Acacia caven,,1,No opinion,,,,tpl, ,,75
Acacia chisholmii,Acacia chisholmii,,1,Synonym,,,,tpl, ,,76
Acacia chisholmii,Acacia chisholmii,,1,Synonym,,,,tpl, ,,77
Acacia chundra,Acacia chundra,,1,No opinion,,,,tropicos, ,,78
Acacia citrinoviridis,Acacia citrinoviridis,,1,Accepted,Acacia citrinoviridis,Tind. & Maslin,Fabaceae,ildis, ,,79
Acacia citrinoviridis,Acacia citrinoviridis,,1,Accepted,Acacia citrinoviridis,Tind. & Maslin,Fabaceae,ildis, ,,80
Acacia cochliacantha,Acacia cochliacantha,,1,No opinion,,,,tpl, ,,81
Acacia colei,Acacia colei,,1,Accepted,Acacia colei,Maslin & L.A.J.Thomson,Fabaceae,ildis, ,,82
Acacia colei,Acacia colei,,1,Accepted,Acacia colei,Maslin & L.A.J.Thomson,Fabaceae,ildis, ,,83
Acacia collinsii,Acacia collinsii,,1,Synonym,Vachellia collinsii,(Saff.) Seigler & Ebinger,Fabaceae,ildis, ,,84
Acacia concurrens,Acacia concurrens,,1,Accepted,Acacia concurrens,Pedley,Fabaceae,ildis, ,,85
Acacia confusa,Acacia confusa,,1,No opinion,,,,tpl, ,,86
Acacia confusa,Acacia confusa,,1,No opinion,,,,tpl, ,,87
Acacia confusa,Acacia confusa,,1,No opinion,,,,tpl, ,,88
Acacia confusa,Acacia confusa,,1,No opinion,,,,tpl, ,,89
Acacia coriacea,Acacia coriacea,,1,Accepted,Acacia coriacea,DC.,Fabaceae,ildis, ,,90
