"","ID_AE","Latitude","Longitude","Family","Genus","Species","X","Unit_X","Min_X","Max_X","Output","Output_TR","Unit_Y","Equation","RMSE","SEE","Corrected_for_bias","Substitute_equation","Sample_size","Veg_Component","Population","Location","Country","Ecoregion_WWF","Reference"
"1104",39374,35.8022,-82.3452,"Fabaceae","Robinia","psuedoacacia","DBH^2","in2",31,104,"Biomass",NA,"lb","0+0*X+4.13741*(X^(1.08876))",NA,NA,TRUE,"Biomass=0+0*(DBH^2)+4.13741*((DBH^2)^(1.08876))",9,"Stem + branches (live)","Individual","Pisgah National Forests North Carolina","United States","Temperate broadleaf and mixed forests","Clark; A; I;  Schroeder; J; 1986; Weight; volume; and physical properties of major hardwood species in the southern Appalachian mountains; Res; Pap; SE-153; Asheville; NC; U;S; Department of Agriculture; Forest Service; Southeastern Forest Experiment Sta"
"1105",39374,34.766,-84.1435,"Fabaceae","Robinia","psuedoacacia","DBH^2","in2",31,104,"Biomass",NA,"lb","0+0*X+4.13741*(X^(1.08876))",NA,NA,TRUE,"Biomass=0+0*(DBH^2)+4.13741*((DBH^2)^(1.08876))",9,"Stem + branches (live)","Individual","Chattahoochee National Forest in Georgia","United States","Temperate broadleaf and mixed forests","Clark; A; I;  Schroeder; J; 1986; Weight; volume; and physical properties of major hardwood species in the southern Appalachian mountains; Res; Pap; SE-153; Asheville; NC; U;S; Department of Agriculture; Forest Service; Southeastern Forest Experiment Sta"
"1106",39378,44.8831,-68.6719,"Salicaceae","Populus","spp.","DBH","in",1,20,"Biomass","log","lb","0.4689+0*X+2.6087*(log(X^(1)))",NA,NA,NA,"log Biomass=0.4689+0*(DBH)+2.6087*(log((DBH)^(1)))",52,"Whole tree (above stump)","Individual","Orono, Maine","United States","Temperate broadleaf and mixed forests","Young, H. E.; Ribe, J. H.; Wainwright, K. 1980. Weight tables for tree and shrub species in Maine. Misc. Rep. 230. Orono, ME: University of Maine, Life Sciences and Agriculture Experiment Station."
"1107",39382,-2.5,-48.0133333,"Fabaceae","Vatairea","paraensis","DBH","cm",NA,NA,"Biomass",NA,"kg","0.465*X^(2.202)",NA,NA,NA,"Biomass=0.465*(DBH)^(2.202)",54,"Stem+bark+leaves+branches","Individual","Para","Brazil","Tropical and subtropical moist broadleaf forests","Overman, JPM; Witte, HJL; Saldarriaga, JG. 1994. Evaluation of regression models for above-ground biomass determination in Amazon Rainforest. Journal of Tropical Ecology 10(2)."
"1108",39386,47.05,-84.4167,"Aceraceae","Acer","saccharum","DBH","cm",5,60,"Biomass",NA,"kg","0+0*X+0.50183*(X^(2.0444))",NA,NA,NA,"Biomass=0+0*(DBH)+0.50183*((DBH)^(2.0444))",34,"Whole tree (above stump)","Individual","Turkey Lake Watershed, northern Ontario","Canada","Temperate broadleaf and mixed forests","Morrison; I; 1990; Organic matter and mineral distribution in an old-growth Acer saccharum forest near the northern limit of its range; Canadian Journal of Forest Research; 20; 1332-1342;"
"1109",39399,39.2011,-82.6561,"Aceraceae","Acer","rubrum","DBH","cm",0,6,"Biomass","log10","g","1.1891+1.419*(log10(X^(2)))",NA,NA,TRUE,"log10 Biomass=1.1891+1.419*(log10((DBH)^(2)))",45,"Whole tree (aboveground)","Individual","Southern Ohio","United States","Temperate broadleaf and mixed forests","Williams, R. A.; McClenahen, J. R. 1984. Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species. Forest Science. 30: 523-527."
"1118",39409,41.312521,-101.879768,"Cornaceae","Cornus","florida","DBH^2","in2",1,24,"Biomass",NA,"lb","0+0*X+3.08355*(X^(1.14915))",NA,NA,NA,"Biomass=0+0*(DBH^2)+3.08355*((DBH^2)^(1.14915))",48,"Whole tree (aboveground)","Individual",NA,"United States","Temperate grasslands, savannas, and shrublands","Phillips; D; 1981; Predicted total-tree biomass of understory hardwoods; Res; Pap; SE-223; Asheville; NC; U;S; Department of Agriculture; Forest Service; Southeastern Forest Experiment Station;"
"1119",39416,4.17,102.25,"Dipterocarpaceae","Shorea","leprosula","DBH","mm",NA,NA,"Biomass",NA,"g","13.10615*(X^2.38950)",NA,NA,NA,"13.10615*((DBH)^2.38950)",265,"Aboveground biomass","Individual","Tekai Forest Reserve, Pahang","Malaysia","Tropical and subtropical moist broadleaf forests","Heriansyah, I., H. Abdul Hamid, A. Ainudin Nuruddin, A. Abdu and S. Ibrahim (2013). Measuring the Short-term Success of Hill Dipterocarp Forest Restoration: The Use of Organic Materials."
"1120",39449,57.575924,-103.345058,"Pinaceae","Picea","glauca","DBH","cm",5,35,"Biomass",NA,"kg","36.56038+(-10.62749*X)+0.93837*(X^(2))-0.01032*(X^(3))",NA,NA,NA,"Biomass=36.56038+(-10.62749*(DBH))+0.93837*((DBH)^(2))-0.01032*((DBH)^(3))",61,"Whole tree (aboveground)","Individual",NA,"Canada","Boreal forest/taigas","Singh; K; P;  Misra; R; 1979; Structure and function of natural; modified; and silvicultural ecosystems in Uttar Pradesh; Varanasi; Final Tech Report (1975-1978) Man and the Biosphere (MAB) Research Project;"
"1121",39452,37.5438,-107.7636,"Pinaceae","Picea","engelmannii","DBH","cm",4,76,"Biomass",NA,"kg","#NAME?",NA,NA,NA,"Biomass=-36.94+0*(DBH)+0.42*((DBH)^(2))",29,"Whole tree (above stump)","Individual","San Juan National Forest, Colorado","United States","Temperate coniferous forests","Landis; T;  Mogren; E; 1975; Tree strata biomass of subalpine spruce-fir stands in southwestern Colorado; Forest Science; 21; 9-12;"
