Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"527"",""Myrianthus holstii",Myrianthus holstii,,0.9,Accepted,Myrianthus holstii,Engl.,Urticaceae,tpl;tropicos, ,
"528"",""unknown sppTEAM2",No suitable matches found.,,0,,,,,, ,
"529"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
"530"",""Pouteria altissima",Pouteria altissima,,0.9,Accepted,Pouteria altissima,(A.Chev.) Baehni,Sapotaceae,tpl, ,
"531"",""Newtonia buchananii",Newtonia buchananii,,0.9,Accepted,Newtonia buchananii,(Baker)G.C.C.Gilbert & Boutique,Fabaceae,ildis, ,
"532"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
"533"",""unknown sppTEAM2",No suitable matches found.,,0,,,,,, ,
"534"",""Dichaetanthera corymbosa",Dichaetanthera corymbosa,,0.9,Accepted,Dichaetanthera corymbosa,Jacq.-F¨¦l.,Melastomataceae,tpl;tropicos, ,
"535"",""Croton macrostachyus",Croton macrostachyus,,0.9,Accepted,Croton macrostachyus,Hochst. ex Delile,Euphorbiaceae,tpl;tropicos, ,
"536"",""Allophylus abyssinicus",Allophylus abyssinicus,,0.9,Accepted,Allophylus abyssinicus,(Hochst.) Radlk.,Sapindaceae,tpl;tropicos, ,
"537"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"538"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"539"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"540"",""Polyscias fulva",Polyscias fulva,,0.9,Accepted,Polyscias fulva,(Hiern) Harms,Araliaceae,tpl;tropicos, ,
