"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"15541","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15527","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15494","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15590","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15458","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15495","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15380","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15373","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15471","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15498","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15345","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15472","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15473","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15381","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15342","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15455","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15518","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15491","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15476","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15400","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15464","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15561","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15448","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15375","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15545","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15506","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15437","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15572","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15447","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15507","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15383","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15467","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15576","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15435","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
