"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"15222","Melastomataceae","Miconia","cinerascens",0.708666666666667,0.0941339098036177,"genus",1
"15223","Melastomataceae","Miconia","cinnamomifolia",0.73,0.0708232617216773,"species",1
"15224","Melastomataceae","Miconia","coelestis",0.708666666666667,0.0941339098036177,"genus",1
"15225","Melastomataceae","Miconia","collatata",0.708666666666667,0.0941339098036177,"genus",1
"15226","Melastomataceae","Miconia","compressa",0.708666666666667,0.0941339098036177,"genus",1
"15227","Melastomataceae","Miconia","crocea",0.708666666666667,0.0941339098036177,"genus",1
"15228","Melastomataceae","Miconia","cubatanensis",0.708666666666667,0.0941339098036177,"genus",1
"15229","Melastomataceae","Miconia","cuspidata",0.708666666666667,0.0941339098036177,"genus",1
"15230","Melastomataceae","Miconia","cyanocarpa",0.708666666666667,0.0941339098036177,"genus",1
"15231","Melastomataceae","Miconia","decurrens",0.708666666666667,0.0941339098036177,"genus",1
"15232","Melastomataceae","Miconia","dispar",0.708666666666667,0.0941339098036177,"genus",1
"15233","Melastomataceae","Miconia","dodecandra",0.708666666666667,0.0941339098036177,"genus",1
"15234","Melastomataceae","Miconia","dolichorrhyncha",0.708666666666667,0.0941339098036177,"genus",1
"15235","Melastomataceae","Miconia","dorsiloba",0.708666666666667,0.0941339098036177,"genus",1
"15236","Melastomataceae","Miconia","elaeagnoides",0.75,0.0708232617216773,"species",1
"15237","Melastomataceae","Miconia","elata",0.47,0.0708232617216773,"species",1
"15238","Melastomataceae","Miconia","elongata",0.708666666666667,0.0941339098036177,"genus",1
"15239","Melastomataceae","Miconia","erioclada",0.708666666666667,0.0941339098036177,"genus",1
"15240","Melastomataceae","Miconia","eriodonta",0.708666666666667,0.0941339098036177,"genus",1
"15241","Melastomataceae","Miconia","fasciculata",0.708666666666667,0.0941339098036177,"genus",1
"15242","Melastomataceae","Miconia","floribunda",0.708666666666667,0.0941339098036177,"genus",1
"15243","Melastomataceae","Miconia","glaucescens",0.708666666666667,0.0941339098036177,"genus",1
"15244","Melastomataceae","Miconia","glomerulifera",0.708666666666667,0.0941339098036177,"genus",1
"15245","Melastomataceae","Miconia","griffisii",0.708666666666667,0.0941339098036177,"genus",1
"15246","Melastomataceae","Miconia","guianensis",0.708666666666667,0.0941339098036177,"genus",1
"15247","Melastomataceae","Miconia","holosericea",0.62,0.0708232617216773,"species",1
"15248","Melastomataceae","Miconia","hyemalis",0.708666666666667,0.0941339098036177,"genus",1
"15249","Melastomataceae","Miconia","hypoleuca",0.708666666666667,0.0941339098036177,"genus",1
"15250","Melastomataceae","Miconia","impetiolaris",0.708666666666667,0.0941339098036177,"genus",1
"15251","Melastomataceae","Miconia","inconspicua",0.708666666666667,0.0941339098036177,"genus",1
"15252","Melastomataceae","Miconia","jahnii",0.708666666666667,0.0941339098036177,"genus",1
"15253","Melastomataceae","Miconia","juruensis",0.47,0.0708232617216773,"species",1
"15254","Melastomataceae","Miconia","klugii",0.708666666666667,0.0941339098036177,"genus",1
"15255","Melastomataceae","Miconia","laevigata",0.708666666666667,0.0941339098036177,"genus",1
"15256","Melastomataceae","Miconia","lamprophylla",0.708666666666667,0.0941339098036177,"genus",1
"15257","Melastomataceae","Miconia","lanata",0.708666666666667,0.0941339098036177,"genus",1
"15258","Melastomataceae","Miconia","lasiocalyx",0.708666666666667,0.0941339098036177,"genus",1
"15259","Melastomataceae","Miconia","lasiostyla",0.708666666666667,0.0941339098036177,"genus",1
"15260","Melastomataceae","Miconia","lehmannii",0.708666666666667,0.0941339098036177,"genus",1
"15261","Melastomataceae","Miconia","lepidota",0.75,0.0708232617216773,"species",1
"15262","Melastomataceae","Miconia","ligulata",0.708666666666667,0.0941339098036177,"genus",1
"15263","Melastomataceae","Miconia","ligustrina",0.708666666666667,0.0941339098036177,"genus",1
"15264","Melastomataceae","Miconia","ligustroides",0.708666666666667,0.0941339098036177,"genus",1
"15265","Melastomataceae","Miconia","lonchophylla",0.708666666666667,0.0941339098036177,"genus",1
"15266","Melastomataceae","Miconia","longifolia",0.75,0.0708232617216773,"species",1
"15267","Melastomataceae","Miconia","longispicata",0.708666666666667,0.0941339098036177,"genus",1
"15268","Melastomataceae","Miconia","lourteigiana",0.708666666666667,0.0941339098036177,"genus",1
"15269","Melastomataceae","Miconia","lugonis",0.708666666666667,0.0941339098036177,"genus",1
"15270","Melastomataceae","Miconia","lurida",0.708666666666667,0.0941339098036177,"genus",1
"15271","Melastomataceae","Miconia","matthaei",0.708666666666667,0.0941339098036177,"genus",1
"15272","Melastomataceae","Miconia","mazanana",0.708666666666667,0.0941339098036177,"genus",1
"15273","Melastomataceae","Miconia","micropetala",0.708666666666667,0.0941339098036177,"genus",1
"15274","Melastomataceae","Miconia","minutiflora",0.708666666666667,0.0941339098036177,"genus",1
"15275","Melastomataceae","Miconia","mirabilis",0.603,0.0708232617216773,"species",1
"15276","Melastomataceae","Miconia","molinopampana",0.708666666666667,0.0941339098036177,"genus",1
"15277","Melastomataceae","Miconia","multiflora",0.708666666666667,0.0941339098036177,"genus",1
"15278","Melastomataceae","Miconia","multispicata",0.708666666666667,0.0941339098036177,"genus",1
"15279","Melastomataceae","Miconia","myriantha",0.75,0.0708232617216773,"species",1
"15280","Melastomataceae","Miconia","napoana",0.708666666666667,0.0941339098036177,"genus",1
"15281","Melastomataceae","Miconia","nervosa",0.708666666666667,0.0941339098036177,"genus",1
"15282","Melastomataceae","Miconia","nigricans",0.708666666666667,0.0941339098036177,"genus",1
"15283","Melastomataceae","Miconia","nutans",0.708666666666667,0.0941339098036177,"genus",1
"15284","Melastomataceae","Miconia","octopetala",0.708666666666667,0.0941339098036177,"genus",1
"15285","Melastomataceae","Miconia","pachyphylla",0.708666666666667,0.0941339098036177,"genus",1
"15286","Melastomataceae","Miconia","pergamentacea",0.708666666666667,0.0941339098036177,"genus",1
"15287","Melastomataceae","Miconia","petropolitana",0.708666666666667,0.0941339098036177,"genus",1
"15288","Melastomataceae","Miconia","pilgeriana",0.708666666666667,0.0941339098036177,"genus",1
"15289","Melastomataceae","Miconia","plena",0.708666666666667,0.0941339098036177,"genus",1
"15290","Melastomataceae","Miconia","plukenetii",0.708666666666667,0.0941339098036177,"genus",1
"15291","Melastomataceae","Miconia","plumifera",0.708666666666667,0.0941339098036177,"genus",1
"15292","Melastomataceae","Miconia","poeppigii",0.596666666666667,0.0708232617216773,"species",3
"15293","Melastomataceae","Miconia","prasina",0.705,0.0708232617216773,"species",2
"15294","Melastomataceae","Miconia","pterocaulon",0.708666666666667,0.0941339098036177,"genus",1
"15295","Melastomataceae","Miconia","pubipetala",0.708666666666667,0.0941339098036177,"genus",1
"15296","Melastomataceae","Miconia","punctata",0.708666666666667,0.0941339098036177,"genus",1
"17648","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18591",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15297","Melastomataceae","Miconia","pustulata",0.708666666666667,0.0941339098036177,"genus",1
"15298","Melastomataceae","Miconia","pycnoneura",0.708666666666667,0.0941339098036177,"genus",1
"15299","Melastomataceae","Miconia","pyrifolia",0.708666666666667,0.0941339098036177,"genus",1
"15300","Melastomataceae","Miconia","racemosa",0.708666666666667,0.0941339098036177,"genus",1
"15301","Melastomataceae","Miconia","reducens",0.62,0.0708232617216773,"species",1
"15302","Melastomataceae","Miconia","regelii",0.708666666666667,0.0941339098036177,"genus",1
"15303","Melastomataceae","Miconia","resima",0.708666666666667,0.0941339098036177,"genus",1
"15304","Melastomataceae","Miconia","rimalis",0.708666666666667,0.0941339098036177,"genus",1
"15305","Melastomataceae","Miconia","ruficalyx",0.708666666666667,0.0941339098036177,"genus",1
"15306","Melastomataceae","Miconia","rugosa",0.708666666666667,0.0941339098036177,"genus",1
"15307","Melastomataceae","Miconia","rupticalyx",0.708666666666667,0.0941339098036177,"genus",1
"15308","Melastomataceae","Miconia","saltuensis",0.708666666666667,0.0941339098036177,"genus",1
"15309","Melastomataceae","Miconia","schlimii",0.708666666666667,0.0941339098036177,"genus",1
"15310","Melastomataceae","Miconia","sellowiana",0.708666666666667,0.0941339098036177,"genus",1
"15311","Melastomataceae","Miconia","serialis",0.708666666666667,0.0941339098036177,"genus",1
"17495","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18682",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15312","Melastomataceae","Miconia","setulosa",0.708666666666667,0.0941339098036177,"genus",1
"15313","Melastomataceae","Miconia","simplex",0.708666666666667,0.0941339098036177,"genus",1
"15314","Melastomataceae","Miconia","smaragdina",0.708666666666667,0.0941339098036177,"genus",1
"15315","Melastomataceae","Miconia","smithii",0.708666666666667,0.0941339098036177,"genus",1
"15316","Melastomataceae","Miconia","sparrei",0.708666666666667,0.0941339098036177,"genus",1
"15317","Melastomataceae","Miconia","spennerostachya",0.708666666666667,0.0941339098036177,"genus",1
"15318","Melastomataceae","Miconia","splendens",0.66,0.0708232617216773,"species",2
"15587","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15339","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15351","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15573","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15509","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15396","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15508","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15584","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15415","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15406","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"17040","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18255",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15386","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15528","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15585","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15385","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15511","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15493","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15346","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15387","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15450","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15514","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15348","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15496","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15515","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15347","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15579","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15368","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15459","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15470","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15477","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15502","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15462","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15570","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15344","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15356","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"17251","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18398",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15352","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15548","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15364","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15539","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15551","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15367","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15550","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15432","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15423","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15360","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15414","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15554","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15532","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15428","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15426","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15433","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15442","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15362","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15361","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15549","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15397","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15519","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15520","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15355","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15392","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15504","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15578","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15452","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15457","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"17772","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18757",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15555","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15454","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15465","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15586","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15374","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"17994","Elaeocarpaceae","No","suitable",0.653,0.0708232617216773,"species",1
"18713",NA,"No","suitable",0.461007343625,0.0708232617216773,"species",8
"15401","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15480","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
"15565","Melastomataceae","Miconia",NA,0.708666666666667,0.0941339098036177,"genus",1
