"","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"sud_biomass13",37020,49.89375,4.73093,"Temperate broadleaf and mixed forests","-1.614+2.415*log((C))",1.43569195463508e-07,2.22989275190797e-07,3.23564206508553e-07,4.46694931592662e-07,5.93668992923455e-07,7.65682473530175e-07,9.63855746266732e-07,1.18924522246966e-06,1.44285238619583e-06,1.72563091396767e-06,2.0384924009052e-06,2.38231104542336e-06,2.75792753821295e-06,3.16615233157963e-06,3.60776841823779e-06,4.0835337161188e-06,4.59418313269198e-06,5.14043036561674e-06,5.72296948426032e-06,6.3424763274233e-06,6.99960974563488e-06,1.08716768855495e-05,1.57751331398353e-05,2.1778280406234e-05,2.89438918643552e-05,3.73302816560386e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass14",37029,47.85,-68.3333,"Boreal forest/taigas","Biomass=0+0*(DBH)+0.1148*((DBH)^(2.1439))",3.61795932811146,5.34835657236091,7.44299240877832,9.91006518590352,12.7568193072829,15.989757896082,19.6147901322787,23.6373377858313,28.062414882712,32.8946889242297,38.1385290019053,43.7980443355902,49.8771156433896,56.3794210351149,63.3084576467803,70.6675599111212,78.4599151343494,86.6885768893676,95.3564766195903,104.466433761886,114.021164633003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass15",37056,NA,NA,NA,"(0.089*(DBH)^2.5226)",NA,NA,NA,16.8859231274072,22.7280492058656,29.6476316790698,37.7057161852454,46.9604897946673,57.4676591430165,69.2807514276523,82.4513587084413,97.0293394642035,113.062987222491,130.599173353792,149.683469267778,170.360251956202,192.67279590445,216.663353722187,242.373227346036,269.842831292795,299.111749155911,473.77930202828,698.966007358707,978.918510616464,1317.6009336269,1718.74615486521,2185.8931401789,2722.41513719802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass16",37058,-12.75333,-56.916666,"Tropical and subtropical moist broadleaf forests","log Biomass=-3.355+2.578*LOG((DBH))",NA,3.54010331472341,5.26750262094215,7.43203933722734,10.0688345016304,13.2111922722115,16.8908830737408,21.138358811428,25.9829211551952,31.4528561860099,37.5755441952431,44.3775506657023,51.8847026956346,60.1221539561135,69.1144404731266,78.8855289661484,89.4588590743599,100.857380509106,113.103585953791,126.219540368297,140.226907229436,224.367840461113,333.848501756616,471.034449582448,638.151616563106,837.310783474757,1070.52552477059,1339.72584858947,1646.7688624274,1993.44730687341,2381.49651457178,2812.60017649942,3288.39518563485,3810.47575388565,4380.39694749562,4999.67775069022,6392.22944858066,7999.65514527413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass18",37066,19.8333,-155.15,"Tropical and subtropical moist broadleaf forests","log Biomass=-1.4709+0*(DBH)+1.3323*(LOG((DBH)^(1)))",1.96080309317265,2.49992602354048,3.06987268970077,3.66760905453231,4.29075326762377,4.93737651056488,5.60587901937804,6.29490848405748,7.00330393870465,7.73005579261326,8.47427651726754,9.23517861575939,10.0120577165086,10.8042793638789,11.611268534169,12.4325011991051,13.2674974534231,14.1158158551051,14.9770487183454,15.8508181640268,16.7367727790329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass19",37127,-7.81,110.37,"Tropical and subtropical moist broadleaf forests","0.370*((DBH)^2.125)",NA,16.6637649527229,23.1225144273438,30.7091606541359,39.4427381681862,49.340292990043,60.4172814870739,72.6878581450424,86.1650903464934,100.861123126729,116.787308454556,133.95430862798,152.372180322776,172.050443879593,192.998141125579,215.223884150445,238.735896847053,263.54205059307,289.649895135985,317.066685512176,345.799405657407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass20",37229,45.375,127.534,"Temperate broadleaf and mixed forests","2.273+2.308*(Log10(DBH))",3.88622277000753,4.06897308588545,4.2234862763529,4.35733168997741,4.47539171178596,4.581,4.67653431734518,4.76375031587792,4.84398125712418,4.91826350634537,4.98741862590051,5.05210891996987,5.11287611054106,5.17016894177843,5.22436331099913,5.27577722999247,5.32468213224589,5.37131154733765,5.4158678455286,5.45852754587039,5.49944554001506,5.68219585589298,5.83670904636044,5.97055445998494,6.08861448179349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass21",37253,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.62288*((DBH^2)^(1.21132))",6.13801633150233,9.54675315834493,13.8689526037208,19.1662555486669,25.4953760098103,32.9090502136959,41.456718546809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass22",37255,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.64377*((DBH^2)^(1.22458))",6.29903120118556,9.84467311135102,14.3603392361177,19.9157312116232,26.5752261001734,34.3988864330491,43.4431884856011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass23",37257,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.67148*((DBH^2)^(1.23601))",6.46436622177247,10.1452692189813,14.8510574814039,20.659253838041,27.6416962547715,35.8656017809898,45.3943359828608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
