"","Var1","Freq"
"226","Over bark Volume",1
"227","Overbark volume",11
"228","perennial branch",2
"229","Plant weight",1
"230","Prop root",4
"231","Prop roots",1
"232","Prop roots weight",1
"233","Propagule biomass",0
"234","Pulp timber tree volume",3
"235","rameale",4
"236","Rhizome",1
"237","root",63
"238","Root and stilt biomass",1
"239","Root biomass",87
"240","Root weight",6
"241","Roots",122
"242","Roots biomass",1
"243","Roots total",33
"244","Roots total excluded stump",22
"245","Roots, coarse > 3 mm dia",7
"246","Roots,Stump and Trunk",25
"247","Round logs",1
"248","Sapling above-ground biomass",1
"249","Sapling bark",1
"250","Sapling branches",1
"251","Sapling buds",1
"252","Sapling leaves",1
"253","Sapling roots",1
"254","Sapling stems without bark",1
"255","sapwood volume",8
"256","sawable stem volume - volume bois sciable",2
"257","Sawntimber tree volume",3
"258","shoot",0
"259","shrub",0
"260","Small branches",1
"261","Small branches dry weight",30
"262","Small branches fresh weight",13
"263","Small branches ovendry weight",1
"264","Small branches weight",12
"265","small root",0
"266","Small-root dry biomass",2
"267","souche",5
"268","stand",0
"269","Stand",0
"270","standing wood volume",1
"271","Steam+leaves+thin branches",1
"272","stem",128
"273","Stem",386
"274","Stem (bark only)",293
"275","Stem (wood + bark)",2127
"276","Stem (wood only)",1584
"277","Stem + branches (bark only)",11
"278","Stem + branches (live)",1373
"279","Stem + branches (wood only)",1306
"280","stem bark",4
"281","Stem Bark",50
"282","Stem bark biomass",1
"283","Stem biomass",79
"284","Stem dry biomass",7
"285","Stem dry weight",2
"286","Stem excluding stump biomass",3
"287","Stem fresh biomass",1
"288","Stem overbark volume",6
"289","Stem top",12
"290","Stem underbark",1
"291","Stem underbark volume",6
"292","Stem up to the first branch biomass",2
"293","stem volume",1
"294","Stem volume",411
"295","Stem Volume",7
"296","stem volume over bark without the branches - volmue tige bois fort sur ecorce",1
"297","Stem weight",5
"298","stem wood",4
"299","Stem Wood",50
"300","Stem wood biomass",4
"301","Stem-Stem excluding stump biomass",1
"302","Stem+bark",194
"303","Stem+Bark",7
"304","Stem+bark+branches",111
"305","Stem+bark+branches+stump",18
"306","Stem+bark+leaves+branches",266
"307","Stem+bark+leaves+branches+stump",209
"308","Stem+bark+stump",31
"309","Stem+branch biomass",1
"310","Stem+branches",12
"311","Stem+branches+leaves",3
"312","Stem+Branches+Leaves+Coarse roots roots+Tap root",2
"313","Stem+leaves+branches+roots",1
"314","Stem+stilt root biomass",1
"315","stembark",0
"316","stemwood",0
"317","Stemwood volume",12
"318","Stilt root biomass",1
"319","stump",11
"320","Stump",1
"321","Stump + roots",35
"322","Stump and Trunk",2431
"323","Stump bark",7
"324","Stump biomass",2
"325","Stump wood",11
"326","stump+root",0
"327","Tapwood and large branches dry weight",18
"328","Tapwood and large branches weight",12
"329","tarif bois fort",1
"330","tarif de biomass",3
"331","tarif de biomass totale",0
"332","tarif de biomasse",2
"333","tarif de biomasse des tiges haute de 2m",0
"334","tarif de cubage",83
"335","tarif de cubage grume",0
"336","tarif de cubage volume total",0
"337","the mass of the stem within the crown",1
"338","the mass of the stem within the crown + branch mass in crown (excluded epicormics)",1
"339","tige",2
"340","Timber volume",78
"341","timber volume (at 12% water content)",0
"342","Topwood and large branches dry weight",12
"343","Topwood and large branches fresh weight",12
"344","total",21
"345","Total",16
"346","Total above ground",65
"347","Total above ground biomass",54
"348","Total Above-ground",11
"349","Total above-ground biomass",0
"350","Total Abovegorund Biomass",16
"351","total aboveground",8
"352","total aboveground biomass",38
"353","Total aboveground biomass",88
"354","Total Aboveground Biomass",8
"355","Total aboveground biomass without leaves",9
"356","Total aboveground volume",1
"357","Total aboveground woody biomass",10
"358","Total aboveground woody biomass (without bark)",0
