"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"24435","Malvaceae","Sterculia","chicha",0.404821666666667,0.0941339098036177,"genus",40
"24436","Malvaceae","Sterculia","chicomendesii",0.404821666666667,0.0941339098036177,"genus",40
"24437","Malvaceae","Sterculia","colombiana",0.404821666666667,0.0941339098036177,"genus",40
"24438","Malvaceae","Sterculia","conwentzii",0.276,0.0708232617216773,"species",1
"24439","Malvaceae","Sterculia","corrugata",0.404821666666667,0.0941339098036177,"genus",40
"24440","Malvaceae","Sterculia","cuspidata",0.404821666666667,0.0941339098036177,"genus",40
"24441","Malvaceae","Sterculia","dawei",0.393,0.0708232617216773,"species",1
"24512","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24442","Malvaceae","Sterculia","duckei",0.404821666666667,0.0941339098036177,"genus",40
"24443","Malvaceae","Sterculia","elata",0.404821666666667,0.0941339098036177,"genus",40
"24444","Malvaceae","Sterculia","excelsa",0.51,0.0708232617216773,"species",2
"24445","Malvaceae","Sterculia","fanaiho",0.404821666666667,0.0941339098036177,"genus",40
"24446","Malvaceae","Sterculia","frondosa",0.47,0.0708232617216773,"species",1
"24451","Malvaceae","Sterculia","lychnophora",0.448,0.0708232617216773,"species",1
"24447","Malvaceae","Sterculia","killipiana",0.404821666666667,0.0941339098036177,"genus",40
"24448","Malvaceae","Sterculia","lanceolata",0.5,0.0708232617216773,"species",3
"24449","Malvaceae","Sterculia","laurifolia",0.404821666666667,0.0941339098036177,"genus",40
"24450","Malvaceae","Sterculia","lepidotostellata",0.404821666666667,0.0941339098036177,"genus",40
"24452","Malvaceae","Sterculia","macrophylla",0.283333333333333,0.0708232617216773,"species",3
"24453","Malvaceae","Sterculia","multiovula",0.404821666666667,0.0941339098036177,"genus",40
"24454","Malvaceae","Sterculia","oblonga",0.62,0.0708232617216773,"species",1
"24455","Malvaceae","Sterculia","palauensis",0.404821666666667,0.0941339098036177,"genus",40
"24456","Malvaceae","Sterculia","parkinsonii",0.404821666666667,0.0941339098036177,"genus",40
"24457","Malvaceae","Sterculia","parviflora",0.404821666666667,0.0941339098036177,"genus",40
"24458","Malvaceae","Sterculia","parvifolia",0.404821666666667,0.0941339098036177,"genus",40
