"","ID_list","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"200","ID200",39676,-19.249889,-57.02935,"Flooded grasslands","log Biomass=-2.525+2.411*LOG((DBH))-3.972+2.937*LOG((DBH))-4.998+2.342*LOG((DBH))",NA,NA,NA,89.6493057052867,221.773590692854,498.637493155342,1037.75462929511,2026.22986691497,3749.81040447338,6629.93888203398,11270.072572747,18512.6076587916,29507.8207036843,45796.3108724458,69406.4963727114,102968.787121391,149848.122893002,214296.632272771,301628.23270372,418417.055855796,572721.645522222,2327273.25866026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","ID923",49819,-19.249889,-57.02935,"Flooded grasslands","log Biomass= -2.781+2.382*LOG((DBH))-3.314+2.508*LOG((DBH))-3.289+1.575*LOG((DBH))",NA,9.02253167827478,24.4421503096402,57.9505213886007,124.096177812133,245.233943459028,454.134286088399,797.053251013984,1337.28617387399,2159.22715051041,3372.95519020898,5119.36705990836,7575.87601566473,10962.6948943539,15549.7213885378,21664.0427390966,29698.0765444937,40118.3638950533,53475.030589385,70411.9317731714,91677.4949538007,297967.90920158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
