"","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"1",36725,4.83776,-73.90108,"Montane grasslands","Biomass=1/(-0.0335468+0.942995/(DBH))",NA,NA,NA,NA,NA,NA,19.1644241386724,22.2044011343488,25.6467620173822,29.5770607077622,34.1069548628559,39.3849837856945,45.613167072445,53.0734542503876,62.1715949108296,73.5134658291032,88.0458106545493,107.335189256333,134.174471148405,174.074756404138,239.635753654445,-473.118957876641,-151.421414449064,-100.281540424742,-79.4195665103572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",36732,4.83776,-73.90108,"Montane grasslands","Biomass=(-2.45123+0.81375*(DBH))^(2)",NA,NA,NA,NA,NA,NA,42.2502600004,53.4912316129,66.0565813504,79.9463092129,95.1604152004,111.6988993129,129.5617615504,148.7490019129,169.2606204004,191.0966170129,214.2569917504,238.7417446129,264.5508756004,291.6843847129,320.1422719504,482.2973800129,677.5619412004,905.9359555129,1167.4194229504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",36796,45.9405,-89.6118,"Temperate broadleaf and mixed forests","log10 Biomass=-0.685+2.249*(LOG10((DBH)^(1)))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.454675829589,120.859174667777,137.438328268569,155.20898132617,174.187289107809,194.388779888758,215.82840893539,238.520605524058,262.479314166579,287.718030974348,433.556500191951,613.209722112339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",36811,44.8831,-68.6719,"Temperate broadleaf and mixed forests","log Biomass=1.3303+0*(DBH)+2.2988*(log((DBH)^(1)))",8.13890233480625,12.3762104445912,17.6394469873286,23.9771109660085,31.4330317924048,40.0473322692228,49.8571094267417,60.8969356701546,73.1992395642495,86.7946026979453,101.711996095673,117.978971882407,135.621821059937,154.665705108187,175.134767022468,197.052225952249,220.440458590133,245.321069729147,271.714953871974,299.64234937809,329.122886334683,500.472168831629,713.30819157144,969.592168879066,1271.09648502895,1619.44363554824,2016.13375905241,2462.56490276166,2960.04842076327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",36813,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685))",5.81354708312451,8.96176843405943,12.9212732994908,17.7402933489726,23.462891887753,30.1297893129693,37.7789524599832,46.446032160577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",36817,35.212,-83.4217,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",36819,30.0684,-83.3669,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",36820,30.0684,-83.3669,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.5179*((DBH^2)^(1.16725))",5.55089484321546,8.49594356643686,12.1758390714363,16.6295730642026,21.8925657777186,27.9973885790182,34.9742772488248,42.8515113496827,51.6557035401384,61.412025878178,72.1443905879855,83.8755970221108,96.6274529522001,110.420875981763,125.275979305356,141.2121449576,158.248086933189,176.401906010248,195.691137707115,216.132794502788,237.743403224535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",36826,44.8831,-68.6719,"Temperate broadleaf and mixed forests","log Biomass=0.9392+0*(DBH)+2.3804*(log((DBH)^(1)))",5.8172096434053,8.97837526573166,12.9585942426965,17.8074577294303,23.5703149973604,30.2891103238521,38.0029810248239,46.7487018043066,56.5610252280158,67.4729491834686,79.5159313565201,92.7200642262409,107.114219972577,122.726172011411,139.582698068496,157.709668457717,177.132122347934,197.874334166566,219.959871820563,243.411648066137,268.251966093914,414.024414624949,597.566289768736,821.16441384733,1086.91000102818,1396.73724924456,1752.45091757964,2155.74681678524,2608.22750971391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",36893,41.4941,-71.5828,"Temperate broadleaf and mixed forests","log Biomass=0.10594+0*(DBH)+2.33968*(log((DBH)^(1)))",NA,NA,NA,16.2842348027529,21.4510171242983,27.4476884216839,34.30452519629,42.0498598680635,50.7103674657018,60.3112899856728,70.8766156846966,82.429224902389,94.9910104566896,108.582978343254,123.225332919244,138.93754968328,155.738438009439,173.646195650325,192.678456426106,212.852332219663,234.184450173502,358.770587955806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
