"","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"sud_biomass10",36811,44.8831,-68.6719,"Temperate broadleaf and mixed forests","log Biomass=1.3303+0*(DBH)+2.2988*(log((DBH)^(1)))",8.13890233480625,12.3762104445912,17.6394469873286,23.9771109660085,31.4330317924048,40.0473322692228,49.8571094267417,60.8969356701546,73.1992395642495,86.7946026979453,101.711996095673,117.978971882407,135.621821059937,154.665705108187,175.134767022468,197.052225952249,220.440458590133,245.321069729147,271.714953871974,299.64234937809,329.122886334683,500.472168831629,713.30819157144,969.592168879066,1271.09648502895,1619.44363554824,2016.13375905241,2462.56490276166,2960.04842076327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass11",36813,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685))",5.81354708312451,8.96176843405943,12.9212732994908,17.7402933489726,23.462891887753,30.1297893129693,37.7789524599832,46.446032160577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass12",36817,35.212,-83.4217,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass13",36817,35.8022,-82.3452,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass14",36817,34.766,-84.1435,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass15",36819,30.0684,-83.3669,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass16",36819,34.1901,-78.2818,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass17",36819,34.8324,-77.345,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass18",36819,35.2406,-77.1309,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass19",36819,36.1506,-76.9703,"Temperate coniferous forests","Biomass=0+0*(DBH^2)+2.52363*((DBH^2)^(1.19648))",5.78822440925711,8.95412009375687,12.9486324833838,17.8236364008943,23.6266557866165,30.4017160757283,38.1899542982666,47.0300730502099,56.9586887887627,68.0106057566124,80.219035876512,93.6157783430774,108.231368472354,124.095202648832,141.235644377159,159.680115178503,179.45517317454,200.58658155411,223.099368640995,247.017880925033,272.365830148603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
