"","LAT","LON","binomial","levelWD","biomass","DBH","quantity","biomass_portion","DBH_portion","abundacne_frequency"
"1",-0.992033849531824,28.3575187101779,"Cyathea manniana","dataset",0.356214888116474,24.5086573569476,1,0.00102734811240504,0.0013863543902436,0.00166944908180301
"3",-0.992033849531824,28.3575187101779,"Dichaetanthera corymbosa","dataset",4.018551466426,206.029011868097,7,0.0115897774106661,0.011654217567325,0.011686143572621
"5",-0.992033849531824,28.3575187101779,"Leptonychia mildbraedii","dataset",20.3202465351788,1017.89698397729,34,0.0586049814815575,0.0575782643659426,0.0567612687813022
"9",-0.992033849531824,28.3575187101779,"Pauridiantha callicarpoides","dataset",1.76432784207105,88.8524205047411,3,0.00508844222598211,0.00502601760090297,0.00500834724540901
"13",-0.992033849531824,28.3575187101779,"Rytigynia ruwenzoriensis","dataset",1.49670446587251,65.9425259887128,2,0.00431659809608953,0.00373009867806119,0.00333889816360601
"15",-0.992033849531824,28.3575187101779,"Sericostachys scandens","dataset",0.522620680103836,28.5819560350989,1,0.00150727380331436,0.00161676421739098,0.00166944908180301
"16",-0.992033849531824,28.3575187101779,"Xymalos holstii","dataset",0.698350764758384,32.1246612423382,1,0.00201409139231866,0.00181716054452812,0.00166944908180301
"17",-0.992033849531824,28.3575187101779,"Xymalos monospora","dataset",18.74220387575,979.229079716884,34,0.0540537984694407,0.055390979356724,0.0567612687813022
"21",-0.992033849531824,28.3575187101779,"unknown sppTEAM2","dataset",6.47944590535489,344.695205985335,12,0.0186871653666547,0.0194979963673215,0.0200333889816361
"24",-0.992033849531824,28.3575187101779,"unknown sppTEAM9","dataset",8.86849730303528,445.849849438634,15,0.0255773530756059,0.0252199003460906,0.0250417362270451
"27",-0.992033849531824,28.3575187101779,"Albizia sppTEAM1","genus",2.03720665230826,93.1759236206015,3,0.0058754433872611,0.00527058046857086,0.00500834724540901
"29",-0.992033849531824,28.3575187101779,"Cassipourea gummifera","genus",2.56170525593517,114.251094987198,4,0.00738813325051857,0.00646271661555304,0.00667779632721202
"31",-0.992033849531824,28.3575187101779,"Cassipourea sppTEAM1","genus",4.59712727051249,201.590977113262,7,0.0132584296204444,0.0114031761138169,0.011686143572621
"33",-0.992033849531824,28.3575187101779,"Chrysophyllum sppTEAM5","genus",1.85246655553722,84.1582853111553,3,0.00534264030677559,0.00476048959423801,0.00500834724540901
"35",-0.992033849531824,28.3575187101779,"Drypetes sppTEAM3","genus",1.25967208566722,55.5581208683378,2,0.00363298049192261,0.00314269540178098,0.00333889816360601
"38",-0.992033849531824,28.3575187101779,"Drypetes ugandensis","genus",1.12129275463344,35.2373099479459,1,0.00323388503219846,0.00199323033633506,0.00166944908180301
"40",-0.992033849531824,28.3575187101779,"Ficus natelensis","genus",0.904997119326504,58.9678681697412,2,0.00261007361929263,0.00333557084461228,0.00333889816360601
"42",-0.992033849531824,28.3575187101779,"Ficus sur","genus",1.81730864824066,118.121406570924,4,0.00524124249634657,0.00668164429394694,0.00667779632721202
"45",-0.992033849531824,28.3575187101779,"Lovoa sppTEAM1","genus",2.616067971906,126.709956161341,4,0.0075449190433111,0.00716746337644863,0.00667779632721202
"46",-0.992033849531824,28.3575187101779,"Macaranga barteri","genus",17.4259152828468,1241.18115169356,43,0.0502575320964944,0.070208535444321,0.0717863105175292
"49",-0.992033849531824,28.3575187101779,"Millettia dura","genus",36.1458931322978,1424.13187599535,48,0.104247229185206,0.0805573087834749,0.0801335559265442
