"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"14321","Machaerium sppNuevomun2",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14322","Machaerium sppNuevomun3","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14323","Machaerium sppRAINFOR1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14324","Machaerium sppRioheath1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14325","Machaerium sppRioheath2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14326","Machaerium sppRiotavar1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14327","Machaerium sppRiotavar2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14328","Machaerium sppRiotavar3","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14329","Machaerium sppSCA1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14330","Machaerium sppSantotom1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14331","Machaerium sppSantotom2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14332","Machaerium sppShiringa1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14333","Machaerium sppShiringa2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14334","Machaerium sppShiringa3","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14335","Machaerium sppShiringa4","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14336","Machaerium sppSucusari1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14337","Machaerium sppSucusari2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14338","Machaerium sppSucusari3","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14339","Machaerium sppTahuampa1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14340","Machaerium sppTahuampa2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14341","Machaerium sppTahuampa3","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14342","Machaerium sppTambo1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14343","Machaerium sppTambo2","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14344","Machaerium sppYanam21","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14345","Machaerium sppYanamtah1","Fabaceae","Machaerium",NA,0.732477777777778,0.0941339098036177,"genus",15
"14346","Machaerium stipitatum","Fabaceae","Machaerium","stipitatum",0.732477777777778,0.0941339098036177,"genus",15
"14347","Machaerium villosum","Fabaceae","Machaerium","villosum",0.78,0.0708232617216773,"species",3
"14348","Machaonia portoricensis","Rubiaceae","Machaonia","portoricensis",0.611226809845203,0.143078472955927,"dataset",20772
"14349","Machaonia sppRiotavar1","Rubiaceae","Machaonia",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14350","Machaonia sppShiringa1","Rubiaceae","Machaonia",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14351","Machilus bonii","Lauraceae","Machilus","bonii",0.611226809845203,0.143078472955927,"dataset",20772
"14352","Machilus grijsii","Lauraceae","Machilus","grijsii",0.611226809845203,0.143078472955927,"dataset",20772
"14353","Machilus japonica","Lauraceae","Machilus","japonica",0.611226809845203,0.143078472955927,"dataset",20772
"14354","Machilus kurzii","Lauraceae","Machilus","kurzii",0.611226809845203,0.143078472955927,"dataset",20772
"14355","Machilus leptophylla","Lauraceae","Machilus","leptophylla",0.611226809845203,0.143078472955927,"dataset",20772
"14356","Machilus odoratissima","Lauraceae","Machilus","odoratissimus",0.611226809845203,0.143078472955927,"dataset",20772
"14357","Machilus pauhoi","Lauraceae","Machilus","pauhoi",0.611226809845203,0.143078472955927,"dataset",20772
"14358","Machilus thunbergii","Lauraceae","Machilus","thunbergii",0.611226809845203,0.143078472955927,"dataset",20772
"14359","Macleania benthamiana","Ericaceae","Macleania","benthamiana",0.611226809845203,0.143078472955927,"dataset",20772
"14360","Macleania smithiana","Ericaceae","Macleania","smithiana",0.611226809845203,0.143078472955927,"dataset",20772
"14361","Maclura antoinensis",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14362","Maclura pomifera","Moraceae","Maclura","pomifera",0.76,0.0708232617216773,"species",1
"14363","Maclura tinctoria","Moraceae","Maclura","tinctoria",0.794533333333333,0.0708232617216773,"species",15
"14364","Maclurodendron porteri","Rutaceae","Maclurodendron","porteri",0.55,0.0708232617216773,"species",1
"14365","Macoubea guianensis","Apocynaceae","Macoubea","guianensis",0.414333333333333,0.0708232617216773,"species",3
"14366","Macoubea sprucei","Apocynaceae","Macoubea","sprucei",0.414333333333333,0.0941339098036177,"genus",1
"14367","Macphersonia chapelieri","Sapindaceae","Macphersonia","chapelieri",0.611226809845203,0.143078472955927,"dataset",20772
"14368","Macphersonia gracilis","Sapindaceae","Macphersonia","gracilis",0.611226809845203,0.143078472955927,"dataset",20772
"14369","Macranthisiphon longiflorus","Bignoniaceae","Macranthisiphon","longiflorus",0.611226809845203,0.143078472955927,"dataset",20772
"14370","Macrocarpaea glabra","Gentianaceae","Macrocarpaea","glabra",0.611226809845203,0.143078472955927,"dataset",20772
"14371","Macrocarpaea sppIncahuar1",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14372","Macrocarpaea sppMaquipuc1","Gentianaceae","Macrocarpaea",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14373","Macrocnema sppSucusari1","Rubiaceae","Macrocnemum",NA,0.45,0.0941339098036177,"genus",1
"14374","Macrocnemum glabrescens","Rubiaceae","Macrocnemum","glabrescens",0.45,0.0941339098036177,"genus",1
"14375","Macrocnemum roseum","Rubiaceae","Macrocnemum","roseum",0.45,0.0708232617216773,"species",1
"14376","Macrocnemum sppNangarit1","Rubiaceae","Macrocnemum",NA,0.45,0.0941339098036177,"genus",1
"14377","Macrocnemum sppRiomanso1","Rubiaceae","Macrocnemum",NA,0.45,0.0941339098036177,"genus",1
"14378","Macrocnemum sppTutunend1","Rubiaceae","Macrocnemum",NA,0.45,0.0941339098036177,"genus",1
"14379","Macrococculus pomifera","Menispermaceae","Macrococculus","pomifera",0.611226809845203,0.143078472955927,"dataset",20772
"14380","Macrococculus sppBaitete1","Menispermaceae","Macrococculus",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14381","Macrococculus sppVarirata1","Menispermaceae","Macrococculus",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14382","Macrohasseltia macroterantha","Salicaceae","Macrohasseltia","macroterantha",0.611226809845203,0.143078472955927,"dataset",20772
"14383","Macrolobium acaciifolium","Fabaceae","Macrolobium","acaciifolium",0.551,0.0708232617216773,"species",5
"14384","Macrolobium angustifolium","Fabaceae","Macrolobium","angustifolium",0.675,0.0708232617216773,"species",2
"14385","Macrolobium archeri","Fabaceae","Macrolobium","archeri",0.619,0.0941339098036177,"genus",4
"14386","Macrolobium arenarium","Fabaceae","Macrolobium","arenarium",0.619,0.0941339098036177,"genus",4
"14387","Macrolobium bifolium","Fabaceae","Macrolobium","bifolium",0.67,0.0708232617216773,"species",2
"14388","Macrolobium brevense","Fabaceae","Macrolobium","brevense",0.619,0.0941339098036177,"genus",4
"14389","Macrolobium colombianum","Fabaceae","Macrolobium","colombianum",0.619,0.0941339098036177,"genus",4
"14390","Macrolobium costaricense","Fabaceae","Macrolobium","costaricense",0.619,0.0941339098036177,"genus",4
"14391","Macrolobium extensum","Fabaceae","Macrolobium","extensum",0.619,0.0941339098036177,"genus",4
"14392","Macrolobium gracile","Fabaceae","Macrolobium","gracile",0.619,0.0941339098036177,"genus",4
"14393","Macrolobium hartshornii","Fabaceae","Macrolobium","hartshornii",0.619,0.0941339098036177,"genus",4
"14394","Macrolobium ischnocalyx","Fabaceae","Macrolobium","ischnocalyx",0.619,0.0941339098036177,"genus",4
"14395","Macrolobium latifolium","Fabaceae","Macrolobium","latifolium",0.619,0.0941339098036177,"genus",4
"14396","Macrolobium limbatum","Fabaceae","Macrolobium","limbatum",0.58,0.0708232617216773,"species",1
"14397","Macrolobium microcalyx","Fabaceae","Macrolobium","microcalyx",0.619,0.0941339098036177,"genus",4
"14398","Macrolobium rigidum","Fabaceae","Macrolobium","rigidum",0.619,0.0941339098036177,"genus",4
"14399","Macrolobium sppAnchicay1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14400","Macrolobium sppAnchicay2","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14401","Macrolobium sppAntado1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14402","Macrolobium sppArcating1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14403","Macrolobium sppArcating2","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14404","Macrolobium sppCalima1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14405","Macrolobium sppCeroneb11","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14406","Macrolobium sppCeroneb12","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14407","Macrolobium sppCeroneb21","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14408","Macrolobium sppConstanc1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14409","Macrolobium sppDucke1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14410","Macrolobium sppFPnet1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14411","Macrolobium sppIndiana1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14412","Macrolobium sppJenarohe1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14413","Macrolobium sppLaplanad1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14414","Macrolobium sppMiazi1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14415","Macrolobium sppRAINFOR1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14416","Macrolobium sppRiomanso1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14417","Macrolobium sppRiomanso2","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14418","Macrolobium sppRiomanso3","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14419","Macrolobium sppSantiago1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14420","Macrolobium sppShiringa1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14421","Macrolobium sppShiringa2","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14422","Macrolobium sppTEAM1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14423","Macrolobium sppTEAM2","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14424","Macrolobium sppTEAM3","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14425","Macrolobium sppTutunend1","Fabaceae","Macrolobium",NA,0.619,0.0941339098036177,"genus",4
"14426","Macrolobium stenocladum","Fabaceae","Macrolobium","stenocladum",0.619,0.0941339098036177,"genus",4
"14427","Macrolobium suaveolens","Fabaceae","Macrolobium","suaveolens",0.619,0.0941339098036177,"genus",4
"14428","Macrolobium urupaense","Fabaceae","Macrolobium","urupaense",0.619,0.0941339098036177,"genus",4
"14429","Macronema sppCandamo1","Compositae","Macronema",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14430","Macronemum sppAnchicay1","Rubiaceae","Macrocnemum",NA,0.45,0.0941339098036177,"genus",1
"14431","Macropanax maingayi","Araliaceae","Macropanax","maingayi",0.31,0.0941339098036177,"genus",1
"14432","Macropharynx renteriae","Apocynaceae","Macropharynx","renteriae",0.611226809845203,0.143078472955927,"dataset",20772
"14433","Macrothumia kuhlmannii","Salicaceae","Macrothumia","kuhlmannii",0.611226809845203,0.143078472955927,"dataset",20772
"14434","Madhuca alpina","Sapotaceae","Madhuca","alpina",0.97,0.0708232617216773,"species",1
"14435","Madhuca burckiana","Sapotaceae","Madhuca","burckiana",0.59,0.0708232617216773,"species",1
"14436","Madhuca curtisii","Sapotaceae","Madhuca","curtisii",0.54,0.0708232617216773,"species",1
"14437","Madhuca elmeri","Sapotaceae","Madhuca","elmeri",0.667565656565657,0.0941339098036177,"genus",33
"14438","Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii",0.54,0.0708232617216773,"species",1
"14439","Madhuca lancifolia","Sapotaceae","Madhuca","lancifolia",0.55,0.0708232617216773,"species",1
"14440","Madhuca laurifolia","Sapotaceae","Madhuca","laurifolia",0.76,0.0708232617216773,"species",1
"14441","Madhuca magnolis","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14442","Madhuca malaccensis","Sapotaceae","Madhuca","malaccensis",0.635,0.0708232617216773,"species",2
"14443","Madhuca palembanica","Sapotaceae","Madhuca","palembanica",0.667565656565657,0.0941339098036177,"genus",33
"14444","Madhuca pasquieri","Sapotaceae","Madhuca","pasquieri",0.667565656565657,0.0941339098036177,"genus",33
"14445","Madhuca pubicalyx","Sapotaceae","Madhuca","pubicalyx",0.667565656565657,0.0941339098036177,"genus",33
"14446","Madhuca spatulata","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14447","Madhuca sppTEAM1","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14448","Madhuca sppTEAM2","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14449","Madhuca sppTEAM3","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14450","Madhuca sppVN1","Sapotaceae","Madhuca",NA,0.667565656565657,0.0941339098036177,"genus",33
"14451","Maerua filiformis","Capparaceae","Maerua","filiformis",0.611226809845203,0.143078472955927,"dataset",20772
"14452","Maesa indica","Primulaceae","Maesa","indica",0.676,0.0941339098036177,"genus",1
"14453","Maesa lanceolata","Primulaceae","Maesa","lanceolata",0.676,0.0708232617216773,"species",1
"14454","Maesa lensolata","Primulaceae","Maesa","lineolata",0.676,0.0941339098036177,"genus",1
"14455","Maesa perlarius","Primulaceae","Maesa","perlaria",0.676,0.0941339098036177,"genus",1
"14456","Maesa rugosa","Primulaceae","Maesa","rugosa",0.676,0.0941339098036177,"genus",1
"14457","Maesa sppET1","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14458","Maesa sppIN1","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14459","Maesa sppNadugani1","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14460","Maesa sppPalanan1","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14461","Maesa sppPasoh401","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14462","Maesa sppVarirata1","Primulaceae","Maesa",NA,0.676,0.0941339098036177,"genus",1
"14463","Maesobotrya barteri",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14464","Maesobotrya dusenii","Phyllanthaceae","Maesobotrya","dusenii",0.611226809845203,0.143078472955927,"dataset",20772
"14465","Maesobotrya floribunda","Phyllanthaceae","Maesobotrya","floribunda",0.611226809845203,0.143078472955927,"dataset",20772
"14466","Maesobotrya klaineana","Phyllanthaceae","Maesobotrya","klaineana",0.611226809845203,0.143078472955927,"dataset",20772
"14467","Maesobotrya sppBanyong1","Phyllanthaceae","Maesobotrya",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14468","Maesobotrya sppFPnet1","Phyllanthaceae","Maesobotrya",NA,0.611226809845203,0.143078472955927,"dataset",20772
