"","LatRound","Type","mean","lowCI","highCI"
"1",-56,"SD",6.78917794815939,1.73730649271871,11.8410494036001
"2",-55.9,"SD",8.42182961776169,3.04927795351097,13.7943812820124
"3",-55.8,"SD",9.35393058255399,3.59171097577971,15.1161501893283
"4",-55.7,"SD",13.1170441606384,6.85705945978893,19.3770288614878
"5",-55.6,"SD",15.5570208445492,6.35745306645416,24.7565886226442
"6",-55.5,"SD",16.3296289169768,5.36078273434543,27.2984750996082
"7",-55.4,"SD",16.5250778650008,5.22730237346247,27.822853356539
"8",-55.3,"SD",15.6482500711038,3.97890097880339,27.3175991634042
"9",-55.2,"SD",18.3571623078668,6.14237958445477,30.5719450312788
"10",-55.1,"SD",17.9200091259887,5.42936537294601,30.4106528790314
"11",-55,"SD",22.103734251842,6.07772464165805,38.129743862026
"12",-54.9,"SD",26.7755380001189,10.6577381074758,42.893337892762
"13",-54.8,"SD",30.9040025529197,13.0780555386682,48.7299495671712
"14",-54.7,"SD",31.7794934358097,12.2792350875992,51.2797517840201
"15",-54.6,"SD",33.6397690616108,10.4139923230773,56.8655458001443
"16",-54.5,"SD",29.8821997218089,8.28198958743999,51.4824098561777
"17",-54.4,"SD",31.4259020565506,11.9097776809564,50.9420264321449
"18",-54.3,"SD",34.6628322310102,16.0162175489338,53.3094469130866
"19",-54.2,"SD",35.5005134449,17.2503718433186,53.7506550464814
"20",-54.1,"SD",33.6243685031081,14.723393210346,52.5253437958701
"21",-54,"SD",31.9301599585302,13.925473007912,49.9348469091484
"22",-53.9,"SD",26.8964927368612,7.1869747781496,46.6060106955727
"23",-53.8,"SD",29.0724456427934,9.27311664765589,48.8717746379309
"24",-53.7,"SD",26.0597527015513,7.77498823278957,44.3445171703131
"25",-53.6,"SD",24.7940385476535,6.03783319102653,43.5502439042804
"26",-53.5,"SD",24.0749587932117,4.02969625079698,44.1202213356264
"27",-53.4,"SD",20.9479817318962,3.51383912262905,38.3821243411634
"28",-53.3,"SD",19.3134755372743,1.90274211926917,36.7242089552795
"29",-53.2,"SD",17.4127645258731,-0.372995645674497,35.1985246974207
"30",-53.1,"SD",15.0692587185467,-1.09651424095699,31.2350316780504
"31",-53,"SD",14.7597844457941,0.161052458818519,29.3585164327698
"32",-52.9,"SD",16.5795807205725,-0.972358766825206,34.1315202079701
"33",-52.8,"SD",17.2493331601115,-1.54239728514635,36.0410636053693
"34",-52.7,"SD",14.8548428432601,0.0881172702252666,29.621568416295
"35",-52.6,"SD",13.9464330564981,0.995612327966942,26.8972537850293
"36",-52.5,"SD",21.5952435244171,3.92156164685509,39.2689254019791
"37",-52.4,"SD",26.3379101443878,10.410085871261,42.2657344175145
"38",-52.3,"SD",24.5689179706938,8.75397954237226,40.3838563990154
"39",-52.2,"SD",25.0814127508919,9.20535905459062,40.9574664471932
"40",-52.1,"SD",21.8605146644524,3.97971965829912,39.7413096706057
"41",-52,"SD",19.310293917383,2.54365409130516,36.0769337434609
"42",-51.9,"SD",15.4314473350435,1.77162827535566,29.0912663947313
"43",-51.8,"SD",15.9266408740836,-0.0460984348485862,31.8993801830158
"44",-51.7,"SD",12.5304630515966,-1.69083845415835,26.7517645573516
"45",-51.6,"SD",11.4183179574506,-1.7674024426426,24.6040383575437
"46",-51.5,"SD",13.5850422898369,-1.52806762485005,28.6981522045238
"47",-51.4,"SD",18.1007514694284,2.12842888201266,34.0730740568442
"48",-51.3,"SD",20.9142665239749,6.0902410391216,35.7382920088282
"49",-51.2,"SD",18.7561043320388,5.07139045250964,32.440818211568
"50",-51.1,"SD",20.4019363816974,6.7184230676045,34.0854496957903
"51",-51,"SD",23.6813939973245,10.2780586261728,37.0847293684763
"52",-50.9,"SD",24.2911152974813,8.91423986376837,39.6679907311943
"53",-50.8,"SD",23.4988291908582,8.70508228634415,38.2925760953722
"54",-50.7,"SD",23.1718469424874,9.01235285020345,37.3313410347714
"55",-50.6,"SD",21.6434947692304,7.25832073471664,36.0286688037441
"56",-50.5,"SD",21.7246331077297,8.00257696347753,35.4466892519818
"57",-50.4,"SD",21.8955270637573,7.37668725472383,36.4143668727909
"58",-50.3,"SD",24.138634040051,8.66375920180521,39.6135088782968
"59",-50.2,"SD",22.4593529038494,7.88075254290802,37.0379532647907
"60",-50.1,"SD",21.7359447148111,6.27711411806778,37.1947753115545
"61",-50,"SD",20.1553135768324,3.83867977937327,36.4719473742915
"62",-49.9,"SD",19.4773590473093,4.43458207393275,34.5201360206858
"63",-49.8,"SD",20.4461592665209,3.97786887715095,36.9144496558909
"64",-49.7,"SD",21.683508936292,4.83398871046531,38.5330291621187
"65",-49.6,"SD",20.9194281558314,4.25775694781699,37.5810993638459
"66",-49.5,"SD",20.3097981711402,4.85461736322732,35.7649789790531
"67",-49.4,"SD",22.2353097851241,6.10882782548763,38.3617917447606
"68",-49.3,"SD",22.5942459172699,5.1225588975774,40.0659329369624
"69",-49.2,"SD",23.2565491532592,6.68581783195304,39.8272804745654
"70",-49.1,"SD",25.3613304116292,7.86952623965484,42.8531345836037
"71",-49,"SD",23.7046073475136,6.85590350342581,40.5533111916013
"72",-48.9,"SD",27.3030819455832,8.80107082327156,45.8050930678947
"73",-48.8,"SD",24.8311265245297,6.27992433086715,43.3823287181922
"74",-48.7,"SD",20.396510825914,4.59033873410023,36.2026829177278
"75",-48.6,"SD",24.7817421857593,8.30058413030615,41.2629002412124
"76",-48.5,"SD",25.8852793725577,8.83694685353882,42.9336118915767
"77",-48.4,"SD",23.9214516197253,6.50928905898666,41.3336141804639
