"","LatRound","Type","mean","lowCI","highCI"
"1",-56,"SD",26.722980761528,2.26574442601574,51.1802170970403
"2",-55.9,"SD",37.610364670441,9.97411992390515,65.2466094169769
"3",-55.8,"SD",42.5327046897862,15.2222835381374,69.8431258414349
"4",-55.7,"SD",41.6288732220128,15.5894142817075,67.6683321623181
"5",-55.6,"SD",38.4868780112149,8.99772453600535,67.9760314864244
"6",-55.5,"SD",28.5249778868226,0.953094052062614,56.0968617215825
"7",-55.4,"SD",33.6313463598025,3.02404378540559,64.2386489341995
"8",-55.3,"SD",36.0545238896726,5.44947285898827,66.6595749203568
"9",-55.2,"SD",42.780471247434,8.89702392614916,76.6639185687189
"10",-55.1,"SD",38.0128787218159,5.53997920516387,70.485778238468
"11",-55,"SD",50.335706640946,5.69645674883704,94.974956533055
"12",-54.9,"SD",57.1941782950592,10.7640256275127,103.624330962606
"13",-54.8,"SD",57.3406871114859,8.18850870464929,106.492865518322
"14",-54.7,"SD",52.9417860529585,5.27638713299043,100.607184972927
"15",-54.6,"SD",57.9024599250714,9.47324362437078,106.331676225772
"16",-54.5,"SD",57.7688746524718,9.28607103651724,106.251678268426
"17",-54.4,"SD",52.8942493346934,10.4993918750368,95.2891067943501
"18",-54.3,"SD",57.1013716426747,14.1059179776706,100.096825307679
"19",-54.2,"SD",58.5337222188994,15.5522493302711,101.515195107528
"20",-54.1,"SD",53.2767542780765,11.3113534812682,95.2421550748848
"21",-54,"SD",51.808314496177,9.05961744096194,94.5570115513921
"22",-53.9,"SD",43.8105056517013,-1.00443408523244,88.6254453886351
"23",-53.8,"SD",50.9809443388233,-1.4891573241128,103.451046001759
"24",-53.7,"SD",49.6906761868948,-1.16089485142404,100.542247225214
"25",-53.6,"SD",45.0225306157727,-4.07030978479557,94.115371016341
"26",-53.5,"SD",43.8777131143977,-4.61918476877447,92.37461099757
"27",-53.4,"SD",40.452798151953,-6.03890070014353,86.9444970040496
"28",-53.3,"SD",43.2091015878339,-4.43775120685712,90.8559543825249
"29",-53.2,"SD",35.9382291023465,-5.53657201106758,77.4130302157606
"30",-53.1,"SD",28.3673169588407,-7.434060845421,64.1686947631024
"31",-53,"SD",25.7388104873088,-9.87961042904371,61.3572314036614
"32",-52.9,"SD",37.3208864179254,-11.8723255417298,86.5140983775806
"33",-52.8,"SD",39.0367907491937,-10.8453410089236,88.918922507311
"34",-52.7,"SD",36.1048622751262,-10.0617852991597,82.271509849412
"35",-52.6,"SD",35.5543175173076,-6.30483411491514,77.4134691495303
"36",-52.5,"SD",44.5051953696852,-3.35886061320904,92.3692513525795
"37",-52.4,"SD",49.302335569979,0.582756155640475,98.0219149843176
"38",-52.3,"SD",45.4725232847792,0.724252862858037,90.2207937067004
"39",-52.2,"SD",41.8863240956698,-3.63530874880554,87.4079569401451
"40",-52.1,"SD",40.8810251171989,-5.95293880276223,87.7149890371601
"41",-52,"SD",34.6082379419004,-6.67929190046785,75.8957677842687
"42",-51.9,"SD",26.6314534436048,-4.57400487718392,57.8369117643936
"43",-51.8,"SD",28.6892023994473,-5.6568164301387,63.0352212290334
"44",-51.7,"SD",27.5152783828145,-8.62011278050349,63.6506695461325
"45",-51.6,"SD",24.6956488238901,-7.68195285465328,57.0732505024335
"46",-51.5,"SD",24.6366562967183,-13.6747500106522,62.9480626040887
"47",-51.4,"SD",24.8307138885032,-11.1143925772079,60.7758203542144
"48",-51.3,"SD",33.1619359602165,-4.27393857768533,70.5978104981183
"49",-51.2,"SD",35.6944188432053,1.7520895916361,69.6367480947745
"50",-51.1,"SD",34.7908418429602,1.02419251760418,68.5574911683162
"51",-51,"SD",39.1846237442057,2.16036531362663,76.2088821747848
"52",-50.9,"SD",42.0688928507964,2.41681117030394,81.7209745312888
"53",-50.8,"SD",42.3511047548407,4.5694989946947,80.1327105149866
"54",-50.7,"SD",44.0774692179126,4.99454677552668,83.1603916602986
"55",-50.6,"SD",42.0760555002757,3.08814264304279,81.0639683575085
"56",-50.5,"SD",45.5885502651124,5.28710422330316,85.8899963069216
"57",-50.4,"SD",51.0236389950871,10.7004676631523,91.3468103270219
"58",-50.3,"SD",52.6759778152176,11.8113179227758,93.5406377076593
"59",-50.2,"SD",50.7602879320817,13.03675491615,88.4838209480135
"60",-50.1,"SD",47.687331446065,8.1448366504341,87.2298262416958
"61",-50,"SD",47.0233618274011,7.53945851149702,86.5072651433053
"62",-49.9,"SD",45.8016495875907,10.2411216795675,81.3621774956139
"63",-49.8,"SD",48.9790364945124,10.2703964783725,87.6876765106523
"64",-49.7,"SD",47.1782563247898,7.90820837608366,86.448304273496
"65",-49.6,"SD",45.9215109289701,10.335007589286,81.5080142686543
"66",-49.5,"SD",40.4022911506237,7.37996103603889,73.4246212652085
"67",-49.4,"SD",44.6478462408252,8.62052881596043,80.6751636656899
"68",-49.3,"SD",44.6275341162709,6.19746612799695,83.0576021045449
"69",-49.2,"SD",47.7768961297474,8.33280700645927,87.2209852530356
"70",-49.1,"SD",47.5664514124577,8.61319437692707,86.5197084479883
"71",-49,"SD",47.4124627205681,7.80188874523985,87.0230366958963
"72",-48.9,"SD",49.9742395668935,10.6587937092422,89.2896854245448
"73",-48.8,"SD",53.7648248507007,12.7337456210151,94.7959040803862
"74",-48.7,"SD",45.9752517245968,7.67339981445721,84.2771036347363
"75",-48.6,"SD",52.0363029267843,11.5882509391225,92.4843549144461
"76",-48.5,"SD",51.9182051642571,11.2583588118584,92.5780515166558
"77",-48.4,"SD",50.1649003519906,9.20459089288706,91.1252098110942
