"","LatRound","Type","mean","lowCI","highCI"
"1",-55.7,"GS",21.600896961987,12.4113015776279,30.7904923463461
"2",-55.6,"GS",32.0465158636608,16.9671199514816,47.12591177584
"3",-55.5,"GS",24.638935205295,6.31124718698084,42.9666232236092
"4",-55.4,"GS",23.8120262431275,3.87523012370628,43.7488223625488
"5",-55.3,"GS",24.1951069292508,4.09097798593601,44.2992358725656
"6",-55.2,"GS",27.6945826237924,3.83345047033352,51.5557147772514
"7",-55.1,"GS",26.3093880460707,3.27835829289113,49.3404177992502
"8",-55,"GS",32.4006221974314,3.09971455790655,61.7015298369563
"9",-54.9,"GS",39.2617348820271,7.76066458043539,70.7628051836188
"10",-54.8,"GS",38.7348128191072,6.97666446221756,70.4929611759969
"11",-54.7,"GS",37.6702067264403,5.68467303053586,69.6557404223448
"12",-54.6,"GS",42.8375031654827,7.10671788456846,78.568288446397
"13",-54.5,"GS",41.3613898349266,5.85556900764901,76.8672106622042
"14",-54.4,"GS",44.237484389027,11.5324116108883,76.9425571671657
"15",-54.3,"GS",49.9607968401151,17.0989595378731,82.8226341423572
"16",-54.2,"GS",46.8260144056854,15.9245104218284,77.7275183895424
"17",-54.1,"GS",44.7745359023306,12.7952788584348,76.7537929462264
"18",-54,"GS",40.0613566743433,7.74388390087615,72.3788294478105
"19",-53.9,"GS",33.3336576478068,0.328151833298797,66.3391634623149
"20",-53.8,"GS",36.4116487356622,1.69789464655139,71.125402824773
"21",-53.7,"GS",37.5389418838089,5.10376645063404,69.9741173169838
"22",-53.6,"GS",33.7664892473523,2.34277179867964,65.1902066960251
"23",-53.5,"GS",33.7739244015611,2.13333790052983,65.4145109025924
"24",-53.4,"GS",31.4782187797821,-0.863798000701284,63.8202355602655
"25",-53.3,"GS",31.6458572954758,-0.114221260311286,63.4059358512629
"26",-53.2,"GS",30.8415051408868,-1.82194314902249,63.5049534307961
"27",-53.1,"GS",25.0742638322143,-5.74098180061785,55.8895094650465
"28",-53,"GS",19.3706263320421,-7.15487390334016,45.8961265674243
"29",-52.9,"GS",25.6378473596097,-9.03331062374032,60.3090053429597
"30",-52.8,"GS",27.8865627692635,-7.69014411267949,63.4632696512066
"31",-52.7,"GS",26.5504630327572,-5.20287497034362,58.303801035858
"32",-52.6,"GS",24.4123537107471,-1.04606193655552,49.8707693580498
"33",-52.5,"GS",37.1905087741579,0.855089494452976,73.5259280538629
"34",-52.4,"GS",44.156423684954,7.03327555808653,81.2795718118214
"35",-52.3,"GS",37.1250672130528,3.60037081653053,70.649763609575
"36",-52.2,"GS",36.5691130290147,0.986985499906012,72.1512405581235
"37",-52.1,"GS",35.3420244145315,-2.07866748318702,72.7627163122499
"38",-52,"GS",31.6091978649039,-3.74494863879533,66.9633443686031
"39",-51.9,"GS",24.060918434656,-2.61377988881223,50.7356167581243
"40",-51.8,"GS",27.6027113888408,-4.28886907920111,59.4942918568828
"41",-51.7,"GS",23.3602322047962,-4.83144974469171,51.551914154284
"42",-51.6,"GS",20.8248953383613,-4.10607847111196,45.7558691478345
"43",-51.5,"GS",19.7892455068474,-9.56599702615712,49.144488039852
"44",-51.4,"GS",22.8138689465047,-4.40437919881507,50.0321170918245
"45",-51.3,"GS",29.7725923436778,-1.85152572029958,61.3967104076552
"46",-51.2,"GS",31.4490370392433,-0.957398323199286,63.8554724016859
"47",-51.1,"GS",28.0011736626668,-1.16687963688156,57.1692269622152
"48",-51,"GS",26.1731859777387,-1.41609734096152,53.7624692964389
"49",-50.9,"GS",28.8883132062688,-1.04866117697834,58.8252875895159
"50",-50.8,"GS",32.3272693913365,-0.115162488422342,64.7697012710953
"51",-50.7,"GS",34.0130596001367,-2.26109582620843,70.2872150264818
"52",-50.6,"GS",32.5421512828583,-4.13660443122462,69.2209069969412
"53",-50.5,"GS",33.5607113982367,-1.13542431371691,68.2568471101903
"54",-50.4,"GS",35.8400367188194,1.42315573442571,70.2569177032132
"55",-50.3,"GS",38.9316856519148,3.03761611449537,74.8257551893342
"56",-50.2,"GS",36.7319039272612,4.55554776242752,68.9082600920948
"57",-50.1,"GS",35.0962060521518,1.39503916721814,68.7973729370856
"58",-50,"GS",33.5142662111647,1.05133405231806,65.9771983700114
"59",-49.9,"GS",32.9801305000908,4.72380572087538,61.2364552793062
"60",-49.8,"GS",37.3027599683409,1.6835498209435,72.9219701157383
"61",-49.7,"GS",39.1373922785972,-1.2454831248257,79.5202676820201
"62",-49.6,"GS",34.723034016472,4.82992513500641,64.6161428979376
"63",-49.5,"GS",28.6229504699438,3.88562820681058,53.3602727330771
"64",-49.4,"GS",30.4510290401043,2.97791515655155,57.924142923657
"65",-49.3,"GS",32.9780671169528,2.04779648916941,63.9083377447363
"66",-49.2,"GS",35.6153039669362,5.60712794950379,65.6234799843685
"67",-49.1,"GS",35.8688626229014,5.49117734167842,66.2465479041243
"68",-49,"GS",38.2993447672874,5.05300692289384,71.545682611681
"69",-48.9,"GS",41.2421888008514,6.73462508399925,75.7497525177035
"70",-48.8,"GS",46.1541852119734,10.0714125286046,82.2369578953422
"71",-48.7,"GS",40.0394865734965,4.81247894052553,75.2664942064675
"72",-48.6,"GS",41.2188259360901,6.25188008333959,76.1857717888406
"73",-48.5,"GS",40.6504100197247,7.18979382297968,74.1110262164698
"74",-48.4,"GS",39.9618326420918,6.35126528365866,73.5724000005249
"75",-48.3,"GS",44.7473384113453,12.3900189292562,77.1046578934344
"76",-48.2,"GS",47.8784387340335,14.8564609655576,80.9004165025093
"77",-48.1,"GS",44.4710711863075,11.9624158161567,76.9797265564584
