"","LatRound","Type","mean","lowCI","highCI"
"1",-55.7,"GS",14.9423128217459,7.46325242089419,22.4213732225975
"2",-55.6,"GS",23.7891353879656,10.3764686370858,37.2018021388454
"3",-55.5,"GS",18.0392827827313,2.26343340678096,33.8151321586817
"4",-55.4,"GS",17.9651640984483,0.221711853841846,35.7086163430548
"5",-55.3,"GS",18.3897923799868,0.531875948447084,36.2477088115266
"6",-55.2,"GS",21.9353447761722,-0.418894220493272,44.2895837728377
"7",-55.1,"GS",20.8210668214427,-1.00316516214133,42.6452988050267
"8",-55,"GS",26.8486671929848,-1.84702215554632,55.5443565415159
"9",-54.9,"GS",32.9360970927834,1.72571092383074,64.146483261736
"10",-54.8,"GS",32.9465556179634,1.44893247870506,64.4441787572216
"11",-54.7,"GS",32.0243242039144,0.395843365403586,63.6528050424252
"12",-54.6,"GS",36.8824023883479,1.28578328094577,72.47902149575
"13",-54.5,"GS",34.5770674096493,0.372565073318533,68.7815697459801
"14",-54.4,"GS",36.232964889121,4.86604480508568,67.5998849731564
"15",-54.3,"GS",41.3331128216308,9.25973826689025,73.4064873763714
"16",-54.2,"GS",38.3873386601384,8.19987932784615,68.5747979924307
"17",-54.1,"GS",36.7303103500613,5.29755485766831,68.1630658424542
"18",-54,"GS",32.5778605137065,1.18454431422769,63.9711767131852
"19",-53.9,"GS",27.8209889687117,-4.34681450691914,59.9887924443426
"20",-53.8,"GS",30.9026690196165,-3.07289126947951,64.8782293087125
"21",-53.7,"GS",30.6361893413231,-0.376233576379157,61.6486122590253
"22",-53.6,"GS",27.1163062454557,-3.17416716981021,57.4067796607216
"23",-53.5,"GS",27.5855101468502,-3.13903927540878,58.3100595691092
"24",-53.4,"GS",25.0231201231263,-5.366793365454,55.4130336117065
"25",-53.3,"GS",25.1864786652144,-4.47539616042206,54.8483534908508
"26",-53.2,"GS",24.0194968146475,-6.15352581384931,54.1925194431443
"27",-53.1,"GS",19.6933011812399,-8.58026800749205,47.9668703699719
"28",-53,"GS",14.6784739113704,-8.6379915554304,37.9949393781712
"29",-52.9,"GS",20.845334983823,-11.6006748457367,53.2913448133826
