"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"1",43769,"2093",1,118769,-10.1,-65.9,"Iriartea deltoidea",11,2010,1
"2",43770,"2093",1,118716,-10.1,-65.9,"Iriartea deltoidea",17,2010,1
"3",43771,"2093",1,119010,-10.1,-65.9,"Iriartea deltoidea",19,2010,1
"4",43772,"2093",1,118803,-10.1,-65.9,"Iriartea deltoidea",20,2010,1
"5",43773,"2093",1,118679,-10.1,-65.9,"Iriartea deltoidea",21,2010,1
"6",43774,"2093",1,118818,-10.1,-65.9,"Iriartea deltoidea",22,2010,1
"7",43775,"2093",1,118930,-10.1,-65.9,"Iriartea deltoidea",22,2010,1
"8",43776,"2093",1,118627,-10.1,-65.9,"Iriartea deltoidea",23,2010,1
"9",43777,"2093",1,118983,-10.1,-65.9,"Iriartea deltoidea",23,2010,1
"10",43778,"2093",1,118613,-10.1,-65.9,"Iriartea deltoidea",24,2010,1
"11",43779,"2093",1,118643,-10.1,-65.9,"Iriartea deltoidea",24,2010,1
"12",43780,"2093",1,118785,-10.1,-65.9,"Iriartea deltoidea",24,2010,1
"13",43781,"2093",1,118926,-10.1,-65.9,"Iriartea deltoidea",24,2010,1
"14",43782,"2093",1,118929,-10.1,-65.9,"Iriartea deltoidea",28,2010,1
"15",43783,"2093",1,118680,-10.1,-65.9,"Iryanthera juruensis",10,2010,1
"16",43784,"2093",1,119022,-10.1,-65.9,"Iryanthera juruensis",10,2010,1
"17",43785,"2094",1,119281,-10.1,-65.9,"Iryanthera juruensis",10,2010,1
"18",43786,"2093",1,118677,-10.1,-65.9,"Iryanthera juruensis",11,2010,1
"19",43787,"2093",1,118774,-10.1,-65.9,"Iryanthera juruensis",11,2010,1
"20",43788,"2094",1,119075,-10.1,-65.9,"Iryanthera juruensis",11,2010,1
"21",43789,"2094",1,119197,-10.1,-65.9,"Iryanthera juruensis",11,2010,1
"22",43790,"2094",1,119167,-10.1,-65.9,"Iryanthera juruensis",12,2010,1
"23",43791,"2094",1,119251,-10.1,-65.9,"Iryanthera juruensis",12,2010,1
"24",43792,"2094",1,119115,-10.1,-65.9,"Iryanthera juruensis",13,2010,1
"25",43793,"2093",1,118959,-10.1,-65.9,"Iryanthera juruensis",20,2010,1
"26",43794,"2094",1,119086,-10.1,-65.9,"Iryanthera laevis",18,2010,1
"27",43795,"2094",1,119282,-10.1,-65.9,"Iryanthera laevis",42,2010,1
"28",43796,"2094",1,119332,-10.1,-65.9,"Jacaranda copaia",38,2010,1
"29",43797,"2093",1,118806,-10.1,-65.9,"Jacaranda copaia",49,2010,1
"30",43798,"2093",1,118945,-10.1,-65.9,"Jacaranda copaia",51,2010,1
"31",43799,"2094",1,119177,-10.1,-65.9,"Lacistema aggregatum",10,2010,1
