"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"1",12380,"21",4,154007,-0.585105454,-59.90455434,"Protium apiculatum",16.87042397,2006,1
"2",12381,"21",4,154013,-0.585105454,-59.90455434,"Protium ferrugineum",10.50422624,2006,1
"3",12382,"21",4,154044,-0.585105454,-59.90455434,"Protium giganteum",10.50422624,2006,1
"4",12383,"21",4,153915,-0.585105454,-59.90455434,"Protium grandifolium",13.05070533,2006,1
"5",12384,"21",4,153926,-0.585105454,-59.90455434,"Protium pallidum",11.4591559,2006,1
"6",12385,"21",4,154025,-0.585105454,-59.90455434,"Protium pilosum",10.50422624,2006,1
"7",12386,"21",4,153977,-0.585105454,-59.90455434,"Pseudolmedia laevigata",36.28732702,2006,1
"8",12387,"21",4,153962,-0.585105454,-59.90455434,"Qualea paraensis",26.10141067,2006,1
"9",12388,"21",4,154052,-0.585105454,-59.90455434,"Qualea paraensis",82.76057041,2006,1
"10",12389,"21",4,154059,-0.585105454,-59.90455434,"Rinorea amapensis",12.09577567,2006,1
"11",12390,"21",4,154039,-0.585105454,-59.90455434,"Rinorea amapensis",13.05070533,2006,1
"12",12391,"21",4,153973,-0.585105454,-59.90455434,"Rinorea amapensis",14.32394488,2006,1
"13",12392,"21",4,153981,-0.585105454,-59.90455434,"Rinorea guianensis",10.82253613,2006,1
"14",12393,"21",4,154017,-0.585105454,-59.90455434,"Rinorea guianensis",10.82253613,2006,1
"15",12394,"21",4,154062,-0.585105454,-59.90455434,"Rinorea guianensis",10.82253613,2006,1
"16",12395,"21",4,153925,-0.585105454,-59.90455434,"Roucheria columbiana",20.37183272,2006,1
"17",12396,"21",4,153992,-0.585105454,-59.90455434,"Ruizterania albiflora",11.77746579,2006,1
"18",12397,"21",4,153983,-0.585105454,-59.90455434,"Simaba cedron",11.14084602,2006,1
"19",12398,"21",4,154024,-0.585105454,-59.90455434,"Simaba sppSCA1",14.00563499,2006,1
"20",12399,"21",4,154040,-0.585105454,-59.90455434,"Siparuna decipiens",11.4591559,2006,1
"21",12400,"21",4,154056,-0.585105454,-59.90455434,"Sloanea floribunda",10.50422624,2006,1
"22",12401,"21",4,154027,-0.585105454,-59.90455434,"Sloanea laurifolia",22.91831181,2006,1
"23",12402,"21",4,153952,-0.585105454,-59.90455434,"Sterculia frondosa",23.55493158,2006,1
"24",12403,"21",4,153991,-0.585105454,-59.90455434,"Sterigmapetalum obovatum",30.55774907,2006,1
"25",12404,"21",4,153988,-0.585105454,-59.90455434,"Stryphnodendron racemiferum",11.14084602,2006,1
"26",12405,"21",4,154065,-0.585105454,-59.90455434,"Tachigali chrysophylla",12.73239545,2006,1
"27",12406,"21",4,154042,-0.585105454,-59.90455434,"Tachigali chrysophylla",58.88732894,2006,1
"28",12407,"21",4,153996,-0.585105454,-59.90455434,"Tachigali guianensis",14.00563499,2006,1
"29",12408,"21",4,154038,-0.585105454,-59.90455434,"Tachigali setifera",15.59718442,2006,1
"30",12409,"21",4,153916,-0.585105454,-59.90455434,"Tachigali setifera",65.89014644,2006,1
"31",12410,"21",4,154016,-0.585105454,-59.90455434,"Tapirira guianensis",19.09859317,2006,1
"32",12411,"21",4,153966,-0.585105454,-59.90455434,"Thyrsodium spruceanum",21.00845249,2006,1
"33",12412,"21",4,153969,-0.585105454,-59.90455434,"Toulicia pulvinata",27.05634033,2006,1
"34",12413,"21",4,153985,-0.585105454,-59.90455434,"Touroulia guianensis",10.50422624,2006,1
"35",12414,"21",4,154022,-0.585105454,-59.90455434,"Trattinnickia burserifolia",16.2338042,2006,1
"36",12415,"21",4,154021,-0.585105454,-59.90455434,"Trattinnickia burserifolia",24.82817112,2006,1
"37",12416,"21",4,153947,-0.585105454,-59.90455434,"Trattinnickia burserifolia",45.20000384,2006,1
"38",12417,"21",4,154009,-0.585105454,-59.90455434,"Trichilia micropetala",19.41690306,2006,1
"39",12418,"21",4,153920,-0.585105454,-59.90455434,"Trichilia schomburgkii",21.00845249,2006,1
"40",12419,"21",4,153999,-0.585105454,-59.90455434,"Verbenaceae sppSCA1",16.2338042,2006,1
"41",12420,"21",4,153975,-0.585105454,-59.90455434,"Vitex triflora",13.68732511,2006,1
"42",12421,"21",4,153923,-0.585105454,-59.90455434,"Vochysia divergens",71.30141451,2006,1
"43",12422,"21",4,154019,-0.585105454,-59.90455434,"Xylopia amazonica",15.91549431,2006,1
"44",12423,"21",4,153976,-0.585105454,-59.90455434,"unknown sppSCA1",17.18873385,2006,1
"45",12424,"22",4,154246,-0.591958302,-59.89861521,"Abarema mataybifolia",15.59718442,2006,1
"46",12425,"22",4,154199,-0.591958302,-59.89861521,"Allophylus latifolius",10.18591636,2006,1
"47",12426,"22",4,154100,-0.591958302,-59.89861521,"Allophylus latifolius",11.14084602,2006,1
"48",12427,"22",4,154086,-0.591958302,-59.89861521,"Allophylus latifolius",13.05070533,2006,1
"49",12428,"22",4,154173,-0.591958302,-59.89861521,"Allophylus latifolius",13.05070533,2006,1
"50",12429,"22",4,154125,-0.591958302,-59.89861521,"Aniba canelilla",10.18591636,2006,1
"51",12430,"22",4,154235,-0.591958302,-59.89861521,"Aptandra tubicina",15.91549431,2006,1
"52",12431,"22",4,154133,-0.591958302,-59.89861521,"Aspidosperma excelsum",33.74084794,2006,1
"53",12432,"22",4,154137,-0.591958302,-59.89861521,"Aspidosperma sppSCA1",15.59718442,2006,1
"54",12433,"22",4,154188,-0.591958302,-59.89861521,"Astronium lecointei",23.87324146,2006,1
"55",12434,"22",4,154223,-0.591958302,-59.89861521,"Bocoa viridiflora",11.77746579,2006,1
"56",12435,"22",4,154103,-0.591958302,-59.89861521,"Bocoa viridiflora",12.41408556,2006,1
"57",12436,"22",4,154141,-0.591958302,-59.89861521,"Bocoa viridiflora",15.59718442,2006,1
"58",12437,"22",4,154160,-0.591958302,-59.89861521,"Bocoa viridiflora",24.82817112,2006,1
"59",12438,"22",4,154144,-0.591958302,-59.89861521,"Brosimum rubescens",13.05070533,2006,1
"60",12439,"22",4,154076,-0.591958302,-59.89861521,"Brosimum rubescens",14.00563499,2006,1
"61",12440,"22",4,154075,-0.591958302,-59.89861521,"Brosimum rubescens",20.37183272,2006,1
"62",12441,"22",4,154091,-0.591958302,-59.89861521,"Caraipa valioi",20.37183272,2006,1
"63",12442,"22",4,154127,-0.591958302,-59.89861521,"Chrysophyllum pomiferum",19.73521294,2006,1
"64",12443,"22",4,154228,-0.591958302,-59.89861521,"Chrysophyllum sanguinolentum",12.41408556,2006,1
"65",12444,"22",4,154185,-0.591958302,-59.89861521,"Chrysophyllum sppSCA1",72.57465405,2006,1
"66",12445,"22",4,154151,-0.591958302,-59.89861521,"Connarus perrottetii",16.2338042,2006,1
"67",12446,"22",4,154210,-0.591958302,-59.89861521,"Corythophora alta",14.96056465,2006,1
"68",12447,"22",4,154105,-0.591958302,-59.89861521,"Couratari stellata",35.65070725,2006,1
"69",12448,"22",4,154196,-0.591958302,-59.89861521,"Cupania scrobiculata",11.14084602,2006,1
"70",12449,"22",4,154234,-0.591958302,-59.89861521,"Dialium guianense",10.18591636,2006,1
"71",12450,"22",4,154113,-0.591958302,-59.89861521,"Duguetia stelechantha",12.09577567,2006,1
"72",12451,"22",4,154207,-0.591958302,-59.89861521,"Duguetia trunciflora",14.32394488,2006,1
"73",12452,"22",4,154241,-0.591958302,-59.89861521,"Dulacia guianensis",21.96338215,2006,1
"74",12453,"22",4,154102,-0.591958302,-59.89861521,"Ecclinusa guianensis",13.36901522,2006,1
"75",12454,"22",4,154191,-0.591958302,-59.89861521,"Ecclinusa guianensis",21.32676237,2006,1
"76",12455,"22",4,154130,-0.591958302,-59.89861521,"Enterolobium schomburgkii",14.00563499,2006,1
"77",12456,"22",4,154126,-0.591958302,-59.89861521,"Eschweilera atropetiolata",23.23662169,2006,1
"78",12457,"22",4,154161,-0.591958302,-59.89861521,"Eschweilera atropetiolata",44.56338407,2006,1
"79",12458,"22",4,154159,-0.591958302,-59.89861521,"Eschweilera collina",12.73239545,2006,1
"80",12459,"22",4,154175,-0.591958302,-59.89861521,"Eschweilera collina",13.36901522,2006,1
"81",12460,"22",4,154179,-0.591958302,-59.89861521,"Eschweilera collina",19.73521294,2006,1
"82",12461,"22",4,154190,-0.591958302,-59.89861521,"Eschweilera coriacea",11.4591559,2006,1
"83",12462,"22",4,154176,-0.591958302,-59.89861521,"Eschweilera coriacea",26.10141067,2006,1
"84",12463,"22",4,154184,-0.591958302,-59.89861521,"Eschweilera cyathiformis",10.82253613,2006,1
"85",12464,"22",4,154242,-0.591958302,-59.89861521,"Eschweilera cyathiformis",12.41408556,2006,1
"86",12465,"22",4,154192,-0.591958302,-59.89861521,"Eschweilera pseudodecolorans",11.77746579,2006,1
"87",12466,"22",4,154114,-0.591958302,-59.89861521,"Eschweilera romeu-cardosoi",11.14084602,2006,1
