"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",20250,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea glandulosa",10.2,1,1,33.8982108749811
"2",20249,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea glandulosa",10,1,1,32.2085991944168
"3",20251,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea glandulosa",11.2,1,1,43.1356860759988
"4",20252,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea glandulosa",11.3,1,1,44.1332221811865
"5",20248,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea glandulosa",15,1,1,91.0954832610296
"6",20255,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",10.4,1,1,43.2663872315938
"7",20253,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",10.8,1,1,47.6866244287274
"8",20256,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",10.8,1,1,47.6866244287274
"9",20257,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",11.2,1,1,52.3663196709518
"10",20258,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",11.7,1,1,58.5877162835057
"11",20254,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Alchornea triplinervia",36.9,1,1,1053.46118633244
"12",20259,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Byrsonima sppTEAM1",18.7,1,1,261.868804628716
"13",20260,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Casearia javitensis",10.6,1,1,70.5820239200855
"14",20262,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Cecropia ficifolia",11.1,1,1,30.5055054892208
"15",20261,"VG-YAN-2",-10.3806513,-75.25653021,2015,"PLT_00000129","Cecropia ficifolia",11,1,1,29.8032134073026
