"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",24838,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Agonandra silvatica",12.4,1,1,97.0527183974935
"2",24839,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Aiouea sppTEAM1",16.3,1,1,92.6361782636448
"3",24840,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea glandulosa",11,1,1,34.5771374854567
"4",24841,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea glandulosa",23.2,1,1,230.083655435767
"5",24842,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea triplinervia",29,1,1,487.409152182582
"6",24843,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea triplinervia",31.6,1,1,603.114802646879
"7",24844,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea triplinervia",35.6,1,1,809.69953060215
"8",24845,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea triplinervia",57.8,1,1,2646.25966980305
"9",24846,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchornea triplinervia",77.5,1,1,5361.79007402506
"10",24847,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchorneopsis floribunda",16.4,1,1,102.187189674362
"11",24848,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchorneopsis floribunda",20.7,1,1,184.032954271563
"12",24849,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alchorneopsis floribunda",32.2,1,1,554.289614244393
"13",24850,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alseis lugonis",30.1,1,1,754.599632653512
"14",24851,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Alseis lugonis",37.7,1,1,1316.17201430379
"15",24852,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Ampelocera edentula",13.4,1,1,101.067680523869
"16",24853,"VG-YAS-5",-0.67545,-76.44434,2015,"PLT_00000064","Andira multistipula",10.4,1,1,57.8595117592213
