"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",31294,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aidia ochroleuca",10.8,1,7,72.8655847211422
"2",31405,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aidia ochroleuca",13.7,1,7,134.108555278905
"3",31293,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aidia ochroleuca",16.9,1,7,228.769226923434
"4",31295,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aidia ochroleuca",19.6,1,7,332.7373899356
"5",31271,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Alchornea cordifolia",7.5,1,7,14.8411824893966
"6",31113,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Annickia chlorantha",14.7,1,7,89.5946924154612
"7",31169,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Anthocleista vogelii",6.7,1,7,14.2345344848731
"8",31108,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",100,1,7,8739.41802729267
"9",31102,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",109.4,1,7,10809.8460676122
"10",31329,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",15.2,1,7,85.2864410563346
"11",31484,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",15.5,1,7,89.6330713232851
"12",31070,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",16.5,1,7,105.056630138455
"13",31382,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",17.3,1,7,118.450955245689
"14",31068,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",17.5,1,7,121.948706631273
"15",31357,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",17.5,1,7,121.948706631273
"16",31128,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",17.8,1,7,127.308433760894
"17",31149,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",19.2,1,7,154.142516875055
"18",31388,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",19.4,1,7,158.224548996831
"19",31507,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",19.5,1,7,160.289167197263
"20",31421,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",20.4,1,7,179.584908382154
"21",31155,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",20.5,1,7,181.808847070574
"22",31508,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",20.9,1,7,190.866077118161
"23",31517,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",20.9,1,7,190.866077118161
"24",31330,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",20,1,7,170.849643657375
"25",31243,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",21.1,1,7,195.492032111174
"26",31156,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",21.2,1,7,197.829457406623
"27",31320,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",21.4,1,7,202.553363337042
"28",31420,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",21.6,1,7,207.342887937428
"29",31483,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",21.6,1,7,207.342887937428
"30",31321,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",22.4,1,7,227.162187595296
"31",31275,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",22.8,1,7,237.472015746424
"32",31109,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",23.1,1,7,245.381060131991
"33",31506,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",23.1,1,7,245.381060131991
"34",31183,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",23.2,1,7,248.051219997615
"35",31411,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",23.5,1,7,256.163549814253
"36",31153,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",24.8,1,7,293.09954451455
"37",31223,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",25.2,1,7,305.053708014802
"38",31419,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",25.3,1,7,308.08599662134
"39",31516,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",25.5,1,7,314.20326429951
"40",31518,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",25.5,1,7,314.20326429951
"41",31178,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",25.7,1,7,320.390968532999
"42",31248,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",26.1,1,7,332.978556613753
"43",31409,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",26.5,1,7,345.850486465677
"44",31172,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.2,1,7,369.065671446386
"45",31162,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.3,1,7,372.454162133942
"46",31314,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.5,1,7,379.285429423761
"47",31416,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.5,1,7,379.285429423761
"48",31513,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.6,1,7,382.728257405539
"49",31209,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.8,1,7,389.668429887864
"50",31316,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.8,1,7,389.668429887864
"51",31323,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",27.8,1,7,389.668429887864
"52",31100,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",28.2,1,7,403.767551849342
"53",31222,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",28.5,1,7,414.534116806498
"54",31177,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",28.6,1,7,418.159719126516
"55",31471,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",28.6,1,7,418.159719126516
"56",31354,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",29.5,1,7,451.621767469461
"57",31069,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",29.9,1,7,466.977241168169
"58",31466,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",29.9,1,7,466.977241168169
"59",31302,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",30.6,1,7,494.571358359131
"60",31331,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",30.7,1,7,498.588769992987
"61",31327,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",30,1,7,470.862876483859
"62",31274,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",31.2,1,7,518.960075581404
"63",31289,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",31.4,1,7,527.241677480015
"64",31306,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",31.9,1,7,548.279982318204
"65",31387,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.2,1,7,561.133104785014
"66",31394,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.3,1,7,565.455970278494
"67",31075,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.4,1,7,569.79811861088
"68",31355,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.5,1,7,574.159571992033
"69",31287,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.8,1,7,587.359983614196
"70",31315,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",32.9,1,7,591.798878074562
"71",31300,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",33.3,1,7,609.748826008922
"72",31211,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",33.6,1,7,623.415984031444
"73",31324,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",33.8,1,7,632.625221293352
"74",31154,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",34.6,1,7,670.248258360028
"75",31430,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",34.8,1,7,679.851384918662
"76",31246,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",35.3,1,7,704.206422691688
"77",31221,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",35.6,1,7,719.058366247468
"78",31136,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.2,1,7,749.302401460138
"79",31365,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.2,1,7,749.302401460138
"80",31414,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.3,1,7,754.413329454686
"81",31441,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.4,1,7,759.544384065925
"82",31462,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.4,1,7,759.544384065925
"83",31384,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.5,1,7,764.695585291024
"84",31487,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.7,1,7,775.058507321936
"85",31137,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.9,1,7,785.502254529893
"86",31515,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",36.9,1,7,785.502254529893
"87",31157,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.1,1,7,796.026985109279
"88",31135,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.3,1,7,806.632856473729
"89",31358,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.3,1,7,806.632856473729
"90",31207,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.7,1,7,828.088647351953
"91",31112,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.8,1,7,833.503551886071
"92",31152,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37.9,1,7,838.938877853883
"93",31509,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",37,1,7,790.754487041591
"94",31461,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",38.2,1,7,855.367576844639
"95",31301,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",38.4,1,7,866.422502084633
"96",31415,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",38.7,1,7,883.15896009209
"97",31305,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",39.1,1,7,905.762630003731
"98",31204,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",39.5,1,7,928.69699330272
"99",31463,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",40.2,1,7,969.631437470087
"100",31452,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",40,1,7,957.831799062831
"101",31413,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.1,1,7,1023.76504420566
"102",31356,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.2,1,7,1029.884819546
"103",31385,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.3,1,7,1036.02564662179
"104",31432,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.6,1,7,1054.57461604151
"105",31422,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.7,1,7,1060.79982763867
"106",31486,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.7,1,7,1060.79982763867
"107",31110,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",41.8,1,7,1067.04617956159
"108",31440,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",42.2,1,7,1092.24334190111
"109",31182,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",42.8,1,7,1130.67626914389
"110",31210,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.1,1,7,1150.1804785458
"111",31247,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.1,1,7,1150.1804785458
"112",31460,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.3,1,7,1163.29017220995
"113",31159,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.4,1,7,1169.87713645016
"114",31244,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.5,1,7,1176.48553496003
"115",31359,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.6,1,7,1183.11538469168
"116",31277,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.7,1,7,1189.76670256057
"117",31138,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.8,1,7,1196.43950544561
"118",31465,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",43.8,1,7,1196.43950544561
"119",31470,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",44.7,1,7,1257.46432426609
"120",31208,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",44.8,1,7,1264.352897721
"121",31245,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",44.8,1,7,1264.352897721
"122",31351,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",44.8,1,7,1264.352897721
"123",31206,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.2,1,7,1292.1240390325
"124",31326,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.2,1,7,1292.1240390325
"125",31482,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.2,1,7,1292.1240390325
"126",31431,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.3,1,7,1299.12111823257
"127",31364,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.4,1,7,1306.13994766062
"128",31176,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45.5,1,7,1313.1805435963
"129",31286,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45,1,7,1278.19506602685
"130",31468,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",45,1,7,1278.19506602685
"131",31317,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",46.5,1,7,1384.78721823355
"132",31381,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",46.5,1,7,1384.78721823355
"133",31225,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",46.6,1,7,1392.0683105712
"134",31179,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",46.7,1,7,1399.37136215522
"135",31151,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",46.8,1,7,1406.69638883296
"136",31180,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",47.2,1,7,1436.21656229716
"137",31304,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",47.4,1,7,1451.10890925411
"138",31386,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",47,1,7,1421.41243069716
"139",31107,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",48.2,1,7,1511.56294535899
"140",31205,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",48.3,1,7,1519.21947839242
"141",31332,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",48.6,1,7,1542.32248468884
"142",31464,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",48.8,1,7,1557.83581430094
"143",31158,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",49.1,1,7,1581.27310098493
"144",31181,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",49.6,1,7,1620.78236550829
"145",31319,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",49.6,1,7,1620.78236550829
"146",31220,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",49.7,1,7,1628.75142167962
"147",31212,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",49,1,7,1573.43834624855
"148",31438,"GABON_LNL-07",-0.2,11.58,2016,"PLT_00000028","Aucoumea klaineana",50.2,1,7,1668.93353982557
