"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",118717,"2093",-10.1,-65.9,2010,"PLT_00000122","Ampelocera edentula",10,1,1,47.8646080779901
"2",119014,"2093",-10.1,-65.9,2010,"PLT_00000122","Aniba guianensis",12,1,1,58.2571564485014
"3",118603,"2093",-10.1,-65.9,2010,"PLT_00000122","Aniba sppRAINFOR1",15,1,1,115.89041761296
"4",118995,"2093",-10.1,-65.9,2010,"PLT_00000122","Anthodiscus klugii",14,1,1,111.191638584937
"5",118798,"2093",-10.1,-65.9,2010,"PLT_00000122","Apuleia leiocarpa",14,1,1,128.366169240079
"6",118865,"2093",-10.1,-65.9,2010,"PLT_00000122","Aspidosperma excelsum",75,1,1,8101.54625702176
"7",118761,"2093",-10.1,-65.9,2010,"PLT_00000122","Aspidosperma vargasii",35,1,1,1207.73936621539
"8",118937,"2093",-10.1,-65.9,2010,"PLT_00000122","Astronium lecointei",45,1,1,2347.9499396108
"9",118864,"2093",-10.1,-65.9,2010,"PLT_00000122","Astronium lecointei",49,1,1,2890.29004120565
"10",118980,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",19,1,1,122.074120187549
"11",118674,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",20,1,1,138.928032159739
"12",118771,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",20,1,1,138.928032159739
"13",118799,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",20,1,1,138.928032159739
"14",118731,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",21,1,1,157.078789638269
"15",118601,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",22,1,1,176.553055026445
"16",118706,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",22,1,1,176.553055026445
"17",118741,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",22,1,1,176.553055026445
"18",118635,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",23,1,1,197.376467944864
"19",118690,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",23,1,1,197.376467944864
"20",118701,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",23,1,1,197.376467944864
"21",118748,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",23,1,1,197.376467944864
"22",118868,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",23,1,1,197.376467944864
"23",118678,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"24",118709,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"25",118714,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"26",118837,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"27",118989,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"28",119025,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",24,1,1,219.573720313112
"29",118618,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",25,1,1,243.168623207433
"30",118625,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",25,1,1,243.168623207433
"31",118907,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",25,1,1,243.168623207433
"32",118968,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",25,1,1,243.168623207433
"33",118999,"2093",-10.1,-65.9,2010,"PLT_00000122","Attalea butyracea",25,1,1,243.168623207433
