"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",151172,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Andira micrantha",10.82253613,4,1,88.6597951501629
"2",151264,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Andira micrantha",11.14084602,4,1,95.528689218473
"3",151170,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Andira unifoliolata",29.9211293,4,1,901.253804695756
"4",151242,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Aparisthmium cordatum",10.82253613,4,1,37.2743278605587
"5",151151,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Aspidosperma carapanauba",12.41408556,4,1,96.8508278242719
"6",151246,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Astronium lecointei",21.96338215,4,1,431.831468689489
"7",151190,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Bellucia dichotoma",14.00563499,4,1,97.5317877421591
"8",151149,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Buchenavia parvifolia",21.96338215,4,1,445.723335476078
"9",151154,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Byrsonima duckeana",21.64507226,4,1,347.099962276557
"10",151273,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Calliandra surinamensis",11.14084602,4,1,79.2260419958561
"11",151278,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Casearia javitensis",12.09577567,4,1,90.8892717039393
"12",151185,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Chimarrhis duckeana",12.41408556,4,1,91.7038663919849
"13",151200,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Chimarrhis duckeana",31.51267873,4,1,959.19024707943
"14",151251,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Chimarrhis duckeana",32.46760839,4,1,1032.76690369447
"15",151231,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Chimarrhis duckeana",33.74084794,4,1,1135.81666336238
"16",151180,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Chrysophyllum pomiferum",23.55493158,4,1,500.021981632491
"17",151165,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Couma guianensis",24.82817112,4,1,361.514006064044
"18",151277,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Dacryodes sppSCA1",20.6901426,4,1,274.597597863538
"19",151267,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Dialium guianense",20.6901426,4,1,417.308772466193
"20",151212,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Dicorynia sppSCA1",18.4619734,4,1,213.480578068842
"21",151179,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Dinizia excelsa",143.2394488,4,1,46092.4707574018
"22",151232,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Enterolobium schomburgkii",14.64225476,4,1,138.308442138686
"23",151167,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Enterolobium schomburgkii",15.27887454,4,1,154.135484967131
"24",151192,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera atropetiolata",42.01690498,4,1,2064.35324481275
"25",151209,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera collina",33.10422816,4,1,1183.646178282
"26",151206,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera coriacea",15.91549431,4,1,205.191697017501
"27",151224,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera coriacea",20.05352283,4,1,368.158074626168
"28",151230,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera coriacea",21.00845249,4,1,413.883256496184
"29",151241,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera grandiflora",22.91831181,4,1,528.210020264277
"30",151248,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera pedicellata",12.41408556,4,1,115.488408274361
"31",151208,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera rhododendrifolia",28.32957987,4,1,848.785984799803
"32",151243,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera rhododendrifolia",43.92676429,4,1,2504.24258456542
"33",151257,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera romeu-cardosoi",17.50704374,4,1,253.708179747678
"34",151238,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera tessmannii",16.87042397,4,1,221.630078539894
"35",151239,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera tessmannii",30.23943919,4,1,957.672602102331
"36",151189,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera tessmannii",31.83098862,4,1,1087.50097367704
"37",151188,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eschweilera wachenheimii",24.50986124,4,1,578.452003486392
"38",151226,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eugenia cupulata",11.14084602,4,1,70.8557878068778
"39",151223,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eugenia sppSCA5",33.42253805,4,1,1131.89224423755
"40",151240,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eugenia stictopetala",11.4591559,4,1,76.1793416116843
"41",151234,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Eugenia stictopetala",21.96338215,4,1,397.735539819253
"42",151184,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Fabaceae sppSCA2",38.51549623,4,1,1376.17814746499
"43",151150,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Geissospermum argenteum",18.14366351,4,1,260.902591131138
"44",151203,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Geissospermum urceolatum",16.55211408,4,1,206.783882746787
"45",151187,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Guapira sppSCA1",11.77746579,4,1,76.309141329871
"46",151210,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Guarea sppSCA1",13.05070533,4,1,90.5947559955051
"47",151217,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Heisteria densifrons",11.4591559,4,1,69.0926603111431
"48",151199,"2",-0.657458201,-59.90495779,2006,"PLT_00000057","Heisteria densifrons",24.50986124,4,1,474.837894744726
