"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",4039,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Abarema jupunba",25.8,1,1,460.43040861317
"2",4040,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Ambelania acida",11.5,1,1,53.7988207925076
"3",4041,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Aniba sppTEAM6",27.6,1,1,549.559971237788
"4",4042,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Apeiba echinata",19.5,1,1,106.134154040125
"5",4043,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Aspidosperma album",52,1,1,3316.30903283014
"6",4044,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Aspidosperma sppTEAM6",12.1,1,1,85.2207851741753
"7",4045,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Aspidosperma sppTEAM6",14.3,1,1,130.646942703965
"8",4046,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Aspidosperma sppTEAM6",27.5,1,1,678.737658578834
"9",4047,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Astronium gracile",16,1,1,169.503028967646
"10",4049,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Bocageopsis multiflora",13.9,1,1,104.988781925065
"11",4050,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Bocageopsis multiflora",17.7,1,1,194.035060921517
"12",4051,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Bombax longipedicellatum",17.8,1,1,115.141331480325
"13",4052,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum guianense",19.5,1,1,319.398928232972
"14",4053,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum guianense",23.3,1,1,499.631740176955
"15",4054,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum guianense",34.4,1,1,1316.58689107673
"16",4055,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum potabile",13.2,1,1,79.0004797017787
"17",4056,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum potabile",17.2,1,1,154.95156049373
"18",4057,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum potabile",19.5,1,1,212.783416868134
"19",4058,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum potabile",29.7,1,1,609.669192240394
"20",4059,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum potabile",44.7,1,1,1669.28033993607
"21",4061,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum rubescens",17,1,1,221.273500639771
"22",4062,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Brosimum rubescens",35.9,1,1,1433.4580112882
"23",4063,"VG-CAX-4",-1.75391,-51.52048,2014,"PLT_00000113","Buchenavia ochroprumna",63.1,1,1,4811.95897380476
