"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",1756499,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Acacia sppCabezade1",5,10,1,10.294732638706
"2",1756575,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aegiphila lanceolata",7.5,10,1,25.2699795857973
"3",1756500,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Alchorneopsis floribunda",5,10,1,5.57750893834534
"4",1756501,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aniba sppCabezade1",5,10,1,7.89945368975716
"5",1756576,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aniba sppCabezade1",7.5,10,1,22.9280276869519
"6",1756502,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aparisthmium cordatum",5,10,1,5.39018916020553
"7",1756503,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aparisthmium cordatum",5,10,1,5.39018916020553
"8",1756609,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aparisthmium cordatum",9,10,1,25.1373172926903
"9",1756504,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Arrabidaea fanshawei",5,10,1,8.15059722387003
"10",1756592,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aspidosperma cruentum",8,10,1,33.8088873723599
"11",1756577,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aspidosperma sppCabezade1",7.5,10,1,28.5744526469034
"12",1756610,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aspidosperma sppCabezade1",9,10,1,45.9116816822276
"13",1756645,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Aspidosperma sppCabezade2",13,10,1,118.371846212181
"14",1756505,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Bauhinia guianensis",5,10,1,9.90329596578519
"15",1756578,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Bauhinia guianensis",7.5,10,1,28.7441452299447
"16",1756579,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Bauhinia smilacina",7.5,10,1,28.7441452299447
"17",1756593,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Buchenavia oxycarpa",8,10,1,32.2654749209418
"18",1756629,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Callichlamys latifolia",10,10,1,49.9241018155419
"19",1756651,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caraipa sppCabezade1",14,10,1,126.238276526684
"20",1756658,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caraipa sppCabezade1",16,10,1,177.34546772959
"21",1756506,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caraipa sppCabezade1",5,10,1,8.68782624273404
"22",1756507,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caraipa sppCabezade1",5,10,1,8.68782624273404
"23",1756508,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caraipa sppCabezade1",5,10,1,8.68782624273404
"24",1756509,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Caryodendron sppCabezade1",5,10,1,8.62496062971529
"25",1756677,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Casearia sppCabezade1",32,10,1,965.181368031723
"26",1756655,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Cedrelinga cateniformis",15,10,1,118.188197471114
"27",1756510,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Cedrelinga cateniformis",5,10,1,6.82226011761152
"28",1756511,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Cheiloclinium hippocrateoides",5,10,1,8.15059722387003
"29",1756512,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Cheiloclinium hippocrateoides",5,10,1,8.15059722387003
"30",1756656,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Chrysophyllum auratum",15,10,1,152.623814532565
"31",1756638,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Chrysophyllum sanguinolentum",12,10,1,87.0303132058858
"32",1756661,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Chrysophyllum sanguinolentum",17,10,1,211.544418841677
"33",1756513,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Chrysophyllum sanguinolentum",5,10,1,8.88593183617881
"34",1756514,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Dalbergia sppCabezade1",5,10,1,10.2827756554923
"35",1756630,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Distictella magnoliaefolia",10,10,1,49.9241018155419
"36",1756515,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Distictella magnoliifolia",5,10,1,8.15059722387003
"37",1756516,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Eschweilera sppCabezade2",5,10,1,10.7440062774042
"38",1756611,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Eschweilera sppCabezade3",9,10,1,50.1050124147163
"39",1756665,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Eschweilera sppCabezade4",19,10,1,338.858825303156
"40",1756674,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Eschweilera sppCabezade4",29,10,1,977.023344957644
"41",1756517,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Forsteronia graciloides",5,10,1,8.15059722387003
"42",1756631,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Gavarretia sppCabezade1",10,10,1,52.8296762563485
"43",1756639,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",12,10,1,83.876161958744
"44",1756640,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",12,10,1,83.876161958744
"45",1756672,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",23,10,1,436.712173545784
"46",1756518,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",5,10,1,8.56388803384528
"47",1756519,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",5,10,1,8.56388803384528
"48",1756520,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",5,10,1,8.56388803384528
"49",1756521,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",5,10,1,8.56388803384528
"50",1756522,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",5,10,1,8.56388803384528
"51",1756595,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",8,10,1,29.4099021292716
"52",1756596,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",8,10,1,29.4099021292716
"53",1756597,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",8,10,1,29.4099021292716
"54",1756598,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",8,10,1,29.4099021292716
"55",1756612,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",9,10,1,39.9379621693341
"56",1756613,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea macrophylla",9,10,1,39.9379621693341
"57",1756523,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guarea pubescens",5,10,1,7.15429106122869
"58",1756669,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Guatteria sppCabezade1",22,10,1,352.626301568169
"59",1756524,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Hirtella pilosissima",5,10,1,11.3980849122554
"60",1756614,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Hirtella pilosissima",9,10,1,53.1553287746705
"61",1756637,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Inga alba",11,10,1,61.412558754171
"62",1756525,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Inga auristellae",5,10,1,7.74280898525422
"63",1756526,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Inga auristellae",5,10,1,7.74280898525422
"64",1756527,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera juruensis",5,10,1,8.42123785562089
"65",1756528,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera juruensis",5,10,1,8.42123785562089
"66",1756615,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera juruensis",9,10,1,39.2727085603589
"67",1756616,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera juruensis",9,10,1,39.2727085603589
"68",1756529,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera paraensis",5,10,1,8.62496062971529
"69",1756580,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Iryanthera paraensis",7.5,10,1,25.0337990301025
"70",1756641,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Lacistema aggregatum",12,10,1,67.0258213724892
"71",1756646,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Lacistema aggregatum",13,10,1,82.283871443278
"72",1756652,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Lacistema aggregatum",14,10,1,99.4384866187803
"73",1756659,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Lacistema aggregatum",16,10,1,139.695862498586
"74",1756647,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Ladenbergia sppCabezade1",13,10,1,79.9592030937703
"75",1756678,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Ladenbergia sppCabezade1",33,10,1,833.041610123078
"76",1756642,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Mabea maynensis",12,10,1,79.4648203970441
"77",1756537,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Mabea maynensis",5,10,1,8.11348312342476
"78",1756538,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Machaerium sppCabezade1",5,10,1,9.6271990884797
"79",1756601,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Machaerium sppCabezade1",8,10,1,33.0614998528969
"80",1756618,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Machaerium sppCabezade1",9,10,1,44.8967468365778
"81",1756654,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Manilkara egensis",14,10,1,166.507424292836
"82",1756539,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Manilkara egensis",5,10,1,11.4591834599039
"83",1756671,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Manilkara sppCabezade1",22,10,1,522.706443785926
"84",1756666,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Manilkara venulosa",19,10,1,310.313296229515
"85",1756582,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Maripa sppCabezade1",7.5,10,1,23.6569674503441
"86",1756663,"Cabezade",-10.333333,-75.3,1983,"PLT_00000124","Mezilaurus sppCabezade1",18,10,1,272.013738458051
