"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",21577,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",10.3,1,10,33.9514261680779
"2",21578,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",10.4,1,10,34.6711702167035
"3",21579,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",10.5,1,10,35.3990653445778
"4",21580,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",10.6,1,10,36.1351249143026
"5",21576,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",10,1,10,31.8409652563206
"6",21582,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.1,1,10,39.9383498267101
"7",21583,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.2,1,10,40.7236709020905
"8",21584,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.3,1,10,41.5172471134852
"9",21585,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.4,1,10,42.3190910309556
"10",21586,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.5,1,10,43.129215132698
"11",21587,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11.7,1,10,44.7743533512327
"12",21581,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",11,1,10,39.1612712239115
"13",21588,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",12.1,1,10,48.1645311794789
"14",21589,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",12.2,1,10,49.0329585434977
"15",21590,"VG-VIR-6",-1.37037,29.65852,2015,"PLT_00000136","Afrocrania volkensii",12.3,1,10,49.9097627791589
