"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",1762059,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Alchornea sppCentinel1",12,10,1,58.8245399554238
"2",1761920,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Ardisia sppCentinel1",5,10,1,8.43741610051244
"3",1761995,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Ardisia sppCentinel1",7.5,10,1,24.4894542783034
"4",1761996,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Calyptrogyne sppCentinel1",7.5,10,1,25.2632526436923
"5",1761997,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Calyptrogyne sppCentinel1",7.5,10,1,25.2632526436923
"6",1762022,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Calyptrogyne sppCentinel1",8,10,1,29.8911224597902
"7",1762048,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa guianensis",11,10,1,59.7818473348128
"8",1762103,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa guianensis",19,10,1,240.753434658774
"9",1762033,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa guianensis",9,10,1,35.5987595178361
"10",1762088,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",15,10,1,137.376005032787
"11",1762096,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",17,10,1,188.78332982968
"12",1762098,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",18,10,1,218.172444850006
"13",1761921,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",5,10,1,7.92985137522761
"14",1761922,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",5,10,1,7.92985137522761
"15",1762023,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carapa megistocarpa",8,10,1,27.2325084031251
"16",1761923,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Carica microcarpa",5,10,1,2.93387089320358
"17",1761924,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Casearia arborea",5,10,1,8.21033903008746
"18",1762040,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",10,10,1,53.3139000094922
"19",1762041,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",10,10,1,53.3139000094922
"20",1762042,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",10,10,1,53.3139000094922
"21",1762043,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",10,10,1,53.3139000094922
"22",1762044,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",10,10,1,53.3139000094922
"23",1762049,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",11,10,1,68.1661886687098
"24",1762050,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",11,10,1,68.1661886687098
"25",1762051,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",11,10,1,68.1661886687098
"26",1762052,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",11,10,1,68.1661886687098
"27",1762060,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"28",1762061,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"29",1762062,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"30",1762063,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"31",1762064,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"32",1762065,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"33",1762066,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"34",1762067,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",12,10,1,85.2485879601295
"35",1761925,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",5,10,1,8.70401488676906
"36",1761926,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",5,10,1,8.70401488676906
"37",1761927,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",5,10,1,8.70401488676906
"38",1761928,"Centinel",-0.583333,-79.333333,1982,"PLT_00000047","Catoblastus velutinus",5,10,1,8.70401488676906
