"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",26304,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",10.3,1,7,48.9350224658559
"2",26310,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",10.9,1,7,56.623749515704
"3",26306,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",11.2,1,7,60.7219583847706
"4",26302,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",11.6,1,7,66.4544810856946
"5",26311,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",11.8,1,7,69.4371510154904
"6",26328,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",11.8,1,7,69.4371510154904
"7",26312,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",11.9,1,7,70.9578649879111
"8",26316,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",12.1,1,7,74.0584409188296
"9",26307,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",12.6,1,7,82.1584949273807
"10",26303,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",12.9,1,7,87.2605986851722
"11",26309,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",12,1,7,72.4982691185512
"12",26313,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",13.1,1,7,90.7641010029385
"13",26317,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",13.7,1,7,101.771067103133
"14",26315,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",14.2,1,7,111.520844734867
"15",26327,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",14.9,1,7,126.069614123284
"16",26305,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",15.6,1,7,141.688008536852
"17",26314,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",15.6,1,7,141.688008536852
"18",26308,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",16.7,1,7,168.445228168222
"19",26318,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",16.9,1,7,173.606287055564
"20",26319,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",17.5,1,7,189.645271671351
"21",26320,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Barteria fistulosa",17.5,1,7,189.645271671351
"22",26353,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Diospyros dendo",11.2,1,7,87.1332125007936
"23",26298,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Erythroxylum mannii",16.2,1,7,140.741603274232
"24",26336,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",10.6,1,7,74.9926288719459
"25",26333,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",11.6,1,7,94.5734248933897
"26",26335,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",11.7,1,7,96.6818902561897
"27",26329,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",11,1,7,82.5000671188669
"28",26331,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",13.9,1,7,150.293210437436
"29",26332,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",14.9,1,7,179.413562303681
"30",26334,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",15.5,1,7,198.370891135296
"31",26337,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",16.3,1,7,225.421301673399
"32",26330,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Lophira alata",16.6,1,7,236.096232542154
"33",26347,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Maprounea membranacea",10.2,1,7,46.0458104399387
"34",26346,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Maprounea membranacea",12.2,1,7,72.9872410690021
"35",26300,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Psorospermum tenuifolium",11.4,1,7,70.952560032452
"36",26338,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Trichoscypha acuminata",16.5,1,7,161.149648822281
"37",26342,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia aethiopica",12.1,1,7,54.9554786184998
"38",26341,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia aethiopica",15.4,1,7,101.747068331036
"39",26340,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia aethiopica",26.1,1,7,384.253220839519
"40",26343,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia hypolampra",10.6,1,7,54.9724538100553
"41",26345,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia hypolampra",15.4,1,7,143.039790637871
"42",26344,"GABON_LCO-05",-0.2,11.59,2009,"PLT_00000033","Xylopia hypolampra",15.9,1,7,155.140382656346
