"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","WWF_Biome","BiomassEquationBased","BiomassPackageBased"
"1",22614,"17",4,153391,-0.896974746,-59.69296685,"Cupania macrostylis",16.2338042,1,87.3637248460906,158.702785007074
"2",22615,"17",4,153386,-0.896974746,-59.69296685,"Dialium guianense",20.37183272,1,151.488867355742,402.487692364096
"3",22616,"17",4,153382,-0.896974746,-59.69296685,"Dipteryx odorata",15.27887454,1,75.4231398472785,199.607608086264
"4",22617,"17",4,153336,-0.896974746,-59.69296685,"Drypetes variabilis",13.36901522,1,54.5658222479858,115.422540964231
"5",22618,"17",4,153401,-0.896974746,-59.69296685,"Drypetes variabilis",20.6901426,1,157.290960408143,349.359050327513
"6",22619,"17",4,153334,-0.896974746,-59.69296685,"Duguetia megalocarpa",14.64225476,1,68.0294861892949,176.832657893996
"7",22620,"17",4,153446,-0.896974746,-59.69296685,"Duguetia megalocarpa",15.91549431,1,83.26886241293,218.615602681317
"8",22621,"17",4,153453,-0.896974746,-59.69296685,"Eriotheca globosa",12.41408556,1,45.5930547382276,55.683427156811
"9",22622,"17",4,153415,-0.896974746,-59.69296685,"Erisma bicolor",16.55211408,1,91.5745517299842,157.215154072876
"10",22623,"17",4,153395,-0.896974746,-59.69296685,"Erisma calcaratum",16.87042397,1,95.9023025200943,193.843352585457
"11",22624,"17",4,153420,-0.896974746,-59.69296685,"Erisma sppSCA1",28.64788976,1,346.189166134699,623.369512508588
"12",22625,"17",4,153402,-0.896974746,-59.69296685,"Eschweilera atropetiolata",28.96619964,1,355.587847280871,826.813202807274
"13",22626,"17",4,153459,-0.896974746,-59.69296685,"Eschweilera atropetiolata",35.01408748,1,563.096291407922,1322.26572586866
"14",22627,"17",4,153417,-0.896974746,-59.69296685,"Eschweilera atropetiolata",52.52113122,1,1504.74382220739,3568.73398632336
"15",22628,"17",4,153398,-0.896974746,-59.69296685,"Eschweilera bracteosa",11.14084602,1,35.0727456029658,80.2821935296158
"16",22629,"17",4,153389,-0.896974746,-59.69296685,"Eschweilera coriacea",10.50422624,1,30.4103613724022,71.0532856018114
"17",22630,"17",4,153442,-0.896974746,-59.69296685,"Eschweilera coriacea",12.73239545,1,48.4790017916293,116.479769054494
"18",22631,"17",4,153396,-0.896974746,-59.69296685,"Eschweilera coriacea",16.87042397,1,95.9023025200943,238.566412197497
"19",22632,"17",4,153457,-0.896974746,-59.69296685,"Eschweilera coriacea",27.37465021,1,310.063029347897,804.938601957043
"20",22633,"17",4,153456,-0.896974746,-59.69296685,"Eschweilera pseudodecolorans",19.73521294,1,140.266900430277,344.338203443411
"21",22634,"17",4,153463,-0.896974746,-59.69296685,"Eschweilera rhododendrifolia",23.87324146,1,222.516660376489,555.398001732574
"22",22635,"17",4,153433,-0.896974746,-59.69296685,"Eschweilera rhododendrifolia",46.1549335,1,1100.08557725423,2834.26135351701
"23",22636,"17",4,153370,-0.896974746,-59.69296685,"Eschweilera romeu-cardosoi",11.14084602,1,35.0727456029658,80.2821935296158
"24",22637,"17",4,153437,-0.896974746,-59.69296685,"Eschweilera romeu-cardosoi",18.14366351,1,114.401363652435,278.492818981724
"25",22638,"17",4,153451,-0.896974746,-59.69296685,"Eschweilera wachenheimii",10.18591636,1,28.2243992017467,62.3217996301083
"26",22639,"17",4,153408,-0.896974746,-59.69296685,"Eschweilera wachenheimii",10.50422624,1,30.4103613724022,67.4706989246357
"27",22640,"17",4,153333,-0.896974746,-59.69296685,"Eschweilera wachenheimii",11.4591559,1,37.5516044030235,84.4100078436135
"28",22641,"17",4,153338,-0.896974746,-59.69296685,"Eschweilera wachenheimii",12.09577567,1,42.8105984626406,96.9814134264503
"29",22642,"17",4,153413,-0.896974746,-59.69296685,"Eschweilera wachenheimii",13.36901522,1,54.5658222479858,125.31144389851
"30",22643,"17",4,153394,-0.896974746,-59.69296685,"Eschweilera wachenheimii",14.32394488,1,64.4996651889957,149.44587826166
"31",22644,"17",4,153464,-0.896974746,-59.69296685,"Fusaea longifolia",12.09577567,1,42.8105984626406,89.9974731038509
"32",22645,"17",4,153332,-0.896974746,-59.69296685,"Geissospermum urceolatum",13.36901522,1,54.5658222479858,120.387768770531
"33",22646,"17",4,153340,-0.896974746,-59.69296685,"Geissospermum urceolatum",49.65634224,1,1313.44144385467,3182.62017926335
"34",22647,"17",4,153436,-0.896974746,-59.69296685,"Geissospermum urceolatum",54.74930042,1,1664.20184143004,4035.11325589986
"35",22648,"17",4,153426,-0.896974746,-59.69296685,"Glycydendron amazonicum",12.73239545,1,48.4790017916293,94.7398439852751
"36",22649,"17",4,153452,-0.896974746,-59.69296685,"Helicostylis scabra",18.78028328,1,124.376627795015,273.123570235699
"37",22650,"17",4,153329,-0.896974746,-59.69296685,"Helicostylis tomentosa",27.6929601,1,318.87567988866,613.385814858409
"38",22651,"17",4,153354,-0.896974746,-59.69296685,"Hevea guianensis",13.05070533,1,51.4695570500849,85.845657948025
"39",22652,"17",4,153412,-0.896974746,-59.69296685,"Hevea guianensis",14.96056465,1,71.6703053454554,121.643319801511
"40",22653,"17",4,153379,-0.896974746,-59.69296685,"Hevea guianensis",22.91831181,1,201.550792410493,357.276421512214
"41",22654,"17",4,153346,-0.896974746,-59.69296685,"Hevea guianensis",40.10704566,1,782.630228645116,1431.8456735988
"42",22655,"17",4,153373,-0.896974746,-59.69296685,"Hirtella fasciculata",11.77746579,1,40.1304988976582,89.3130708362095
"43",22656,"17",4,153387,-0.896974746,-59.69296685,"Hirtella rodriguesii",10.82253613,1,32.6927339402657,71.8582597795671
"44",22657,"17",4,153422,-0.896974746,-59.69296685,"Inga alba",48.3831027,1,1233.28464469511,2320.79591465302
"45",22658,"17",4,153352,-0.896974746,-59.69296685,"Inga alba",51.56620156,1,1439.27676217505,2710.2369870841
"46",22659,"17",4,153368,-0.896974746,-59.69296685,"Inga melinonis",10.82253613,1,32.6927339402657,50.4319782491365
"47",22660,"17",4,153359,-0.896974746,-59.69296685,"Jacaranda copaia",11.4591559,1,37.5516044030235,39.2673395143254
"48",22661,"17",4,153363,-0.896974746,-59.69296685,"Lecythis poiteaui",36.60563691,1,627.165509077832,1563.5359883355
"49",22662,"17",4,153330,-0.896974746,-59.69296685,"Licania sothersiae",10.18591636,1,28.2243992017467,64.7030655672605
"50",22663,"17",4,153439,-0.896974746,-59.69296685,"Manilkara bidentata",40.42535555,1,797.772961542861,2157.56438740642
"51",22664,"17",4,153377,-0.896974746,-59.69296685,"Maquira guianensis",11.4591559,1,37.5516044030235,80.5933044694671
"52",22665,"17",4,153431,-0.896974746,-59.69296685,"Maquira guianensis",12.09577567,1,42.8105984626406,92.5962783303845
"53",22666,"17",4,153371,-0.896974746,-59.69296685,"Micrandra sppSCA1",11.14084602,1,35.0727456029658,66.240384875817
"54",22667,"17",4,153349,-0.896974746,-59.69296685,"Micrandra sppSCA1",28.96619964,1,355.587847280871,742.222323400627
"55",22668,"17",4,153357,-0.896974746,-59.69296685,"Micrandropsis scleroxylon",15.27887454,1,75.4231398472785,136.639577370112
"56",22669,"17",4,153369,-0.896974746,-59.69296685,"Micrandropsis scleroxylon",23.55493158,1,215.39249714307,407.412635085202
"57",22670,"17",4,153397,-0.896974746,-59.69296685,"Micrandropsis scleroxylon",48.70141259,1,1253.0461211931,2451.09184373454
"58",22671,"17",4,153400,-0.896974746,-59.69296685,"Micropholis guyanensis",11.14084602,1,35.0727456029658,65.1113817127291
"59",22672,"17",4,153335,-0.896974746,-59.69296685,"Micropholis guyanensis",26.73803044,1,292.871233488314,597.807388332202
"60",22673,"17",4,153374,-0.896974746,-59.69296685,"Micropholis guyanensis",40.74366543,1,813.086463064593,1694.01125595008
"61",22674,"17",4,153427,-0.896974746,-59.69296685,"Minquartia guianensis",27.37465021,1,310.063029347897,747.933105932068
"62",22675,"17",4,153390,-0.896974746,-59.69296685,"Minquartia guianensis",49.01972247,1,1272.99240550263,3141.32069143039
"63",22676,"17",4,153364,-0.896974746,-59.69296685,"Mouriri collocarpa",15.59718442,1,79.2889944808015,191.519599682493
"64",22677,"17",4,153432,-0.896974746,-59.69296685,"Myrcia sylvatica",12.41408556,1,45.5930547382276,104.844393948082
"65",22678,"17",4,153449,-0.896974746,-59.69296685,"Neea oppositifolia",10.50422624,1,30.4103613724022,74.187169428229
"66",22679,"17",4,153447,-0.896974746,-59.69296685,"Neea oppositifolia",25.46479089,1,260.201431125771,701.768560414994
"67",22680,"17",4,153384,-0.896974746,-59.69296685,"Ocotea amazonica",13.36901522,1,54.5658222479858,72.283752030667
