"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","50","5.0","9","100","0.632","RF_Grid_model_18","0.21892095326523464",4
"2","80","10.0","9","100","0.632","RF_Grid_model_34","0.21815558447538608",4
"3","20","5.0","13","100","0.632","RF_Grid_model_23","0.21800619855613523",4
"4","40","10.0","13","100","0.632","RF_Grid_model_24","0.21763313225425318",4
"5","100","10.0","13","100","0.632","RF_Grid_model_32","0.21763313225425318",4
"6","80","15.0","13","100","0.632","RF_Grid_model_11","0.21755919730411621",4
"7","40","15.0","13","100","0.632","RF_Grid_model_36","0.21755919730411621",4
"8","100","15.0","13","100","0.632","RF_Grid_model_41","0.21755919730411621",4
"9","20","1.0","9","100","0.632","RF_Grid_model_39","0.21628377233161722",4
"10","50","10.0","6","100","0.632","RF_Grid_model_12","0.2162225450239399",4
"11","70","10.0","6","100","0.632","RF_Grid_model_37","0.2162225450239399",4
"12","60","10.0","6","100","0.632","RF_Grid_model_46","0.2162225450239399",4
"13","10","1.0","9","100","0.632","RF_Grid_model_28","0.21611974169986936",4
"14","60","5.0","6","100","0.632","RF_Grid_model_10","0.2157199962135825",4
"15","80","5.0","6","100","0.632","RF_Grid_model_15","0.2157199962135825",4
"16","40","5.0","6","100","0.632","RF_Grid_model_25","0.2157188489287324",4
"17","30","5.0","13","100","0.632","RF_Grid_model_16","0.21567889643179416",4
"18","40","15.0","9","100","0.632","RF_Grid_model_27","0.21546838310048977",4
"19","100","15.0","9","100","0.632","RF_Grid_model_9","0.21546838310048977",4
"20","30","3.0","9","100","0.632","RF_Grid_model_19","0.21458582474012733",4
"21","70","3.0","13","100","0.632","RF_Grid_model_35","0.21444426294589092",4
"22","80","3.0","13","100","0.632","RF_Grid_model_6","0.21444426294589092",4
"23","30","20.0","9","100","0.632","RF_Grid_model_38","0.21425393324429154",4
"24","70","20.0","9","100","0.632","RF_Grid_model_26","0.21425268306158785",4
"25","40","20.0","9","100","0.632","RF_Grid_model_3","0.21425268306158785",4
"26","60","15.0","6","100","0.632","RF_Grid_model_44","0.2135118365074853",4
"27","100","15.0","6","100","0.632","RF_Grid_model_8","0.2135118365074853",4
"28","10","5.0","6","100","0.632","RF_Grid_model_20","0.21350240202508042",4
"29","10","20.0","13","100","0.632","RF_Grid_model_13","0.21270072482238211",4
"30","50","5.0","3","100","0.632","RF_Grid_model_17","0.21250023657640227",4
"31","40","20.0","6","100","0.632","RF_Grid_model_42","0.210881139485677",4
"32","60","20.0","6","100","0.632","RF_Grid_model_5","0.210881139485677",4
"33","10","20.0","9","100","0.632","RF_Grid_model_22","0.21083687912187188",4
"34","40","1.0","6","100","0.632","RF_Grid_model_14","0.21054126174950238",4
"35","50","1.0","6","100","0.632","RF_Grid_model_47","0.21045116190821544",4
"36","100","1.0","9","100","0.632","RF_Grid_model_21","0.20980411477448702",4
"37","20","10.0","3","100","0.632","RF_Grid_model_4","0.20911208151612837",4
"38","80","10.0","3","100","0.632","RF_Grid_model_48","0.20909362054061453",4
"39","30","10.0","3","100","0.632","RF_Grid_model_29","0.20909238736135394",4
"40","80","1.0","13","100","0.632","RF_Grid_model_1","0.2081851734576059",4
"41","100","1.0","13","100","0.632","RF_Grid_model_45","0.2081851734576059",4
"42","60","1.0","3","100","0.632","RF_Grid_model_40","0.20772671646085716",4
"43","10","20.0","6","100","0.632","RF_Grid_model_30","0.20720013975160811",4
"44","70","15.0","3","100","0.632","RF_Grid_model_2","0.2052546470451746",4
"45","80","15.0","3","100","0.632","RF_Grid_model_7","0.2052546470451746",4
"46","30","20.0","3","100","0.632","RF_Grid_model_43","0.2016518809495299",4
"47","70","20.0","3","100","0.632","RF_Grid_model_31","0.2016499261352207",4
"48","20","20.0","3","100","0.632","RF_Grid_model_33","0.20162921438563075",4
