"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","100","3.0","6","100","0.632","RF_Grid_model_13","0.11075385118577041",12
"2","60","3.0","6","100","0.632","RF_Grid_model_23","0.11075385118577041",12
"3","80","3.0","6","100","0.632","RF_Grid_model_32","0.11075385118577041",12
"4","50","5.0","9","100","0.632","RF_Grid_model_33","0.10992241557503113",12
"5","70","10.0","13","100","0.632","RF_Grid_model_43","0.10899817813688883",12
"6","20","10.0","13","100","0.632","RF_Grid_model_6","0.10899172495850873",12
"7","30","10.0","6","100","0.632","RF_Grid_model_30","0.10854516594541808",12
"8","60","3.0","3","100","0.632","RF_Grid_model_35","0.1077585161946738",12
"9","30","5.0","13","100","0.632","RF_Grid_model_16","0.1076787604764623",12
"10","100","5.0","13","100","0.632","RF_Grid_model_1","0.10767719137233467",12
"11","100","5.0","6","100","0.632","RF_Grid_model_5","0.10713423694030888",12
"12","10","3.0","6","100","0.632","RF_Grid_model_12","0.10709422873070618",12
"13","20","3.0","13","100","0.632","RF_Grid_model_29","0.10656419032463249",12
"14","40","3.0","9","100","0.632","RF_Grid_model_19","0.10649069326085703",12
"15","60","3.0","9","100","0.632","RF_Grid_model_20","0.10649069326085703",12
"16","50","3.0","9","100","0.632","RF_Grid_model_41","0.10649069326085703",12
"17","70","3.0","13","100","0.632","RF_Grid_model_10","0.10629917958115587",12
"18","80","5.0","3","100","0.632","RF_Grid_model_2","0.10534156088750335",12
"19","60","5.0","3","100","0.632","RF_Grid_model_7","0.10534156088750335",12
"20","20","15.0","13","100","0.632","RF_Grid_model_18","0.10511979386141901",12
"21","100","1.0","13","100","0.632","RF_Grid_model_3","0.10474780680158158",12
"22","80","1.0","13","100","0.632","RF_Grid_model_37","0.10474780680158158",12
"23","60","1.0","13","100","0.632","RF_Grid_model_38","0.10474780680158158",12
"24","30","1.0","13","100","0.632","RF_Grid_model_26","0.10471645581711564",12
"25","10","3.0","9","100","0.632","RF_Grid_model_22","0.10448651386179686",12
"26","100","1.0","3","100","0.632","RF_Grid_model_11","0.10385827237154965",12
"27","80","1.0","3","100","0.632","RF_Grid_model_31","0.10385827237154965",12
"28","70","1.0","3","100","0.632","RF_Grid_model_48","0.10385827237154965",12
"29","70","15.0","6","100","0.632","RF_Grid_model_21","0.1030472931028017",12
"30","50","15.0","6","100","0.632","RF_Grid_model_24","0.1030472931028017",12
"31","100","15.0","6","100","0.632","RF_Grid_model_8","0.1030472931028017",12
"32","10","15.0","13","100","0.632","RF_Grid_model_25","0.10274771337656219",12
"33","40","20.0","9","100","0.632","RF_Grid_model_17","0.10239534425621433",12
"34","30","20.0","9","100","0.632","RF_Grid_model_36","0.10239534425621433",12
"35","30","1.0","6","100","0.632","RF_Grid_model_9","0.10223914965256486",12
"36","70","1.0","6","100","0.632","RF_Grid_model_42","0.10215344036806351",12
"37","60","1.0","6","100","0.632","RF_Grid_model_44","0.10215344036806351",12
"38","80","10.0","3","100","0.632","RF_Grid_model_40","0.10185061270205886",12
"39","20","20.0","13","100","0.632","RF_Grid_model_27","0.10175044024546454",12
"40","10","1.0","3","100","0.632","RF_Grid_model_47","0.1006631648659676",12
"41","10","20.0","13","100","0.632","RF_Grid_model_34","0.10032571131953538",12
"42","100","20.0","6","100","0.632","RF_Grid_model_14","0.10027501643241343",12
"43","40","20.0","6","100","0.632","RF_Grid_model_39","0.10027501643241343",12
"44","40","15.0","3","100","0.632","RF_Grid_model_28","0.09952089798185226",12
"45","50","15.0","3","100","0.632","RF_Grid_model_4","0.09952089798185226",12
"46","80","1.0","9","100","0.632","RF_Grid_model_45","0.09796372693654753",12
"47","20","20.0","3","100","0.632","RF_Grid_model_15","0.09378287752134862",12
"48","10","20.0","3","100","0.632","RF_Grid_model_46","0.09227961970324661",12
