"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","70","3.0","6","100","0.632","RF_Grid_model_18","0.18868604060925942",6
"2","50","3.0","6","100","0.632","RF_Grid_model_21","0.18868604060925942",6
"3","50","5.0","3","100","0.632","RF_Grid_model_10","0.1883247466379735",6
"4","60","10.0","6","100","0.632","RF_Grid_model_13","0.1882316965351093",6
"5","10","1.0","9","100","0.632","RF_Grid_model_9","0.18714119426457376",6
"6","20","15.0","9","100","0.632","RF_Grid_model_28","0.1868646890523904",6
"7","60","15.0","9","100","0.632","RF_Grid_model_22","0.1868604455957087",6
"8","80","15.0","9","100","0.632","RF_Grid_model_32","0.1868604455957087",6
"9","30","15.0","9","100","0.632","RF_Grid_model_41","0.1868604455957087",6
"10","10","1.0","6","100","0.632","RF_Grid_model_30","0.18685800298477928",6
"11","20","10.0","13","100","0.632","RF_Grid_model_17","0.1864843045921315",6
"12","50","10.0","13","100","0.632","RF_Grid_model_11","0.18641593098055553",6
"13","20","10.0","9","100","0.632","RF_Grid_model_37","0.18626914047702303",6
"14","10","5.0","13","100","0.632","RF_Grid_model_46","0.1862652240599154",6
"15","100","10.0","9","100","0.632","RF_Grid_model_20","0.18619888020964082",6
"16","80","5.0","6","100","0.632","RF_Grid_model_35","0.18571634554055627",6
"17","60","5.0","9","100","0.632","RF_Grid_model_2","0.18571337573564073",6
"18","40","5.0","9","100","0.632","RF_Grid_model_4","0.18571337573564073",6
"19","100","15.0","13","100","0.632","RF_Grid_model_31","0.18561677524995535",6
"20","100","3.0","3","100","0.632","RF_Grid_model_3","0.18514554344353296",6
"21","50","3.0","3","100","0.632","RF_Grid_model_43","0.18514554344353296",6
"22","80","15.0","6","100","0.632","RF_Grid_model_44","0.18463065355950914",6
"23","10","15.0","6","100","0.632","RF_Grid_model_7","0.18397620659451253",6
"24","20","3.0","9","100","0.632","RF_Grid_model_47","0.1832262441271595",6
"25","60","10.0","3","100","0.632","RF_Grid_model_27","0.18312110328986264",6
"26","30","10.0","3","100","0.632","RF_Grid_model_8","0.18312110328986264",6
"27","60","3.0","9","100","0.632","RF_Grid_model_1","0.18265058232364895",6
"28","100","3.0","9","100","0.632","RF_Grid_model_15","0.18265058232364895",6
"29","10","20.0","9","100","0.632","RF_Grid_model_19","0.18263373309253217",6
"30","30","3.0","9","100","0.632","RF_Grid_model_29","0.18262085451289878",6
"31","40","1.0","3","100","0.632","RF_Grid_model_33","0.18252057752529371",6
"32","70","1.0","3","100","0.632","RF_Grid_model_24","0.18251984685225608",6
"33","30","5.0","13","100","0.632","RF_Grid_model_6","0.18227132559332604",6
"34","50","5.0","13","100","0.632","RF_Grid_model_12","0.18224728101841092",6
"35","60","20.0","6","100","0.632","RF_Grid_model_16","0.1807628220883113",6
"36","100","3.0","13","100","0.632","RF_Grid_model_39","0.17993074316294777",6
"37","60","3.0","13","100","0.632","RF_Grid_model_5","0.17993074316294777",6
"38","30","3.0","13","100","0.632","RF_Grid_model_42","0.17984270731289298",6
"39","10","20.0","6","100","0.632","RF_Grid_model_14","0.17945398853099737",6
"40","40","1.0","9","100","0.632","RF_Grid_model_48","0.17892892985477737",6
"41","30","15.0","3","100","0.632","RF_Grid_model_23","0.1782801794180503",6
"42","80","1.0","6","100","0.632","RF_Grid_model_25","0.1767857899932429",6
"43","60","1.0","6","100","0.632","RF_Grid_model_38","0.1767857899932429",6
"44","70","1.0","13","100","0.632","RF_Grid_model_40","0.17591843133915475",6
"45","10","15.0","3","100","0.632","RF_Grid_model_34","0.17591481127370634",6
"46","40","20.0","3","100","0.632","RF_Grid_model_26","0.17429088236513224",6
"47","50","20.0","3","100","0.632","RF_Grid_model_36","0.17429088236513224",6
"48","70","20.0","3","100","0.632","RF_Grid_model_45","0.17429088236513224",6
