"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","40","3.0","3","100","0.632","RF_Grid_model_26","0.18434102189769264",6
"2","50","5.0","6","100","0.632","RF_Grid_model_29","0.18399933253582212",6
"3","20","5.0","13","100","0.632","RF_Grid_model_2","0.18392442292843025",6
"4","70","5.0","13","100","0.632","RF_Grid_model_18","0.18354599721966003",6
"5","60","5.0","13","100","0.632","RF_Grid_model_21","0.18354599721966003",6
"6","40","5.0","13","100","0.632","RF_Grid_model_36","0.18354599721966003",6
"7","10","3.0","13","100","0.632","RF_Grid_model_46","0.18312106888353574",6
"8","50","5.0","9","100","0.632","RF_Grid_model_16","0.18286381681283848",6
"9","100","5.0","9","100","0.632","RF_Grid_model_27","0.18286381681283848",6
"10","70","5.0","9","100","0.632","RF_Grid_model_33","0.18286381681283848",6
"11","50","10.0","13","100","0.632","RF_Grid_model_32","0.18233914952961938",6
"12","30","10.0","13","100","0.632","RF_Grid_model_34","0.18233914952961938",6
"13","60","10.0","6","100","0.632","RF_Grid_model_24","0.1823174234130852",6
"14","10","10.0","9","100","0.632","RF_Grid_model_48","0.18217051013177488",6
"15","100","5.0","3","100","0.632","RF_Grid_model_40","0.18107356283396714",6
"16","10","10.0","6","100","0.632","RF_Grid_model_45","0.1806437501491559",6
"17","20","20.0","13","100","0.632","RF_Grid_model_30","0.17977100187299744",6
"18","40","20.0","9","100","0.632","RF_Grid_model_10","0.17925673449978374",6
"19","60","20.0","9","100","0.632","RF_Grid_model_25","0.17925673449978374",6
"20","80","20.0","9","100","0.632","RF_Grid_model_41","0.17925673449978374",6
"21","20","20.0","9","100","0.632","RF_Grid_model_6","0.17925076431664455",6
"22","50","10.0","3","100","0.632","RF_Grid_model_35","0.17838061149023332",6
"23","10","15.0","6","100","0.632","RF_Grid_model_13","0.17749104347770617",6
"24","60","3.0","9","100","0.632","RF_Grid_model_15","0.17716296906719886",6
"25","70","3.0","9","100","0.632","RF_Grid_model_44","0.17716296906719886",6
"26","70","3.0","6","100","0.632","RF_Grid_model_5","0.1770964982840324",6
"27","30","3.0","6","100","0.632","RF_Grid_model_11","0.1770904570263523",6
"28","60","20.0","6","100","0.632","RF_Grid_model_28","0.17598701007854212",6
"29","30","20.0","6","100","0.632","RF_Grid_model_42","0.17598701007854212",6
"30","20","20.0","6","100","0.632","RF_Grid_model_4","0.1759839987326829",6
"31","10","1.0","3","100","0.632","RF_Grid_model_43","0.17593884805744997",6
"32","20","3.0","13","100","0.632","RF_Grid_model_38","0.1748257684303225",6
"33","30","3.0","13","100","0.632","RF_Grid_model_20","0.17460502820202906",6
"34","60","3.0","13","100","0.632","RF_Grid_model_12","0.17458076588189952",6
"35","100","3.0","13","100","0.632","RF_Grid_model_7","0.17458076588189952",6
"36","20","15.0","3","100","0.632","RF_Grid_model_9","0.17343486520185403",6
"37","40","15.0","3","100","0.632","RF_Grid_model_39","0.17343315288396244",6
"38","20","1.0","6","100","0.632","RF_Grid_model_31","0.17310727926880165",6
"39","70","1.0","3","100","0.632","RF_Grid_model_23","0.17281751516298105",6
"40","60","1.0","9","100","0.632","RF_Grid_model_3","0.17210573047185462",6
"41","60","1.0","6","100","0.632","RF_Grid_model_1","0.1710263444594735",6
"42","70","1.0","6","100","0.632","RF_Grid_model_22","0.1710263444594735",6
"43","50","1.0","6","100","0.632","RF_Grid_model_37","0.1710263444594735",6
"44","40","20.0","3","100","0.632","RF_Grid_model_14","0.17008840820628113",6
"45","50","20.0","3","100","0.632","RF_Grid_model_19","0.17008840820628113",6
"46","70","20.0","3","100","0.632","RF_Grid_model_8","0.17008840820628113",6
"47","40","1.0","13","100","0.632","RF_Grid_model_47","0.16853901067747723",6
"48","80","1.0","13","100","0.632","RF_Grid_model_17","0.1685269632663915",6
