"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","100","5.0","3","100","0.632","RF_Grid_model_11","0.13116480467397928",5
"2","60","5.0","3","100","0.632","RF_Grid_model_36","0.13116480467397928",5
"3","50","10.0","13","100","0.632","RF_Grid_model_24","0.13111482849164802",5
"4","70","10.0","13","100","0.632","RF_Grid_model_26","0.13111482849164802",5
"5","100","10.0","13","100","0.632","RF_Grid_model_5","0.13111482849164802",5
"6","40","10.0","9","100","0.632","RF_Grid_model_19","0.13075890475704677",5
"7","40","10.0","6","100","0.632","RF_Grid_model_13","0.13020728136960047",5
"8","50","10.0","6","100","0.632","RF_Grid_model_48","0.13020728136960047",5
"9","100","10.0","6","100","0.632","RF_Grid_model_9","0.13020728136960047",5
"10","40","15.0","13","100","0.632","RF_Grid_model_21","0.13011332578625323",5
"11","20","15.0","13","100","0.632","RF_Grid_model_47","0.1300585497361516",5
"12","20","15.0","9","100","0.632","RF_Grid_model_7","0.1296823564145474",5
"13","60","15.0","9","100","0.632","RF_Grid_model_39","0.1296084138359349",5
"14","20","20.0","9","100","0.632","RF_Grid_model_44","0.12953427465405298",5
"15","40","20.0","9","100","0.632","RF_Grid_model_30","0.12947377886659184",5
"16","100","5.0","6","100","0.632","RF_Grid_model_31","0.1294553368629049",5
"17","10","10.0","9","100","0.632","RF_Grid_model_3","0.12929725845239737",5
"18","30","10.0","3","100","0.632","RF_Grid_model_37","0.12903107227198674",5
"19","60","10.0","3","100","0.632","RF_Grid_model_16","0.1290286643657509",5
"20","20","10.0","3","100","0.632","RF_Grid_model_42","0.12889946899454563",5
"21","60","3.0","3","100","0.632","RF_Grid_model_4","0.12881608797210453",5
"22","100","15.0","6","100","0.632","RF_Grid_model_23","0.12836136429417544",5
"23","60","15.0","6","100","0.632","RF_Grid_model_40","0.12836136429417544",5
"24","40","15.0","6","100","0.632","RF_Grid_model_43","0.12836136429417544",5
"25","30","15.0","6","100","0.632","RF_Grid_model_35","0.1283583140598218",5
"26","100","20.0","13","100","0.632","RF_Grid_model_10","0.1282833348550083",5
"27","30","20.0","13","100","0.632","RF_Grid_model_12","0.1282833348550083",5
"28","70","20.0","13","100","0.632","RF_Grid_model_38","0.1282833348550083",5
"29","60","5.0","13","100","0.632","RF_Grid_model_28","0.12804041981031444",5
"30","10","1.0","13","100","0.632","RF_Grid_model_41","0.1276839116212023",5
"31","100","5.0","9","100","0.632","RF_Grid_model_33","0.12733220757386055",5
"32","20","20.0","6","100","0.632","RF_Grid_model_45","0.1269214349239154",5
"33","60","20.0","6","100","0.632","RF_Grid_model_2","0.1269150369101465",5
"34","60","15.0","3","100","0.632","RF_Grid_model_29","0.125984484591123",5
"35","10","20.0","6","100","0.632","RF_Grid_model_14","0.12586062881746107",5
"36","10","10.0","3","100","0.632","RF_Grid_model_22","0.12453088620412123",5
"37","70","20.0","3","100","0.632","RF_Grid_model_15","0.12410742050493373",5
"38","40","3.0","6","100","0.632","RF_Grid_model_32","0.12285419921532781",5
"39","60","3.0","6","100","0.632","RF_Grid_model_46","0.12285164257455028",5
"40","40","3.0","13","100","0.632","RF_Grid_model_1","0.12269534103367075",5
"41","70","3.0","13","100","0.632","RF_Grid_model_20","0.12268683374206335",5
"42","30","1.0","3","100","0.632","RF_Grid_model_25","0.12006585476244969",5
"43","100","1.0","3","100","0.632","RF_Grid_model_17","0.11998857949382868",5
"44","50","1.0","13","100","0.632","RF_Grid_model_18","0.11888850320731859",5
"45","70","1.0","13","100","0.632","RF_Grid_model_27","0.11888655955591776",5
"46","20","1.0","6","100","0.632","RF_Grid_model_6","0.11789206261681762",5
"47","50","1.0","9","100","0.632","RF_Grid_model_8","0.11765948291024164",5
"48","30","1.0","6","100","0.632","RF_Grid_model_34","0.11481685780843554",5
