"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","60","15.0","13","100","0.632","RF_Grid_model_44","0.1274759129775681",5
"2","80","15.0","9","100","0.632","RF_Grid_model_30","0.1260157484208465",5
"3","100","15.0","9","100","0.632","RF_Grid_model_4","0.1260157484208465",5
"4","100","10.0","3","100","0.632","RF_Grid_model_36","0.12566187412126018",5
"5","20","10.0","3","100","0.632","RF_Grid_model_3","0.1256223131974713",5
"6","100","10.0","9","100","0.632","RF_Grid_model_14","0.12535279734852633",5
"7","70","10.0","9","100","0.632","RF_Grid_model_26","0.12535279734852633",5
"8","50","10.0","9","100","0.632","RF_Grid_model_45","0.12535279734852633",5
"9","10","10.0","13","100","0.632","RF_Grid_model_6","0.12532129006629378",5
"10","10","15.0","9","100","0.632","RF_Grid_model_33","0.12530030566609907",5
"11","30","10.0","6","100","0.632","RF_Grid_model_22","0.12511714557846465",5
"12","30","5.0","3","100","0.632","RF_Grid_model_10","0.12504745616342838",5
"13","70","5.0","3","100","0.632","RF_Grid_model_29","0.12497582744039182",5
"14","50","20.0","6","100","0.632","RF_Grid_model_23","0.12495806829836087",5
"15","60","20.0","6","100","0.632","RF_Grid_model_31","0.12495806829836087",5
"16","20","20.0","6","100","0.632","RF_Grid_model_35","0.12495626788432779",5
"17","10","3.0","13","100","0.632","RF_Grid_model_24","0.12480477034143433",5
"18","10","3.0","6","100","0.632","RF_Grid_model_40","0.12463635569590559",5
"19","50","15.0","6","100","0.632","RF_Grid_model_27","0.12399669525282209",5
"20","60","15.0","6","100","0.632","RF_Grid_model_28","0.12399669525282209",5
"21","20","20.0","9","100","0.632","RF_Grid_model_13","0.12378967494167326",5
"22","70","20.0","9","100","0.632","RF_Grid_model_38","0.12366238418259523",5
"23","10","5.0","3","100","0.632","RF_Grid_model_1","0.123248663851657",5
"24","20","10.0","13","100","0.632","RF_Grid_model_15","0.12292843876595327",5
"25","80","3.0","3","100","0.632","RF_Grid_model_39","0.1224624640976888",5
"26","70","3.0","3","100","0.632","RF_Grid_model_48","0.1224624640976888",5
"27","70","5.0","6","100","0.632","RF_Grid_model_41","0.12244966117422729",5
"28","40","5.0","6","100","0.632","RF_Grid_model_16","0.1224473047510799",5
"29","60","10.0","13","100","0.632","RF_Grid_model_18","0.1222738150096272",5
"30","100","10.0","13","100","0.632","RF_Grid_model_46","0.1222738150096272",5
"31","60","5.0","13","100","0.632","RF_Grid_model_19","0.12177727506738822",5
"32","50","5.0","13","100","0.632","RF_Grid_model_2","0.12177727506738822",5
"33","60","20.0","3","100","0.632","RF_Grid_model_47","0.12149828213608982",5
"34","50","20.0","3","100","0.632","RF_Grid_model_5","0.12149828213608982",5
"35","10","15.0","3","100","0.632","RF_Grid_model_25","0.11946785261277193",5
"36","10","20.0","3","100","0.632","RF_Grid_model_12","0.11892219009014215",5
"37","60","3.0","9","100","0.632","RF_Grid_model_20","0.11888119982698331",5
"38","80","3.0","9","100","0.632","RF_Grid_model_8","0.11888119982698331",5
"39","40","3.0","9","100","0.632","RF_Grid_model_32","0.11887712460963795",5
"40","30","5.0","9","100","0.632","RF_Grid_model_11","0.11857429654283713",5
"41","80","3.0","6","100","0.632","RF_Grid_model_9","0.11845776647284867",5
"42","30","1.0","3","100","0.632","RF_Grid_model_37","0.11347235954718882",5
"43","70","1.0","3","100","0.632","RF_Grid_model_21","0.11310168268369858",5
"44","30","1.0","13","100","0.632","RF_Grid_model_43","0.11250526079796375",5
"45","40","1.0","9","100","0.632","RF_Grid_model_17","0.11074013860344678",5
"46","70","1.0","9","100","0.632","RF_Grid_model_34","0.11071868545973906",5
"47","100","1.0","9","100","0.632","RF_Grid_model_7","0.11071868545973906",5
"48","60","1.0","6","100","0.632","RF_Grid_model_42","0.11004575893976831",5
