"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","20","3.0","3","100","0.632","RF_Grid_model_20","0.20414679703602912",6
"2","60","5.0","3","100","0.632","RF_Grid_model_1","0.20211955415277283",6
"3","50","5.0","3","100","0.632","RF_Grid_model_29","0.20211955415277283",6
"4","100","3.0","6","100","0.632","RF_Grid_model_9","0.20170211122508153",6
"5","40","10.0","13","100","0.632","RF_Grid_model_33","0.20157221560038496",6
"6","100","10.0","13","100","0.632","RF_Grid_model_39","0.20157221560038496",6
"7","70","5.0","13","100","0.632","RF_Grid_model_18","0.20096775007740375",6
"8","60","5.0","13","100","0.632","RF_Grid_model_34","0.20096775007740375",6
"9","60","10.0","6","100","0.632","RF_Grid_model_14","0.2007731412709951",6
"10","40","10.0","6","100","0.632","RF_Grid_model_43","0.2007731412709951",6
"11","10","3.0","6","100","0.632","RF_Grid_model_4","0.2006378478349079",6
"12","10","10.0","9","100","0.632","RF_Grid_model_37","0.2000640058960086",6
"13","50","15.0","13","100","0.632","RF_Grid_model_44","0.19959381810813415",6
"14","20","15.0","13","100","0.632","RF_Grid_model_32","0.19959369748117883",6
"15","10","1.0","9","100","0.632","RF_Grid_model_30","0.19908679196650403",6
"16","20","5.0","9","100","0.632","RF_Grid_model_2","0.19901965780581543",6
"17","40","5.0","9","100","0.632","RF_Grid_model_24","0.19871486558860796",6
"18","50","5.0","9","100","0.632","RF_Grid_model_36","0.19871486558860796",6
"19","30","5.0","9","100","0.632","RF_Grid_model_16","0.1987024922914875",6
"20","60","20.0","13","100","0.632","RF_Grid_model_48","0.19788113286803277",6
"21","60","15.0","9","100","0.632","RF_Grid_model_25","0.19740689956133972",6
"22","70","3.0","9","100","0.632","RF_Grid_model_28","0.196856312148731",6
"23","80","3.0","9","100","0.632","RF_Grid_model_46","0.196856312148731",6
"24","20","1.0","3","100","0.632","RF_Grid_model_26","0.19628177657063006",6
"25","80","1.0","3","100","0.632","RF_Grid_model_22","0.1954956885384851",6
"26","70","1.0","3","100","0.632","RF_Grid_model_38","0.1954956885384851",6
"27","40","10.0","3","100","0.632","RF_Grid_model_21","0.1946453376107835",6
"28","20","3.0","13","100","0.632","RF_Grid_model_27","0.19426785658473156",6
"29","20","1.0","13","100","0.632","RF_Grid_model_10","0.19393178191137406",6
"30","50","20.0","9","100","0.632","RF_Grid_model_45","0.19370715923800874",6
"31","30","20.0","9","100","0.632","RF_Grid_model_47","0.19370715923800874",6
"32","100","3.0","13","100","0.632","RF_Grid_model_13","0.19360290377176081",6
"33","40","3.0","13","100","0.632","RF_Grid_model_41","0.19360224034237294",6
"34","70","1.0","13","100","0.632","RF_Grid_model_23","0.1931026481841327",6
"35","100","1.0","13","100","0.632","RF_Grid_model_8","0.1931026481841327",6
"36","50","1.0","13","100","0.632","RF_Grid_model_12","0.19310264316411563",6
"37","80","20.0","6","100","0.632","RF_Grid_model_3","0.19255665908272723",6
"38","30","20.0","6","100","0.632","RF_Grid_model_31","0.19255665908272723",6
"39","20","1.0","9","100","0.632","RF_Grid_model_15","0.19228704517202488",6
"40","50","1.0","6","100","0.632","RF_Grid_model_7","0.1920547670115782",6
"41","80","1.0","6","100","0.632","RF_Grid_model_40","0.19205391704944452",6
"42","100","1.0","6","100","0.632","RF_Grid_model_42","0.19205391704944452",6
"43","10","20.0","6","100","0.632","RF_Grid_model_35","0.19160893656715472",6
"44","70","15.0","3","100","0.632","RF_Grid_model_6","0.1912321107194459",6
"45","10","15.0","3","100","0.632","RF_Grid_model_19","0.1882243429870255",6
"46","60","20.0","3","100","0.632","RF_Grid_model_11","0.1855646045281255",6
"47","50","20.0","3","100","0.632","RF_Grid_model_17","0.1855646045281255",6
"48","80","20.0","3","100","0.632","RF_Grid_model_5","0.1855646045281255",6
