"","Present","PresentPotential","AbsolutePotential","FreelandPotential","RangelandPotential","PasturePotential","CroplandPotential","UrbanPotential","FreeToConservation","ConservationPotential"
"1",251.951160221565,292.584211502663,320.425891507623,5.30533269268476,0.0890160605013136,9.7696411030679,12.3385674502657,0.339122698454323,8.58457746198843,40.6330512810984
"2",8.94564249202096,12.5113021518847,21.2683699972766,2.16806954188064,0.0216390512772184,2.18912113619312,4.32560440628935,0.0526337097587453,0.932332543433299,3.56565965986378
"3",3.30242668113176,5.05697259922764,6.28769942645418,0.43493654583606,0.0260008272860032,0.448484026626271,0.317162962665759,0.00414246480681921,0.511799310474179,1.75454591809588
"4",56.2208221178272,68.9634007761491,91.9170100173608,5.31321886349204,0.0297143126400678,6.77801117758024,10.2440008849447,0.588664002566065,4.28232141597547,12.7425786583218
"5",27.2893885800619,32.1947631040265,35.6946501361861,1.58477841460533,0.0466022302327076,1.07144430286758,0.738886648068591,0.0581754363832085,2.12664624795117,4.90537452396465
"6",71.7960770144538,84.3690752118974,89.4337760588684,4.42546373489431,0.0014487588924656,0.323576118692413,0.294344418858966,0.0198678156356856,5.88208061347884,12.5729981974437
"7",53.0396516081041,77.6205235528235,115.497902384324,7.64197775559121,12.8833608293279,10.1443424492002,7.1310117466077,0.0766860507965358,5.72086383488604,24.5808719447194
"8",5.65098261166525,7.13556269857907,27.421564240086,3.70568141377294,6.44567073268345,2.68588473262062,7.34126360281584,0.107501059614009,0.293326744274078,1.48458008691382
"9",2.14136339131765,3.10294326206804,4.35652667309548,0.354378506063902,0.449768851676921,0.256225087221847,0.182730759367903,0.0104802066984281,0.167233175509281,0.961579870750386
"10",4.45550047381838,6.40848704255658,11.8169756594536,1.44005860932368,2.22355469487919,0.866074884981009,0.868798293430359,0.0100021342908326,0.32632340459287,1.9529865687382
"11",7.1592598536482,10.0352849328815,15.3111127996664,5.2631615273774,0.00227343052213007,0.00084418122979236,0.00902644718765752,0.000522280463789886,0.563333784473763,2.87602507923329
"12",3.75450792782767,5.16860265946103,10.522362121232,1.45285772155114,0.0178275367481754,1.78289450584535,2.02530149282194,0.0748782048129315,0.393915161651212,1.41409473163336
"13",2.56596316132087,3.94359266429043,25.5336074417244,9.8680391142536,8.4259174482997,0.945505665353711,2.29573673880188,0.0548158107219916,0.340428001894947,1.37762950296957
"14",2.23326050359122,2.98810695301442,3.50490206733537,0.183897545803748,0.00128263731190553,0.0973940378747019,0.220046760519641,0.0141741328127026,0.174823731275522,0.754846449423203
